001_00	ای پیامبر ! از خدا بترس، و از کافران و منافقان اطاعت نکن، بی گمان خداوند دانای حکیم است.
002_00	و از آنچه از سوی پروردگارت به تو وحی می شود؛ پیروی کن، یقیناً خداوند به آنچه انجام می دهید؛ آگاه است.
003_00	و بر خدا توکل کن، و خداوند (به عنوان) کارساز(و مدافع) بسنده است.
004_00	خداوند برای هیچ کس دو قلب در درونش قرار نداده است، و هرگز همسرانتان را که مورد ظهار قرار می دهید؛ مادران شما قرار نداده است، و (نیز) فرزند خوانده های شما
004_01	را فرزند (حقیقی) شما قرار نداده است، این سخن (باطل) شماست که به دهان خود می گویید، و خداوند سخن حق را می گوید، و او به راه راست هدایت می کند.
005_00	آنها (= فرزند خوانده ها) را به نام پدرانشان بخوانید که این (کار) نزد خدا منصفانه تر است، پس اگر پدرانشان را نمی شناسید، برادران دینی شما، و موالی شما هستند.
005_01	و در آنچه که (قبلاً) اشتباه کرده اید؛ گناهی بر شما نیست، و لیکن آنچه را که دلهای شما از روی عمد می خواهد (و می گویید، گناه است) و خداوند آمرزنده ی مهربان است.
006_00	پیامبر نسبت به مؤمنان از خودشان سزاوارتر است، و همسران او مادران آنها هستند، و در کتاب خدا خویشاوندان
006_01	برخی از آنان به برخی (دیگر) از (سایر) مؤمنان و مهاجران سزاوارترند، مگر این که به دوستان تان نیکی
006_02	کنید (و سهمی از اموال خود را به آنان بدهید) این (حکم) در کتاب (لوح محفوظ) نوشته شده است.
007_00	و (ای پیامبر گرامی ! به یاد آور) هنگامی را که از پیامبران پیمان شان را گرفتیم و (همچنین) از تو و از نوح و ابراهیم و موسی و عیسی بن مریم، و از همه ی آنان پیمان محکمی گرفتیم.
008_00	تا (خداوند) راستگویان را از صدقشان بپرسد، و برای کافران عذابی دردناک آماده کرده است.
009_00	ای کسانی که ایمان آورده اید!
009_01	نعمت خدا را بر خود به یاد آورید، هنگامی که لشکرهایی به سوی شما آمدند، پس ما تند باد (سختی) بر آنها فرستادیم، و لشکرهایی (از فرشتگان) که آنها را نمی دیدید، (و آنها را درهم کوبیدیم) و خداوند به آنچه انجام می دهید؛ بیناست.
010_00	هنگامی که آنها (= دشمنان) از (سمت) بالای (شهر) شما و از (سمت) پایین (شهر) تان به سوی شما آمدند (و شما را محاصره کردند) و زمانی را که چشمها (از شدت وحشت) خیره شد، و دلها به حنجره ها رسید، و گمان های گوناگونی به خدا می بردید.
011_00	آنجا بود که مؤمنان آزمایش شدند و به سختی تکان خوردند.
012_00	و (نیز به یاد آورید) هنگامی را که منافقان و کسانی که در دلهایشان بیماری است، می گفتند :«خدا و پیامبرش جز فریب به ما وعده ای نداده است».
013_00	و (نیز) هنگامی که گروهی از آنان گفتند :«ای اهل یثرب ! اینجا جای ماندن شما نیست، پس (به خانه های خود) برگردید»
013_01	و گروهی از آنان از پیامبر اجازه (ی بازگشت) می خواستند، می گفتند :«بی شک خانه های ما بی حفاظ است» در حالی که بی حفاظ نبود، آنها فقط می خواستند (از جهاد) فرار کنند.
014_00	و اگر (لشکر دشمنان) از اطراف مدینه بر آنان وارد می شدند (و خانه هایشان را محاصره می کردند) سپس پیشنهاد بازگشت به کفر و شرک (به آنها) می کردند، می پذیرفتند، و جز اندکی برای (انتخاب) آن درنگ نمی کردند.
015_00	و به راستی که آنان پیش از این با خدا عهد کرده بودند که پشت (به دشمن) نکنند، و عهد (و پیمان) خدا باز خواست دارد.
016_00	(ای پیامبر!) بگو:«اگر از مرگ یا کشته شدن فرار کنید، هرگز فرار سودی به حال شما نخواهد داشت، و آنگاه جز اندکی (از زندگی دنیا) بهره مند نخواهید شد».
017_00	(ای پیامبر!) بگو:«چه کسی است که شما را از(اراده ی) خدا حفظ می کند، اگر (او) برای شما بدی اراده کرده باشد، یا رحمتی برای شما اراده کرده باشد ؟!» و آنها برای خود جز خدا هیچ دوست و یاوری نخواهند یافت.
018_00	قطعاً خداوند باز دارندگان را (از جهاد) از شما، و آنان را که به برادران شان گفتند:«به سوی ما بیایید» و جز اندکی به کارزار نمی آیند؛ می شناسد.
019_00	(در حالی که) آنها بر شما بخل می ورزند، پس هنگامی که (زمان) ترس (پیش) آید، می بینی که به تو نگاه می کنند، در حالی که چشمهایشان (در حدقه)
019_01	می چرخد، مانند کسی که از (سکرات) مرگ بی هوش شده باشد، پس چون ترس ( و وحشت) بر طرف شد، شما را با زبانهای تیز (و تند خود) می
019_02	رنجانند، در حالی که بر مال (غنایم) سخت حریص و آزمندند، اینان (هرگز) ایمان نیاورده اند، لذا خداوند اعمالشان را تباه (و نابود) کرد، و این (کار) بر خدا آسان است.
020_00	آنها گمان می کنند که (لشکریان) احزاب (هنوز) نرفته اند، و اگر (لشکریان) احزاب (بار دیگر) بر گردند، آرزو می کنند، ای کاش!
020_01	آنان در میان اعراب بادیه نشین بودند، که از اخبار شما جویا می شدند، و اگر در میان شما باشند؛ جز اندکی پیکار نکنند.
021_00	یقیناً برای شما در زندگی رسول خدا سرمشق نیکویی است، برای آنان که به خدا و روز آخرت امید دارند، و خدا را بسیار یاد می کنند.
022_00	و چون مؤمنان (لشکر) احزاب را دیدند، گفتند :« این همان چیزی است که خدا و پیامبرش به ما وعده داده، و خدا و پیامبرش راست گفته اند» و (این امر) جز بر ایمان و تسلیم شان نیفزود.
023_00	از مؤمنان مردانی هستند که به عهد و پیمانی که با خدا بسته بودند (صادقانه) وفا کردند، پس کسی از آنان هست که پیمان خود را به آخر رساند (وشهید شد) و از آنان کسی هست که در انتظار (و چشم براه) است، و هرگز تغییر و تبدیلی (در پیمان خود) نیاورده اند.
024_00	تا خدا راستگویان را به (خاطر) صدقشان پاداش دهد، و منافقان را اگر بخواهد عذاب کند، یا توبه ی آنها را بپذیرد، بی تردید خداوند آمرزنده ی مهربان است.
025_00	و (در غزوه ی احزاب) خداوند کافران را با خشم شان (از مدینه) باز گرداند، (در حالی) که هیچ خیر و منفعتی نیافتند، و خداوند مؤمنان را از جنگ بی نیاز کرد، (و پیروزی نصیبشان ساخت) و خداوند توانای پیروزمند است.
026_00	و (خداوند) کسانی از اهل کتاب (= یهود بنی قریظه) را که از آنها (= مشرکان) حمایت کرده بودند؛ از قلعه هایشان فرود آورد، و در دلهایشان وحشت انداخت، (و شما) گروهی را می کشتید و گروهی را اسیر می گرفتید.
027_00	و (خداوند) زمین آنان و خانه هایشان و اموالشان را به شما وا گذاشت و (همچنین) زمینی را که در آن گام ننهاده بودید، و خداوند بر هر چیز تواناست.
028_00	ای پیامبر ! به همسرانت بگو :«اگر شما زندگی دنیا و زینت آن می خواهید، پس بیایید تا (با هدیه ای مناسب) شما را بهرمند سازم، و شما را به طرز نیکوئی رها کنم.
029_00	و اگر شما خدا و پیامبرش و سرای آخرت را می خواهید، پس (بدانید که) خداوند برای نیکوکارانتان پاداش عظیمی آماده کرده است».
