001_00	حم (حا . میم).
002_00	عسق ( عین . سین . قاف).
003_00	این گونه خداوند پیروزمند حکیم به سوی تو و پیامبرانی که پیش از تو بودند, وحی می کند( ).
004_00	آنچه در آسمانها وآنچه در زمین است از آنِ اوست, واو بلند مرتبۀ بزرگ است.
005_00	نزدیک است که آسمانها (بخاطر عظمت الهی) بر فراز یکدیگر شکافته (ومتلاشی) شوند, وفرشتگان به ستایش پروردگارشان تسبیح
005_01	می گویند, وبرای کسانی که در زمین هستند آمرزش می طلبند, آگاه باش, همانا خداوند آمرزندۀ مهربان است.
006_00	وکسانی که جز او دوستان (وسرپرستانی) گرفته اند, خداوند بر آنها نگهبان (ومراقب) است, وتو (ای پیامبر) متعهد (ومسئول) بر آنها نیستی.
007_00	واین چنین قرآنی عربی به تو وحی کردیم تا «ام القری»
007_01	(= مکه) وکسانی را که پیرامون آن هستند هشدار دهی, واز روز جمع شدن (= روز قیامت) که در آن شک وتردیدی نیست, بترسانی, (که در آن روز) گروهی در بهشت, وگروهی در آتش سوزانند!
008_00	واگر خدا می خواست یقیناً (همه ی) آنها را یک امت قرار می داد, ولیکن هرکس را که بخواهد در رحمتش داخل می کند, وبرای ستمکاران هیج یار ویاوری نیست.
009_00	آیا آنها جز او دوستانی (برای خود) بر گزیده اند؟ در حالی که الله فقط کارساز (ودوست حقیقی) است, واوست که مردگان را زنده می کند, واوست که بر هر چیزی تواناست.
010_00	ودر هر چیزی که در آن اختلاف کنید, پس حکم (وداوری) آن با الله است, این الله, پروردگار من است. بر او توکل کردم, وبه (سوی) او باز می گردم.
011_00	(او) آفرینندۀ آسمانها وزمین است, واز خودتان برای شما همسرانی قرار داد, و(نیز) جفتهایی از چهار پایان
011_01	(آفرید) شما را بدین (وسیله) افزون می کند, هیچ چیز همانند او نیست, و او شنوای بیناست.
012_00	کلید های آسمانها وزمین از آن اوست, روزی هر که را بخواهد گسترش می دهد, و(برای هر کس که بخواهد) تنگ می گیرد,به درستى كه او به همه چیزداناست.
013_00	دینی را برای شما تشریع کرد, از همان گونه که به نوح توصیه کرده بود, واز آنچه بر تو وحی کرده ایم, وبه
013_01	ابراهیم وموسی وعیسی سفارش کرده ایم( ), که دین را بر پا دارید ودر آن فرقه فرقه نشوید, بر مشرکان گران است, آنچه
013_02	شما آنها را بدان دعوت می کنید. خداوند هر که را بخواهد بر می گزیند, وهر که به سوی او باز گردد, هدایت می کند.
014_00	آنها پراکنده نشدند مگر بعد از آنکه علم (ودانش) به سراغشان آمد (وکاملاً آگاهی یافتند, آن هم) از روی حسادت در میان خود (بود) واگر فرمانی پیش از این از جانب پروردگارت صادر نشده بود, (که
014_01	آنها) تا زمانی معین (مهلت) داده است, یقیناً در میان آنها داوری می شد, وبی گمان کسانی که بعد از آنها وارث کتاب شده اند, در بارۀ آن سخت در شک وتردیدند, (ونسبت به آن بد بینند).
015_00	پس به این (دین) دعوت کن, وهمانگونه که مأمور شده ای پایداری (واستقامت) ورز, واز هوی وهوسهای آنان پیروی مکن, وبگو: « به هر کتابی که خداوند نازل کرده است, ایمان آورده ام, ومأمورم در میان شما به عدالت رفتار
015_01	کنم, خداوند پروردگار ما, وپروردگار شماست, (نتیجۀ) اعمال ما از آنِ ما, و(نتیجۀ) اعمال شما از آنٍ شماست, بین ما و شما هیچ جدال (وخصومتی) نیست, خداوند ما و شما را (دریک جا) گرد می آورد, وبازگشت (همه) به سوی اوست».
016_00	وکسانی که در (بارۀ) خداوند محاجه می کنند, پس از آنکه (فرمان) او پذیرفته شد, دلیلشان نزد پروردگارشان باطل (وبی اساس) است, وخشم (خداوند) بر آنهاست. وعذاب شدیدی برای آنهاست.
017_00	خداوند کسی است که کتاب ومیزان را به حق نازل کرد, و تو چه می دانی شاید قیامت نزدیک باشد!
018_00	کسانی که به آن ایمان ندارند, در (رسیدن) آن شتاب می کنند, وکسانی که ایمان آورده اند (پیوسته) ازآن بیمناکند, ومی
