001_00	آنچه در آسمانها وزمین است برای خدا تسبیح می گویند( ), و او پیروزمند حکیم است.
002_00	فرمانروایی آسمانها وزمین از آنِ اوست, زنده می کند ومی میراند, واو بر هر چیز تواناست.
003_00	او اوّل وآخر وظاهر وباطن است, و او به هر چیز داناست.
004_00	او کسی است که آسمانها وزمین را در شش روز آفرید, سپس بر عرش مستقر شد, آنچه را در زمین
004_01	فرو می رود وآنچه را از ان خارج می شود, وآنچه را از آسمان نازل می شود و آنچه را
004_02	که در آن بالا می رود( ) می داند. وهر کجا باشید او باشماست, وخداوند به آنچه می کنید بیناست.
005_00	فرمانروایی آسمانها وزمین از آنِ اوست, و(همه ی) کارها به خداوند باز می گردد.
006_00	شب را در روز (داخل) می کند, وروز را در شب (داخل) می کند, واو به آنچه در سینه هاست داناست.
007_00	به خدا و پیامبرش ایمان بیاورید واز آنچه شما را در آن جانشین قرار داده انفاق کنید, پس کسانی که از شما ایمان آوردند و(در راه خدا) انفاق کردند برای آنها پاداش بزرگی است.
008_00	وشما را چه شده است که به خدا ایمان نمی آورید, در حالی که پیامبر شما را می خواند که به پروردگارتان ایمان بیاورید, وبه راستی اگر باور دارید از شما پیمان گرفته است؟!
009_00	او کسی است که آیات روشن بر بنده اش نازل می کند تا شما را از تاریکیها (ی کفر وشرک) به سوی نور (ایمان) ببرد, ویقیناً خداوند نسبت به شما رؤوف و مهربان است.
010_00	وشما را چه شده است که در راه خدا انفاق نمی کنید, در حالی که میراث آسمانها وزمین از آنِ خداست, کسانی از شما که قبل از فتح (مکه) انفاق کردند و(با مشرکان) جنگیدند (با کسانی که پس از فتح انفاق کردند وجنگیدند) یکسان نیستند.
010_01	آنها مقام (ومنزلت) شان والاتر (وبرتر) است از کسانی که بعد از فتح (مکه) انفاق کردند وجنگیدند, وخداوند به هر یک وعده نیک (= بهشت) داده است, وخداوند به آنچه می کنید آگاه است.
011_00	کیست که به خداوند «قرض الحسنه» (= وام نیکو) دهد, (ودر راه او انفاق نماید) پس برای او دو چندانش کند, وبرای او پا داش ارجمندی است.
012_00	روزی که مردان وزنان مؤمن را بنگری که نورشان پیشاپیش آنها ودر سمت راستشان بسرعت حرکت می کند, (به آنها گفته می شود) امروز
012_01	شما را بشارت باد, به باغهایی (از بهشت) که نهرها زیر (درختان) آن جاری است, جاودانه در آن خواهید ماند, این کامیابی بزرگی است.
013_00	روزی که مردان وزنان منافق به کسانی که ایمان آورده اند می گویند: «درنگی کنید (وبه ما بنگرید) تا از نور شما پرتوی برگیریم».
013_01	گفته شود: «به پشت سر خودتان (به دنیا) باز گردید, پس (در آنجا) نور بجوئید». پس دیواری میان آنها زده می شود که دری دارد, درونش رحمت است واز سمت بیرونش عذاب است.
014_00	(منافقان) آنها را صدا می زنند: «آیا ما با شما نبودیم»
014_01	(مؤمنان) می گویند: «آری, ولی شما خودتان را به بلا افکندید و منتظر ماندید وشک آوردید وآرزوها (ی باطل) شما را فریب داد تا فرمان خدا فرا رسید و(شیطان) فریبکار شما را در برابر (فرمان) خدا فریب داد».
