001_00	ای جامه برخود پیچیده.
002_00	شب را جز اندکی بپا خیز (و عبادت کن).
003_00	نیمه‌ای از آن را، یا اندکی از آن کم کن.
004_00	یا اندکی بر (نصف) آن بیفزا، و قرآن را با ترتیل و تأمل بخوان.
005_00	یقیناً ما به زودی سخنی سنگین بر تو نازل خواهیم کرد.
006_00	بی‌گمان شب زنده‌داری (بر نفس) دشوار است و برای گفتار (و نیایش) مناسب و استوارتر است.
007_00	یقیناً تو در روز مشغلة بسیار داری.
008_00	و نام پروردگارت را یاد کن، و تنها به او دل ببند.
009_00	(همان) پروردگار مشرق و مغرب که معبودی (بحق) جز او نیست پس او را کارساز ( و نگاهبان خود) برگزین.
010_00	و بر آنچه (مشرکان) می‌گویند، شکیبا باش، و به شیوه‌ای نیکو (و شایسته) از آنها دوری کن.
011_00	و مرا با این تکذیب‌کنندگان مرفه و منعّم واگذار، و آنها را کمی مهلت ده.
012_00	بی‌گمان نزد ما قید (و بندهای) گران و (آتش) دوزخ.
013_00	و غذایی گلوگیر، و عذابی دردناک است.
014_00	روزی که زمین و کوه‌ها به لرزه درآید، و کوه‌ها (متلاشی می‌شود و) همچون تودة شن نرم (روان) می‌گردد.
015_00	یقیناً ما پیامبری به سوی شما فرستادیم که بر شما شاهد (و گواه) است، همانگونه که به سوی فرعون پیامبری فرستادیم.
016_00	آنگاه فرعون آن پیامبر را نافرمانی (و مخالفت) کرد، پس ما او را به سختی مجازات کردیم.
017_00	پس اگر کافر شوید چگونه خود را (از عذاب) در امان می‌دارید، روزی که کودکان را پیر می‌کند.
018_00	(در آن روز) آسمان شکافته می‌شود، وعدة او شدنی است.
019_00	بی‌گمان این (آیات) پند (و هشداری) است، پس هرکس که بخواهد راهی به سوی پروردگارش برگزیند.
020_00	(ای پیامبر!) یقیناً پروردگارت می‌داند که تو و گروهی از آنها که با تو هستند نزدیک دو سوم شب و (یا) نصف (یا) ثلث آن را بپا می‌خیزید، و
020_01	الله شب و روز را اندازه‌گیری می‌کند، می‌داند که شما نمی‌توانید حساب آن را (دقیق) محاسبه کنید، لذا شما را بخشید، پس اکنون آنچه (برای شما) میسر باشد از
020_02	قرآن بخوانید، (الله) می‌داند که برخی از شما بیمار خواهند شد، و گروهی (دیگر) برای بدست‌آوردن فضل و نعمت الله در زمین سفر می‌کنند، و گروهی (نیز) در راه
020_03	الله جهاد می‌کنند، پس آنچه میسر باشد از آن بخوانید، و نماز را برپا دارید، و زکات بدهید، و به الله قرض الحسنه (وام نیکو) دهید، و (بدانید که)
020_04	آنچه از کارهای خیر پیشاپیش برای خودتان می‌فرستید نزد الله به بهترین وجه و بزرگترین پاداش خواهید یافت، و از الله آمرزش بخواهید که همانا الله آمرزندة مهربان است.
