001_00	Alef, Lam, Mim, Sad.
002_00	(Eis aqui) um Livro, que te foi revelado para que não haja receio em teu peito, e para que, com ele, admoestes osincrédulos, para que seja uma mensagem aos fiéis.
003_00	Segui o que vos foi revelado por vosso Senhor e não sigais outros protetores em lugar d'Ele. Quão pouco meditais!
004_00	Quantas cidades temos destruído! Nosso castigo tomou-os (a seus habitantes) de surpresa, enquanto dormiam, à noite, oufaziam a sesta.
005_00	Nada imploraram, quando os surpreendeu o Nosso castigo; não fizeram mais do que confessar, clamando: Fomos iníquos!
006_00	Inquiriremos aqueles aos quais foi enviada a Nossa mensagem, assim como interrogaremos os mensageiros.
007_00	E lhes enumeraremos as ações com pleno conhecimento, porque jamais estivemos ausentes.
008_00	E a ponderação, nesse dia, será a eqüidade; aqueles cujas boas ações forem mais pesadas, serão os bem-aventurados.
009_00	E aqueles, cujas boas ações forem leve, serão desventurados, por haverem menosprezado os Nossos versículos.
010_00	Temo-vos enraizado na terra, na qual vos proporcionamos subsistência. Quão pouco agradeceis!
011_00	Criamo-vos e vos demos configuração, então dissemos aos anjos: Prostrais-vos ante Adão! E todos se prostraram, menos Lúcifer, que se recusou a ser dos prostrados.
012_00	Perguntou-lhe (Deus): Que foi que te impediu de prostrar-te, embora to tivéssemos ordenado? Respondeu: Sou superiora ele; a mim criaste do fogo, e a ele do barro.
013_00	Disse-lhe: Desce daqui (do Paraíso), porque aqui não é permitido te ensoberbeceres. Vai-te daqui, porque és um dosabjetos!
014_00	Implorou: Tolera-me até ao dia em que (os seres) forem ressuscitados!
015_00	Respondeu-lhe: Considera-te entre os tolerados!
016_00	Disse: Juro que, por me teres extraviado, desviá-los-ei da Tua senda reta.
017_00	E, então, atacá-los-ei pela frente e por trás, pela direita e pela esquerda e não acharás, entre eles, muitos agradecidos!
018_00	Deus lhe disse: Sai daqui! Vituperado! Rejeitado! Juro que encherei o inferno contigo e com aqueles que te seguirem.
019_00	E tu, ó Adão, habita com tua esposa o Paraíso! Desfrutai do que vos aprouver; porém, não vos aproximeis desta árvore, porque estareis entre os transgressores.
020_00	Então, Satã lhe cochichou, para revelar-lhes o que, até então, lhes havia sido ocultado das suas vergonhas, dizendo-lhes: Vosso
020_01	Senhor vos proibiu esta árvore para que não vos convertêsseis em dois anjos ou não estivésseis entre os imortais.
021_00	E ele lhes jurou: Sou para vós um fiel conselheiro.
022_00	E, com enganos, seduziu-os.
022_01	Mas quando colheram o fruto da árvore, manifestaram-se-lhes as vergonhas e começaram acobrir-se com folhas, das plantas do Paraíso. Então, seu Senhor os admoestou: Não vos havia vedado esta árvore e não voshavia dito que Satanás era vosso inimigo declarado?
023_00	Disseram: Ó Senhor nosso, nós mesmos nos condenamos e, se não nos perdoares a Te apiedares de nós, seremosdesventurados!
024_00	E Ele lhes disse: Descei! Sereis inimigos uns dos outros e tereis, na terra, residência e gozo transitórios.
025_00	Disse-lhes (ainda): Nela vivereis e morrereis, e nela sereis ressuscitados.
026_00	Ó filhos de Adão, enviamos-vos vestimentas, tanto para dissimulardes vossas vergonhas, como para o vosso aparato; porém, o pudor é preferível!
026_01	Isso é um dos sinais de Deus, para que meditem.
027_00	Ó filhos de Adão, que Satanás não vos seduza, como seduziu vossos pais no Paraíso, fazendo-os sair dele, despojando-os dos seus invólucros (de inocência), para mostrar-lhes as suas vergonhas!
027_01	Ele e seus asseclas vos espreitam, de onde não os vedes. Sem dúvida que temos designado os demônios como amigos dos incrédulos.
028_00	Quando estes cometem uma obscenidade, dizem: Cometemo-la porque encontramos nossos pais fazendo isto; e foi DeusQuem no-la ordenou.
028_01	Dize: Deus jamais ordena obscenidade. Ousais dizer de Deus o que ignorais?
029_00	Dize ainda: Meu Senhor só ordena a eqüidade, para que vos consagreis a Ele, em todas as mesquitas, e O invoqueissinceramente. Assim como vos criou, retornareis a Ele.
030_00	Ele encaminhou alguns, e outros mereceram ser desviados, porque adotaram por protetores os demônios, em vez deDeus, pensando que estavam bem encaminhados.
031_00	Ó filhos de Adão, revesti-vos de vosso melhor atavio quando fordes às mesquitas; comei e bebei; porém, não vosexcedais, porque Ele não aprecia os perdulários.
032_00	Dize-lhes: Quem pode proibir as galas de Deus e o desfrutar os bons alimentos que Ele preparou para Seus servos?
032_01	Dize-lhes ainda: Estas coisas pertencem aos que crêem, durante a vida neste mundo; porém, serão exclusivas dos crentes, noDia da Ressurreição. Assim elucidamos os versículos aos sensatos.
033_00	Dize: Meu Senhor vedou as obscenidades, manifestas ou íntimas; o delito; a agressão injusta; o
033_01	atribuir parceiros a Ele, porque jamais deu autoridade a que digais d'Ele o que ignorais.
034_00	Cada nação tem o seu termo e, quando se cumprir, não poderá atrasá-lo nem adiantá-lo uma só hora.
035_00	Ó filhos de Adão, quando se apresentarem mensageiros, dentre vós, que vos ditarão Meus versículos, aqueles quetemerem a Deus e a Ele se encomendarem não serão presas do temor, nem se atribularão.
036_00	Aqueles que desmentirem os Nossos versículos e se ensoberbecerem serão condenados ao inferno, onde permanecerãoeternamente.
037_00	Haverá alguém mais iníquo do que quem forja mentiras acerca de Deus ou desmente os Seus versículos?
037_01	Elesparticiparão do que está estipulado no Livro, até que se lhes apresentem os Nossos mensageiros para separá-los de suasalmas e lhes digam: Onde estão aqueles que invocáveis, em vez de Deus?
037_02	Dirão: Desvaneceram-se! Com isso, confessarãoque haviam sido incrédulos.
038_00	Deus lhes dirá: Entrai no inferno, onde estão as gerações de gênios e humanos que vos precederam!
038_01	Cada vez que aíingressar uma geração, abominará a geração congênere, até que todas estejam ali recolhidas; então, a última dirá, acerca daprimeira: Ó Senhor nosso, eis aqui aqueles que nos desviaram; duplica-lhes o castigo infernal!
038_02	Ele lhes dirá: o dobro serápara todos; porém, vós o ignorais.
039_00	Então, a primeira dirá à última: Não vos devemos favor algum. Sofrei, pois, o castigo, pelo que cometestes.
040_00	Àqueles que desmentirem os Nossos versículos e se ensoberbecerem, jamais lhes serão abertas as portas do céu, nementrarão no Paraíso, até que um camelo passe pelo buraco de uma agulha.
040_01	Assim castigamos os pecadores.
041_00	Terão o inferno por leito, cobertos com mantos de fogo. Assim castigamos os iníquos.
042_00	Quanto aos fiéis, que praticam o bem - jamais impomos a alguém uma carga superior às suas forças -, saibam que serãoos diletos do Paraíso, onde morarão eternamente.
043_00	Extinguiremos todo o rancor de seus corações.
043_01	A seus pés correrão os rios, e dirão: Louvado seja Deus, que nosencaminhou até aqui; jamais teríamos podido encaminhar-nos, se Ele não nos tivesse encaminhado.
043_02	Os mensageiros de nossoSenhor nos apresentaram a verdade. Então, ser-lhes-á dito: Eis o Paraíso que herdastes em recompensa pelos que fizestes.
044_00	E os diletos do Paraíso gritarão aos condenados, no inferno: Verificamos que era verdade tudo quanto nosso Senhor noshavia prometido. Porventura, comprovastes que era verdade o que o vosso Senhor vos havia prometido?
044_01	Dirão: Sim! Umarauto, então, proclamará entre eles: Que a maldição de Deus caia sobre os iníquos,
045_00	Que afastam os demais da senda de Deus, anunciam-na tortuosa e negam a vida futura!
046_00	E entre ambos haverá um véu e, nos cimos, situar-se-ão homens que reconhecerão todos, por suas fisionomias, esaudarão os diletos do Paraíso: Que a paz esteja convosco!
046_01	Porém, ainda que eles (os dos cimos) anelem o Paraíso, nãoentrarão ali.
047_00	Mas, quando seus olhares se voltarem para os condenados ao inferno, dirão: Ó Senhor nosso, não nos juntes com osiníquos.
048_00	Os habitantes dos cimos gritarão a uns homens, os quais reconhecerão por suas fisionomias: De que vos serviram osvossos tesouros e a vossa soberbia?
049_00	São estes, acaso, de quem juraste que Deus não os agraciaria com Sua misericórdia? (Deus dirá a eles): Entrai noParaíso, onde não sereis presas do temor, nem vos atribulareis.
050_00	Os condenados ao inferno clamarão os diletos do Paraíso: Derramai por sobre nós um pouco de água ou algo com queDeus vos agraciou.
050_01	Dir-lhes-ão: Deus vedou ambos aos incrédulos,
051_00	Que tomaram sua religião por diversão e jogo, e os iludiu a vida terrena!
051_01	Esquecemo-los hoje, como eles esqueceram ocomparecimento, neste dia, bem como por terem negado os Nossos versículos,
052_00	Não obstante lhes temos apresentado um Livro, o qual lhes elucidamos sabiamente, e é orientação e misericórdia para oscrentes.
053_00	Esperam eles, acaso, algo além da comprovação?
053_01	O dia em que esta chegar, aqueles que a houverem desdenhado, dirão: Os mensageiros de nosso Senhor nos haviam apresentado a verdade.
053_02	Porventura obteremos intercessores, que advoguem emnosso favor? Ou retornaremos, para nos comportarmos distintamente de como o fizemos? Porém, já terão sido condenados, etudo quanto tiverem forjado desvanecer-se-á.
054_00	Vosso Senhor é Deus, Que criou os céus e a terra em seis dias, assumindo, em seguida, o Trono.
054_01	Ele ensombrece o diacom a noite, que o sucede incessantemente.
054_02	O sol, a lua e as estrelas estão submetidos ao Seu comando. Acaso, não Lhepertencem a criação e o poder? Bendito seja Deus, Senhor do Universo.
055_00	Invocai vosso Senhor humílima e intimamente, porque Ele não aprecia os transgressores.
056_00	E não causeis corrupção na terra, depois de haver sido pacificada. Outrossim, incovai-O com temor e esperança, porqueSua misericórdia está próxima dos benfeitores.
057_00	Ele é Quem envia os ventos alvissareiros, por Sua misericórdia, portadores de densas nuvens,
057_01	que impulsiona até umacomarca árida e delas faz descer a água, mediante a qual
057_02	produzimos toda a classe de frutos. Do mesmo modo ressuscitamosos mortos, para que mediteis.
058_00	Da terra fértil brota a vegetação, com o beneplácito do seu Senhor; da estéril, porém, nada brota, senão escassamente. Assim elucidamos os versículos para os agradecidos.
059_00	Enviamos Noé ao seu povo, ao qual disse: Ó povo meu, adorai a Deus, porque não tereis outra divindade além d'Ele. Temo, por vós, o castigo do dia aziago.
060_00	Os chefes, dentre seus povos, disseram: Vemos-te em um erro evidente.
061_00	Respondeu-lhes: Ó povo meu, não há erro em mim, pois sou o mensageiro do Senhor do Universo.
062_00	Comunico-vos as mensagens do meu Senhor, aconselho-vos, e sei de Deus o que ignorais.
063_00	Estranhais, acaso, que chegue uma mensagem do vosso Senhor por intermédio de um homem da vossa raça? Isto é paraadmoestar-vos e para que temais a Deus, a fim de que sejais compadecidos.
064_00	Porém, desmentiram-no, e o salvamos, juntamente com os que com ele estava na arca, afogando aqueles que desmentiramo Nossos versículos, porque constituíam um povo cego.
065_00	E ao povo de Ad enviamos seu irmão Hud, o qual disse: Ó povo meu, adorai a Deus, porque não tereis outra divindadealém d'Ele. Não O temeis?
066_00	Porém, os chefes incrédulos, dentre seu povo, disseram: Certamente, vemos-te em insensatez e achamos que ésmentiroso.
067_00	Respondeu-lhes: Ó povo meu, não há insensatez em mim, e sou o mensageiro do Senhor do Universo.
068_00	Comunico-vos as mensagens do meu Senhor e sou vosso fiel conselheiro.
069_00	Estranhais, acaso, que vos chegue uma mensagem do vosso Senhor, por um homem da vossa raça, para admoestar-vos?
069_01	Reparai em como Ele vos designou sucessores do povo de Noé, e vos proporcionou alta estatura. Recordai-vos das mercêsde Deus (para convosco), a fim de que prospereis.
070_00	Disseram-lhe: Vens, acaso, para fazer com que adoremos só a Deus e abandonarmos os que adoravam nossos pais? Faze, pois, com que se cumpram as tuas predições, se estiveres certos.
071_00	Respondeu-lhes: Já vos açoitaram a abominação e a indignação do vosso Senhor!
071_01	Ousareis, acaso, discutir comigo, arespeito de nomes que inventais, vós e vossos pais, aos quais Deus não concedeu autoridade alguma? Aguardai, pois, que euaguardarei convosco.
072_00	Salvamo-lo, e a quem com ele estava, mercê, de Nossa misericórdia, e extirpamos aqueles que desmentiram Nossosversículos, porque não eram fiéis.
073_00	Ao povo de Samud enviamos seu irmão, Sáleh, que lhes disse: Ó povo meu, adorai a Deus, porque não tereis outradivindade além d'Ele.
073_01	Chegou-vos uma evidência do nosso Senhor. Ei-la aqui: a camela de Deus é um sinal para vós; deixai-a pastar nas terras de Deus e não a maltrateis, porque vos açoitará um doloroso castigo.
074_00	Lembrai-vos de que Ele vos designou sucessores do povo de Ad, e vos enraizou na terra, em cujas planuras ergueispalácios, e em cujas montanhas cavais moradias.
074_01	Recordai-vos das mercês de Deus para convosco e não causeis flagelo, nem corrupção na terra.
075_00	Porém, os chefes dos que se ensoberbeceram, dentre seu povo, perguntaram aos fiéis, submetidos: Estais seguros de queSáleh é um mensageiro do seu Senhor?
075_01	Responderam: nós cremos em sua missão.
076_00	Mas os que se ensoberbeceram lhes disseram: Nós negamos o que credes.
077_00	E esquartejaram a camela, desacatando a ordem do seu Senhor, e disseram: Ó Sáleh, faze, pois, com que se cumpram astuas predições, se és um dos mensageiros.
078_00	Então, fulminou-vos um terremoto, e a manhã encontrou-os jacentes em seus lares.
079_00	E Sáleh distanciou-se deles, dizendo: Ó povo meu, eu vos comuniquei a mensagem do meu Senhor e vos aconselhei; porém, vós não apreciais os conselheiros.
080_00	E (enviamos) Lot, que disse ao seu povo: Cometeis abominação como ninguém no mundo jamais cometeu antes de vós,
081_00	Acercando-vos licenciosamente dos homens, em vez das mulheres. Realmente, sois um povo transgressor.
082_00	E a resposta do seu povo só constituiu em dizer (uns aos outros): Expulsai-vos da vossa cidade porque são pessoas quedesejam ser puras.
083_00	Porém, salvamo-los, juntamente com a sua família, exceto a sua mulher, que se contou entre os que foram deixados paratrás.
084_00	E desencadeamos sobre eles uma tempestade. Repara, pois, qual foi o destino dos pecadores!
085_00	E aos medianitas enviamos seu irmão Xuaib, que lhes disse: Ó povo meu, adorai a Deus, porque não tereis outradivindade além d'Ele!
085_01	Já vos chegou uma evidência do vosso Senhor!
085_02	Sede leais, na medida e no peso! Não defraudeis opróximo e não causeis corrupção na terra, depois de ela haver sido pacificada! Isso será melhor para vós, se sois fiéis.
086_00	Não vos posteis em caminho algum, obstruindo a senda de Deus e ameaçando quem n'Ele crê, esforçando-vos em fazê-latortuosa.
086_01	Recordai-vos de quando éreis uns poucos e Ele vos multiplicou, e reparai qual foi o destino dos depravados.
087_00	E se entre vós há um grupo que crê na missão que me foi confiada e outro
087_01	que a nega, aguarda, até que Deus julgue entrenós, porque Ele é o mais equânime dos juízes.
088_00	Os chefes que se ensoberbeceram, dentre o seu povo, disseram-lhe: Juramos que te expulsaremos da nossa cidade, óXuaib, juntamente com aqueles que contigo crêem, a menos que retorneis ao nosso credo.
088_01	(Xuaib) retrucou: Ainda que odeploremos?
089_00	Forjaríamos mentiras a respeito de Deus, se retornássemos ao vosso credo, sendo que Deus já vos livrou dele.
089_01	Éimpossível que o abracemos, sem que Deus, nosso Senhor, o queira, porque nosso Senhor tudo abrange sapientemente, e aEle nos encomendamos.
089_02	Ó Senhor nosso, decide com eqüidade entre nós e o nosso povo, porque Tu és o mais equânime dosjuízes.
090_00	Mas os chefes incrédulos, dentre o seu povo, disseram: Se seguirdes Xuaib, sereis desventurados!
091_00	Então, fulminou-os um terremoto, e a manhã encontrou-os jacentes em seus lares.
092_00	Aqueles que desmentiram Xuaib foram despojados das suas habitações, como se nunca nelas houvessem habitado. Aqueles que desmentiram Xuaib tornaram-se desventurados.
093_00	Xuaib afastou-se deles, dizendo: Ó povo meu, já vos comuniquei as mensagens do meu Senhor, e vos aconselhei. Comopoderei atribular-me por um povo incrédulo?
094_00	Jamais enviamos um profeta a cidade alguma, sem antes afligirmos os seus habitantes com a miséria e adversidade, a fimde que se humilhem.
095_00	Depois lhes trocamos o mal pelo bem, até que se constituíssem em uma sociedade e, não obstante, disseram: Aadversidade e a prosperidade experimentaram-nas nossos pais. Então, de repente, surpreendemo-los com castigo, quandomenos esperavam.
096_00	Mas, se os moradores das cidades tivessem acreditado (em Deus) e O tivessem temido, tê-los-íamos agraciado com asbênçãos dos céus e da terra. Porém, como rejeitaram (a verdade), arrebatamo-los pelo que lucravam.
097_00	Estavam, acaso, os moradores das cidades seguros de que Nosso castigo não os surpreenderia durante a noite, enquantodormiam?
098_00	Ou estavam, acaso, seguros de que Nosso castigo não os surpreenderia em pleno dia, enquanto se divertiam?
099_00	Acaso, pensam estar seguros dos desígnios de Deus? Só pensam estar seguros dos desígnios de Deus os desventurados.
100_00	Não é, porventura, elucidativo para aqueles que herdaram a terra dos seus antepassados que, se quiséssemos, exterminá-los-íamos por seus pecados e selaríamos os seus corações para que não compreendessem?
101_00	Tais eram as cidades, de cujas histórias te narramos algo: sem dúvida que seus mensageiros lhes haviam apresentadoas evidências; porém, era impossível que cressem no que haviam desmentido anteriormente.
101_01	Assim, Deus sigila os coraçõesos incrédulos.
102_00	Porque nunca encontramos, na maioria deles, promessa alguma, mas sim achamos que a maioria deles era depravada.
103_00	Depois destes mensageiros enviamos Moisés, com Nossos sinais, ao Faraó e aos chefes; mas estes se condenaram, aorechaçá-los. Repara, pois, qual foi o destino dos corruptores.
104_00	Moisés disse: Ó Faraó, sou o mensageiro do Senhor do Universo.
105_00	Justo é que eu não diga, a respeito de Deus, mais do eu a verdade. Sem dúvida que vos trago uma evidência do vossoSenhor. Permiti, portanto, que os israelitas partam comigo.
106_00	Respondeu-lhe: Se de fato trazes um sinal, mostra-no-lo, se estiveres certo.
107_00	Então Moisés jogou o seu cajado, e eis que este se converteu numa autêntica serpente.
