001_00	Tah, Sin. Estes são os versículos do Alcorão, o Livro lúcido,
002_00	Orientação e alvíssaras para os fiéis,
003_00	Que observam a oração pagam o zakat e estão persuadidos da outra vida.
004_00	Em verdade, àqueles que não crêem na outra vida, abrilhantaremos as suas ações, e eis que se extraviarão.
005_00	Estes são os que sofrerão o pior castigo e, na outra vida, serão os mais desventurados.
006_00	Em verdade, ser-te-á concedido o Alcorão, da parte do Prudente, Sapientíssimo.
007_00	Recorda-te de quando Moisés disse à sua família: Divisei fogo; trar-vos-ei notícias dele, ou trar-vos-ei uma áscua, paraque vos aqueçais.
008_00	Mas quando chegou a ele, ouviu uma voz: Bendito seja Quem está dentro do fogo e nas suas circunvizinhanças, e glória aDeus, Senhor do Universo!
009_00	Ó Moisés, Eu sou Deus, o Poderoso, o Prudentíssimo.
010_00	Arroja o teu cajado! E ao fazer isso, viu-o agitar-se, como se fosse uma serpente; voltou-se em fuga, sem se virar. (Foi-lhe dito): Ó Moisés! Não temas, porque os mensageiros não devem temer a Minha presença.
011_00	Mas se alguém, tendo-se condenado, logo se arrepende, trocando o mal pelo bem, (saiba que) sou Indulgente, Misericordiosíssimo.
012_00	E conduza a tua mão em teu manto, e daí a retirarás diáfana; (este será) um dos nove sinais perante o Faraó e seu povo, porque são depravados.
013_00	Porém, quando lhes chegaram os Nossos evidentes sinais, disseram: Isto é pura magia!
014_00	E os negaram, por iniqüidade e arrogância, não obstante estarem deles convencidos. Repara, pois, qual foi o destino doscorruptores.
015_00	Havíamos concedido a sabedoria a David e Salomão, os quais disseram: Louvado Seja Deus Que nos preferiu a muitosde Seus servos fiéis!
016_00	E Salomão foi herdeiro de David, e disse: Ó humanos, tem-nos sido ensinada a linguagem dos pássaros e tem-nos sidoproporcionada toda graça. Em verdade, esta é a graça manifesta (de Deus).
017_00	E foram consagrados ante Salomão, com os seus exércitos de gênios, de homens e de aves, em formação e hierarquia.
018_00	(Marcharam) até que chegaram ao vale profundo das formigas. Uma das formigas disse: Ó formigas, entrai na vossahabilitação, senão Salomão e seus exércitos esmagar-vos-ão, sem que disso se apercebam.
019_00	(Salomão) sorriu das palavras dela, e disse: Ó Senhor meu, inspira-me, para eu Te agradecer a mercê com que meagraciaste, a mim
019_01	e aos meus pais, e para que pratique o bem que Te compraz, e admite-me na Tua misericórdia, juntamentecom os Teus servos virtuosos.
020_00	E pôs-se a vistoriar os bandos de pássaros e disse: Por que não vejo a poupa? Estará, acaso, entre os ausentes?
021_00	Juro que a castigarei severamente ou a matarei, a menos que se apresente uma razão evidente.
022_00	Porém, ela não tardou muito em chegar, e disse: Tenho estado em locais que tu ignoras; trago-te, de Sabá, uma notíciasegura.
023_00	Encontrei uma mulher, que me governa (o povo), provida de tudo, e possuindo um magnífico trono.
024_00	Encontrei-a, e ao seu povo, e se prostrarem diante do sol, em vez de Deus, porque Satã lhes abrilhantou as ações e osdesviou da senda; e por isso não se encaminham.
025_00	De sorte que não se prostram diante de Deus, Que descobre o obscuro nos céus e na terra, e conhece tanto o que ocultaiscomo o que manifestais.
026_00	Deus! Não há mais divindade além d'Ele! Senhor do Trono Supremo!
027_00	Disse-lhe (Salomão): Já veremos se dizes a verdade ou se és mentirosa.
028_00	Vai com esta carta e deixa-a com eles; retrai-te em seguida, e espera a resposta.
029_00	(Quando a ave assim procedeu) ela (a rainha) disse: Ó chefes, foi-me entregue uma carta respeitável.
030_00	É de Salomão (e diz assim): Em nome de Deus, o Clemente, o Misericordioso.
031_00	Não vos ensoberbeçais; outrossim, vinde a mim, submissos!
032_00	Disse mais: Ó chefes, aconselhai-me neste problema, posto que nada decidirei sem a vossa aprovação.
033_00	Responderam: Somos poderosos e temíveis; não obstante, o assunto te incumbe; considera, pois, o que hás deordenar-nos.
034_00	Disse ela: Quando os reis invadem a cidade, devastam-na e aviltam os seus nobres habitantes; assim farão conosco.
035_00	Porém, eu lhes enviarei presente, e esperarei, para ver com que voltarão os emissários.
