001_00	Sad. Pelo Alcorão, portador da Mensagem (que isto é a verdade)!
002_00	Porém, os incrédulos estão imbuídos de arrogância e separatismo.
003_00	Quantas gerações aniquilamos, anteriores a eles! Imploram, embora não haja escapatória.
004_00	Assombraram-se (os maquenses) de lhes haver sido apresentado um admoestador de sua graça. E os incrédulos dizem: Este é um mago mendaz.
005_00	Pretende, acaso, fazer de todos os deuses um só Deus? Em verdade, isto é algo assombroso!
006_00	E os chefes se retiraram, dizendo: Ide e perseverai com os vossos deuses! Verdadeiramente, isto é algo designado.
007_00	Não ouvimos coisa igual entre as outras comunidades. Isso não é senão uma ficção!
008_00	Porventura, a Mensagem foi revelada só a ele, dentre nós!? Qual! Eles estão em dúvida, quanto à Minha Mensagem. Porém, ainda não provaram o Meu castigo.
009_00	Possuem, acaso, os tesouros da misericórdia do teu Senhor, o Poderoso, o Liberalíssimo?
010_00	Ou então, é deles o reino dos céus e da terra, e tudo quanto existe entre ambos? Que subam, pois, aos céus.
011_00	Porém lá serão postos em fuga, mesmo com um exército de confederados.
012_00	Antes deles, haviam desmentido: o povo de Noé, o povo de Ad e o Faraó, o senhor das estacas.
013_00	O povo de Samud, o povo de Lot e os habitantes da floresta. Estes são os confederados.
014_00	Cada qual desmentiu os mensageiros, por isso mereceram o Meu castigo.
015_00	E não aguardam estes, senão um só estrondo, que não demorará (a vir).
016_00	E disseram: Ó Senhor nosso, apressa-nos a nossa sentença, antes do Dia da Rendição de Contas!
017_00	Tolera o que dizem e recorda-te do Nosso servo, Davi, o vigoroso, que foi contrito!
018_00	Em verdade, submetemos-lhe as montanhas, para que com ele Nos glorificassem ao anoitecer e ao amanhecer.
019_00	E também lhe congregamos todas as aves, as quais se voltavam a Ele.
020_00	E lhe fortalecemos o império e o agraciamos com a sabedoria e a jurisprudência.
021_00	Conheces a história dos litigantes, que escalaram o muro do oratório?
022_00	Quando apareceram a Davi, que os temeu?
022_01	então lhe disseram: Não temas, pois somos dois litigantes; um de nós temprejudicado o outro! Julga-nos, portanto, com eqüidade e imparcialidade, e indica-nos a senda justa!
023_00	Este homem é meu irmão; tinha noventa e nove cordeiros e eu um só. E disse-me para confiá-lo a ele, convencendo-mecom a sua verbosidade.
024_00	(David lhe) disse: Verdadeiramente, fraudou-te, com o pedido de acréscimo da tua ovelha; muito sócios se
024_01	prejudicamuns aos outros, salvo os fiéis, que praticam o bem; porém, quão pouco são! E Davi
024_02	percebeu que o havíamos submetido auma prova e implorou o perdão de seu Senhor, caiu contrito em genuflexão.
025_00	E lhe perdoamos tal (falta), porque, ante Nós, goza de dignidade e excelente local de retorno.
026_00	Ó Davi, em verdade, designamos-te como legatário na terra, Julga, pois entre os humanos com eqüidade e não teentregues à concupiscência, para que não te desvies da senda de Deus!
026_01	Sabei que aqueles que se desviam da senda de Deussofrerão um severo castigo, por terem esquecido o Dia da Rendição de Contas.
027_00	E não foi em vão que criamos os céus e a terra, e tudo quanto existe entre ambos! Esta é a conjectura dos incrédulos! Ai, pois, dos incrédulos, por causa do fogo (infernal)!
028_00	Porventura, trataremos os fiéis, que praticam o bem, como os corruptores na terra? Ou então trataremos os tementescomo os ignóbeis?
029_00	(Eis) um Livro Bendito, que te revelamos, para que os sensatos recordem os seus versículos e neles meditem.
030_00	E agraciamos Davi com Salomão. Que excelente servo! Eis que foi contrito!
031_00	Um dia, ao entardecer, apresentam-lhe uns briosos corcéis.
032_00	Ele disse: Em verdade, amo o amor ao bem, com vistas à menção do meu Senhor. Permaneceu admirando-os, até que (osol) se ocultou sob o véu (da noite).
033_00	(Então, ordenou): Trazei-os a mim! E se pôs a acariciar-lhes as patas e os pescoços.
034_00	E pusemos à prova Salomão, colocando sobre o seu trono um corpo sem vida; então, voltou-se contrito.
035_00	Disse: Ó Senhor meu, perdoa-me e concede-me um império que ninguém, além de mim, possa possuir, porque Tu és oAgraciante por excelência!
036_00	E lhe submetemos o vento, que soprava suavemente à sua vontade, por onde quisesse.
037_00	E todos os demônios, alvanéis e mergulhadores disponíveis.
038_00	E outros cingidos por correntes.
039_00	Estes são as Nossas dádivas; prodigalizamo-las, pois, ou restringimo-las, imensuravelmente.
040_00	Eis que ele desfrutará, ante Nós, de dignidade e excelente local de retorno!
041_00	E recorda-te do Nosso servo, Jó, que se queixou ao seu Senhor, dizendo: Satanás me aflige com a desventura e osofrimento!
042_00	(Ordenamos-lhe): Golpeia (a terra) com teu pé! Eis aí um manancial (de água), para banho, refrigério e bebida.
043_00	E lhe restituímos a família, aumentando-a com outro tanto, como prova das Nossas misericórdia e mensagem para ossensatos.
044_00	E apanha um feixe de capim, e golpeia com ele; e não perjures! Em verdade, encontramo-lo perseverante - que excelenteservo! - Ele foi contrito.
045_00	E menciona os Nossos servos Abraão, Isaac e Jacó, possuidores de poder e de visão.
046_00	Escolhemo-los por um propósito: a proclamação da Mensagem da morada futura.
047_00	Em verdade, junto a Nós, contam-se entre os eleitos e preferidos.
048_00	E recorda-lhes Ismael, Eliseu e Ezequiel, uma vez que todos se contavam entre os preferidos.
049_00	Eis aqui uma Mensagem: Sabei que os tementes terão um excelente local de retorno.
050_00	São os Jardins do Éden, cujas portas lhes serão abertas.
051_00	Ali repousarão recostados; ali poderão pedir abundantes frutos e bebidas.
052_00	E junto a eles haverá mulheres castas, restringindo os olhares (companheiras) da mesma idade.
053_00	Eis o que é prometido para o Dia da Rendição de Contas!
054_00	Em verdade, esta é a Nossa inesgotável mercê.
055_00	Tal será! Por outra, os transgressores terão o pior destino:
056_00	O inferno, em que entrarão! E que funesta morada!
057_00	Tal será! E provarão água fervente e ícor!
058_00	E outros suplícios semelhantes!
059_00	Eis o grande grupo, que entrará no fogo conosco!
060_00	(Os prosélitos) dirão: Qual! Mal vindos vós também, por nos haverdes induzido a isto! E que péssima morada (terão)!
061_00	Exclamarão: Ó Senhor nosso, àqueles que nos induziram a isto, duplica-lhes o castigo no fogo infernal!
062_00	E dirão (seus chefes): Por que não vemos, aqui, aqueles homens (os fiéis) que contávamos entre os maldosos?
063_00	Aqueles dos quais escarnecíamos? Ou, acaso, escapam às nossas vistas?
064_00	Por certo que é real a disputa dos réprobos!
065_00	Dize-lhes: Sou tão-somente um admoestador, não há mais divindade além do Único Deus, o Irresistível.
066_00	Senhor dos céus e da terra, e de tudo quanto existe entre ambos; o Poderoso, o Irresistível.
067_00	Dize: Esta é uma notícia sublime,
068_00	Que desdenhais!
069_00	Carecia eu de todo o conhecimento, a respeito dos celícolas, quando disputavam entre si.
070_00	Só me tem sido revelado que sou um elucidativo admoestador.
071_00	Recorda-te de quando o teu Senhor disse aos anjos: De barro criarei um homem.
