001_00	Ha, Mim.
002_00	A revelação do Livro é de Deus, o Poderoso, o Prudentíssimo.
003_00	Sabei que nos céus e na terra há sinais para os fiéis.
004_00	E em vossa criação e de tudo quanto disseminou, de animais, há sinais para os persuadidos.
005_00	E na alternação do dia e da noite, no sustento que Deus envia do céu, mediante o que vivifica a terra depois de haver sidoárida, é na variação dos ventos, há sinais para os que raciocinam.
006_00	Tais são os versículos de Deus que, em verdade, te revelamos. Assim, pois, em que exposição crerão, depois de (rechaçarem) Deus e os Seus versículos?
007_00	Ai de todo mendaz, pecador.
008_00	Que escuta os versículos de Deus, quando lhe são recitados, e se obstina, ensoberbecido, como se não os tivesse ouvido! Anuncia-lhe um doloroso castigo.
009_00	E quando chega a conhecer algo dos Nossos versículos, escarnece-o. Estes sofrerão um humilhante castigo.
010_00	Frente a eles estará o inferno, e de nada lhes valerá tudo quanto tiverem acumulado, nem tampouco os que adotarem porprotetores, em vez de Deus. E sofrerão um severo castigo.
011_00	Este (Alcorão) é uma orientação. Quanto àqueles que negam os versículos do seu Senhor, sofrerão a pena de umadolorosa punição.
012_00	Deus foi Quem vos submeteu o mar para que, com o Seu beneplácito, o singrassem os navios e para que procurásseisalgo de Sua bondade, a fim de que Lhe agradecêsseis.
013_00	E vos submeteu tudo quanto existe nos céus e na terra, pois tudo d'Ele emana. Em verdade, nisto há sinais para os quemeditam.
014_00	Dize aos fiéis que perdoam aqueles que não esperam o dia de Deus, quando Ele retribuirá a cada povo segundo o seumerecimento.
015_00	Quem praticar o bem, será em benefício próprio; por outra, quem praticar o mal, o fará em seu detrimento. Logoretornareis a vosso Senhor.
016_00	Havíamos concedido aos israelitas o Livro, o comando, a profecia e o agraciamos com todo o bem, e os preferimos aosseus contemporâneos.
017_00	E lhes prescrevemos as evidências (com respeito aos dogmas); porém, não discreparam, senão por inveja recíproca, após lhes ter chegado o conhecimento.
017_01	Em verdade, teu Senhor julgará entre eles, devido às suas divergências, no Dia daRessurreição.
018_00	Então, te ensejamos (ó Mensageiro) o caminho reto da religião. Observa-o, pois, e não te entregues à concupiscência dosinsipientes.
019_00	Porque em nada poderão defender-te do castigo de Deus, por os iníquos são protetores uns dos outros. Porém, Deus é oProtetor dos tementes.
020_00	Este (Alcorão) encerra evidências para o homem, e é orientação e misericórdia para os persuadidos.
021_00	Pretendem, porventura, os delinqüentes, que os equiparemos aos fiéis, que praticam o bem? Pensam, acaso, que suasvidas e suas mortes serão iguais? Que péssimo é o que julgam!
022_00	Deus criou os céus e a terra com prudência, para que toda a alma seja compensada segundo o que tiver feito, e ninguémserá defraudado.
023_00	Não tens reparado, naquele que idolatrou a sua concupiscência! Deus extraviou-o com conhecimento, sigilando os seusouvidos e o seu coração, e cobriu a sua visão.
023_01	Quem o iluminará, depois de Deus (tê-lo desencaminhado)? Não meditais, pois?
024_00	E dizem: Não há vida, além da terrena. Vivemos e morremos, e não nos aniquilará senão o tempo! Porém, com respeito aisso, carecem de conhecimento e não fazem mais do que conjecturar.
025_00	E quando lhes são recitados os Nossos lúcidos versículos, seu único argumento é dizer: Trazei nosso pais, e estaiscertos!
026_00	Dize-lhes: Deus vos dá a vida, então vos fará morrer, depois vos congregará para o Dia indubitável da Ressurreição. Porém, a maioria dos humanos o ignora
027_00	A Deus pertence o reino dos céus e da terra, e no dia em que chegar a Hora, perecerão os difamadores!
028_00	E verás cada nação genuflexa; cada uma será convocada ante o seu registro. Hoje sereis retribuídos, segundo o quetendes feito!
029_00	Este é o Nosso registro, o qual depõe contra vós, porque anotávamos tudo quanto fazíeis.
030_00	Quanto aos fiéis que praticam o bem, seu Senhor os acolherá em sua misericórdia. Tal é o evidente benefício!
031_00	Não obstante, aos incrédulos (será dito): Porventura, não vos foram recitados os Meus versículos? Porém, ensoberbeceste-vos e vos tornastes pecadores.
032_00	E quando vos foi dito que a promessa de Deus é verdadeira e a Hora é indubitável, dissestes: Não sabemos o que é aHora e pensamos não passar de uma opinião quimérica, e não estamos convencidos!
033_00	Então, aparecer-lhe-ão as maldades que tiverem cometido, e os envolverá aquilo de que escarneciam!
034_00	E ser-lhes-á dito: Hoje vos esquecemos tal como vos esquecestes do comparecimento a este vosso dia! E a vossamorada será o fogo infernal, e jamais tereis socorredores.
035_00	Isso, porque escarnecestes dos versículos de Deus e vos iludiu a vida terrena! Assim, nesse dia não lhes será permitidosair dele (o fogo), nem lhes será permitida apelação.
036_00	Louvado seja Deus, Senhor dos céus e da terra, Senhor do Universo!
037_00	De cuja glória, nos céus e na terra, é possuidor, porque é o Poderoso, o Prudentíssimo.
