001_00	Алиф. Лам. Мим.
002_00	Аллах - нет божества, кроме Него, Живого, Вседержителя.
003_00	Он ниспослал тебе Писание с истиной в подтверждение того, что было до него. Он ниспослал Таурат (Тору) и Инджил (Евангелие),
004_00	которые прежде были руководством для людей. Он также ниспослал Различение (Коран). Воистину, тем, кто не верует в знамения Аллаха, уготованы тяжкие мучения, ведь Аллах - Могущественный, Способный на возмездие.
005_00	Воистину, ничто не скроется от Аллаха ни на земле, ни на небесах.
006_00	Он - Тот, Кто придает вам в утробах такой облик, какой пожелает. Нет божества, кроме Него, Могущественного, Мудрого.
007_00	Он - Тот, Кто ниспослал тебе Писание, в котором есть ясно изложенные аяты, составляющие мать Писания, а также другие аяты, являющиеся иносказательными.
007_01	Те, чьи сердца уклоняются в сторону, следуют за иносказательными аятами, желая посеять смуту и добиться толкования, хотя толкования этого не знает никто, кроме Аллаха.
007_02	А обладающие основательными знаниями говорят: «Мы уверовали в него (в Коран). Все это - от нашего Господа». Но поминают назидание только обладающие разумом.
008_00	Господь наш! Не уклоняй наши сердца в сторону после того, как Ты наставил нас на прямой путь, и даруй нам милость от Себя, ведь Ты - Дарующий!
009_00	Господь наш! Ты соберешь людей в день, в котором нет сомнения. Воистину, Аллах не нарушает обещания.
010_00	Ни богатство, ни дети ничем не помогут перед Аллахом тем, кто не уверовал. Они являются растопкой для Огня.
011_00	Таким же образом вели себя сородичи Фараона и те, которые жили до них. Они сочли ложью Наши знамения, и Аллах схватил их за грехи, ведь Аллах суров в наказании.
012_00	Скажи тем, которые не уверовали: «Вы будете побеждены и собраны в Геенне. Как же скверно это ложе!».
013_00	Знамением для вас стали две армии при Бадре: одна армия сражалась на пути Аллаха, другая же состояла из неверующих. Своими глазами они увидели, что неверующие вдвое превышают их числом.
013_01	Аллах оказывает поддержку тому, кому пожелает. Воистину, в этом есть назидание для обладающих зрением.
014_00	Приукрашена для людей любовь к удовольствиям, доставляемым женщинами, сыновьями, накопленными кантарами золота и серебра, прекрасными конями, скотиной и нивами.
014_01	Таково преходящее удовольствие мирской жизни, но у Аллаха есть лучшее место возвращения.
015_00	Скажи: «Рассказать ли вам о том, что лучше этого?
015_01	Для тех, кто богобоязнен, у Господа есть Райские сады, в которых текут реки, и в которых они пребудут вечно, а также очищенные супруги и довольство от Аллаха».
015_02	Аллах видит рабов,
016_00	которые говорят: «Господь наш! Воистину, мы уверовали. Прости же нам наши грехи и защити нас от мучений в Огне».
017_00	Они терпеливы, правдивы, смиренны, делают пожертвования и просят прощения перед рассветом.
018_00	Аллах засвидетельствовал, что нет божества, кроме Него, а также ангелы и обладающие знанием. Он поддерживает справедливость. Нет божества, кроме Него, Могущественного, Мудрого.
019_00	Воистину, религией у Аллаха является ислам.
019_01	Те, кому было даровано Писание, впали в разногласия только после того, как к ним явилось знание, по причине зависти и несправедливого отношения друг к другу. Если кто не уверовал в знамения Аллаха, то ведь Аллах скор на расчет.
020_00	Если они станут препираться с тобой, то скажи: «Я подчинил свой лик Аллаху вместе с теми, кто последовал за мной». Скажи тем, кому даровано Писание, а также необразованным людям: «Обратились ли вы в ислам?».
020_01	Если они обратятся в ислам, то последуют прямым путем. Если же они отвернутся, то ведь на тебя возложена только передача откровения. Аллах видит рабов.
021_00	Тех, которые не веруют в знамения Аллаха, и убивают пророков, не имея на это
021_01	никакого права, и убивают тех из людей, которые повелевают поступать справедливо, обрадуй мучительными страданиями.
022_00	Их деяния окажутся тщетными в этом мире и в Последней жизни, и не будет у них помощников.
023_00	Разве ты не видел, что тех, кому была дарована часть Писания, призывают к Писанию Аллаха, дабы оно рассудило между ними, но часть из них отворачивается с отвращением?
024_00	Это потому, что они говорят: «Огонь коснется нас лишь на считанные дни!». Их обольстило в их религии то, что они измышляли.
025_00	А что произойдет, когда Мы соберем их в тот день, в котором нет сомнения, когда каждая душа сполна получит то, что она приобрела, и когда с ними не поступят несправедливо?
026_00	Скажи: «О Аллах, Владыка царства! Ты даруешь власть, кому пожелаешь, и отнимаешь власть, у кого пожелаешь.
026_01	Ты возвеличиваешь, кого пожелаешь, и унижаешь, кого пожелаешь. Все благо - в Твоей Руке. Воистину, Ты способен на всякую вещь.
027_00	Ты удлиняешь день за счет ночи и удлиняешь ночь за счет дня.
027_01	Ты выводишь живое из мертвого и выводишь мертвое из живого. Ты даруешь удел без счета, кому пожелаешь».
028_00	Верующие не должны считать неверующих своими помощниками и друзьями вместо верующих.
028_01	А кто поступает так, тот не имеет никакого отношения к Аллаху, за исключением тех случаев, когда вы действительно опасаетесь их. Аллах предостерегает вас от Самого Себя, и к Аллаху предстоит прибытие.
029_00	Скажи: «Скроете ли вы то, что у вас в груди, или обнародуете, Аллах все равно знает об этом. Он знает о том, что на небесах и на земле. Аллах способен на всякую вещь».
030_00	В тот день, когда каждая душа увидит все добро и зло, которое она совершила, ей захочется, чтобы между ней и между ее злодеяниями было огромное расстояние.
030_01	Аллах предостерегает вас от Самого Себя. Аллах сострадателен к рабам.
031_00	Скажи: «Если вы любите Аллаха, то следуйте за мной, и тогда Аллах возлюбит вас и простит вам ваши грехи, ведь Аллах - Прощающий, Милосердный».
032_00	Скажи: «Повинуйтесь Аллаху и Посланнику». Если же они отвратятся, то ведь Аллах не любит неверующих.
033_00	Воистину, Аллах избрал и возвысил над мирами Адама, Нуха (Ноя), род Ибрахима (Авраама) и род Имрана.
034_00	Одни из них были потомками других. Аллах - Слышащий, Знающий.
035_00	Вот сказала жена Имрана: «Господи! Я дала обет посвятить Тебе одному того, кто находится в моей утробе. Прими же от меня, ведь Ты - Слышащий, Знающий».
036_00	Когда она родила ее, то сказала: «Господи! Я родила девочку, - но Аллаху было лучше знать, кого она родила.
036_01	- А ведь мальчик не подобен девочке. Я назвала ее Марьям (Марией) и прошу Тебя защитить ее и потомство ее от дьявола изгнанного, побиваемого».
037_00	Господь принял ее прекрасным образом, вырастил достойно и поручил ее Закарии (Захарии). Каждый раз, когда Закария (Захария) входил к ней в молельню, он находил возле нее пропитание.
037_01	Он сказал: «О Марьям (Мария)! Откуда у тебя это?». Она ответила: «Это - от Аллаха, ведь Аллах дарует пропитание без счета, кому пожелает».
038_00	Тогда Закария (Захария) воззвал к своему Господу, сказав: «Господи! Одари меня прекрасным потомством от Себя, ведь Ты внимаешь мольбе».
039_00	Когда он стоял на молитве в молельне, ангелы воззвали к нему: «Аллах радует тебя вестью о
039_01	Йахье (Иоанне), который подтвердит Слово от Аллаха и будет господином, воздержанным мужем и пророком из числа праведников».
040_00	Закария (Захария) сказал: «Господи! Как может у меня родиться сын, если старость уже настигла меня и жена моя бесплодна?». Аллах сказал: «Так Аллах вершит, что пожелает!».
041_00	Закария (Захария) сказал: «Господи! Покажи мне знамение». Аллах сказал: «Твое знамение будет в том, что ты будешь три дня разговаривать с людьми только знаками. Много поминай своего Господа и славь Его перед закатом и утром».
042_00	Вот сказали ангелы: «О Марьям (Мария)! Воистину, Аллах избрал тебя, очистил и возвысил над женщинами миров.
043_00	О Марьям (Мария)! Будь смиренной перед Господом твоим, падай ниц и кланяйся вместе с теми, кто кланяется».
044_00	Это - часть рассказов о сокровенном, которое Мы сообщаем тебе в откровении. Ты не был с ними, когда они бросали свои письменные трости, чтобы решить, кто из них будет опекать Марьям (Марию). Ты не был с ними, когда они препирались.
045_00	Вот сказали ангелы: «О Марьям (Мария)!
045_01	Воистину, Аллах радует тебя вестью о слове от Него, имя которому - Мессия Иса (Иисус), сын Марьям (Марии). Он будет почитаем в этом мире и в Последней жизни и будет одним из приближенных.
046_00	Он будет разговаривать с людьми в колыбели и взрослым и станет одним из праведников».
047_00	Она сказала: «Господи! Как я могу иметь сына, если меня не касался ни один мужчина». Он сказал: «Так Аллах творит, что пожелает! Когда Он принимает решение, то Ему стоит лишь сказать: «Будь!» - как это сбывается.
048_00	Он научит его Писанию и мудрости, Таурату (Торе) и Инджилу (Евангелию).
049_00	Он сделает его посланником к сынам Исраила (Израиля).
049_01	Он скажет: «Я принес вам знамение от вашего Господа.
049_02	Я сотворю вам из глины подобие птицы, подую на него, и оно станет птицей с позволения Аллаха.
049_03	Я исцелю слепого (или лишенного зрения от рождения; или обладающего слабым зрением) и прокаженного и оживлю мертвых с позволения Аллаха. Я поведаю вам о том, что вы едите и что припасаете в своих домах. Воистину, в этом есть знамение для вас, если только вы являетесь верующими.
050_00	Я пришел, чтобы подтвердить истинность того, что было в Таурате (Торе) до меня, и чтобы разрешить вам часть того, что было вам запрещено.
050_01	Я принес вам знамение от вашего Господа. Бойтесь же Аллаха и повинуйтесь мне.
051_00	Воистину, Аллах - мой Господь и ваш Господь. Поклоняйтесь же Ему, ибо таков прямой путь!»».
052_00	Когда Иса (Иисус) почувствовал их неверие, он сказал: «Кто будет моим помощником на пути к Аллаху?». Апостолы сказали: «Мы - помощники Аллаха.
052_01	Мы уверовали в Аллаха. Будь же свидетелем того, что мы являемся мусульманами!
053_00	Господь наш! Мы уверовали в то, что Ты ниспослал, и последовали за посланником. Запиши же нас в число свидетельствующих».
054_00	Они (неверующие) хитрили, и Аллах хитрил, а ведь Аллах - Наилучший из хитрецов.
055_00	Вот сказал Аллах: «О Иса (Иисус)! Я упокою тебя и вознесу тебя к Себе.
055_01	Я очищу тебя от тех, кто не уверовал, а тех, которые последовали за тобой, возвышу до самого Дня воскресения над теми, которые не уверовали. Затем вам предстоит вернуться ко Мне, и Я рассужу между вами в том, в чем вы разошлись во мнениях.
056_00	Тех, которые не уверовали, Я подвергну тяжким мучениям в этом мире и в Последней жизни, и не будет у них помощников».
057_00	Тех же, которые уверовали и совершали праведные деяния, Он одарит вознаграждением сполна. Воистину, Аллах не любит беззаконников.
058_00	Это и есть то, что Мы читаем тебе из аятов и мудрого Напоминания.
059_00	Воистину, Иса (Иисус) перед Аллахом подобен Адаму. Он сотворил его из праха, а затем сказал ему: «Будь!». - и тот возник.
060_00	Истина - от твоего Господа. Посему не будь в числе тех, кто сомневается.
061_00	Тому, кто станет препираться с тобой относительно него после того, что к тебе явилось из знания, скажи: «Давайте призовем наших
061_01	сыновей и ваших, наших женщин и ваших, нас самих и вас самих, а затем помолимся и призовем проклятие Аллаха на лжецов!».
062_00	Воистину, это - правдивый рассказ. Нет иного божества, кроме Аллаха, и, воистину, Аллах - Могущественный, Мудрый.
063_00	Если же они отвернутся, то ведь Аллаху известно о тех, кто распространяет нечестие.
064_00	Скажи: «О люди Писания!
064_01	Давайте придем к единому слову для нас и для вас, о том, что мы не будем поклоняться никому, кроме Аллаха, не будем приобщать к Нему никаких сотоварищей и не будем считать друг друга господами наряду с Аллахом». Если же они отвернутся, то скажите: «Свидетельствуйте, что мы - мусульмане».
065_00	О люди Писания! Почему вы препираетесь относительно Ибрахима (Авраама), ведь Таурат (Тора) и Инджил (Евангелие) были ниспосланы только после него. Неужели вы не разумеете?
066_00	Вы были людьми, которые препирались относительно того, что им известно. Почему же теперь вы препираетесь относительно того, что вам неизвестно? Аллах знает, а вы не знаете.
067_00	Ибрахим (Авраам) не был ни иудеем, ни христианином. Он был ханифом, мусульманином и не был из числа многобожников.
068_00	Воистину, самыми близкими к Ибрахиму (Аврааму) людьми являются те, которые последовали за ним, а также этот Пророк (Мухаммад) и верующие. Аллах же является Покровителем верующих.
069_00	Часть людей Писания желает ввести вас в заблуждение. Однако они вводят в заблуждение только самих себя и не ощущают этого.
070_00	О люди Писания! Почему вы не веруете в знамения Аллаха, хотя сами свидетельствуете?
071_00	О люди Писания! Почему вы облекаете истину ложью и скрываете истину, хотя сами знаете об этом?
072_00	Часть людей Писания говорит: «Уверуйте в то, что ниспослано верующим, в начале дня и перестаньте верить в конце его. Быть может, они обратятся вспять.
073_00	Верьте только тем, кто последовал вашей религии, дабы никто не получил то, что получили вы, и не препирался с вами перед вашим Господом». Скажи: «Воистину, верным руководством является руководство Аллаха».
073_01	Скажи: «Воистину, милость находится в Руке Аллаха. Он дарует ее, кому пожелает. Воистину, Аллах - Объемлющий, Знающий».
074_00	Он избирает для Своей милости, кого пожелает. Аллах обладает великой милостью.
075_00	Среди людей Писания есть такой, который вернет тебе целый кантар, если ты доверишь его ему; но есть и такой, который, если ты доверишь ему всего один динар, не вернет его тебе, пока ты не встанешь у него над душой.
075_01	Они поступают так, потому что говорят: «На нас не будет греха из-за этих невежд».
075_02	Они сознательно возводят навет на Аллаха.
076_00	О нет! Если кто выполняет обязательство и боится Аллаха, то ведь Аллах любит богобоязненных.
077_00	Воистину, тем, которые продают завет с Аллахом и свои клятвы за ничтожную цену, нет доли в Последней жизни.
077_01	Аллах не станет говорить с ними, не посмотрит на них в День воскресения и не очистит их. Им уготованы мучительные страдания.
078_00	Среди них есть такие, которые искажают Писание своими языками, чтобы вы приняли за Писание то, что не относится к нему. Они говорят: «Это - от Аллаха».
078_01	А ведь это вовсе не от Аллаха! Они сознательно возводят навет на Аллаха.
079_00	Если Аллах даровал человеку Писание, власть (знание или умение принимать решения) и пророчество, то ему не подобает говорить людям: «Будьте рабами мне, а не Аллаху».
079_01	Напротив, будьте духовными наставниками, поскольку вы обучаете Писанию и изучаете его.
080_00	Ему также не подобает приказывать вам признавать ангелов и пророков своими господами. Разве он станет приказывать вам совершить неверие после того, как вы стали мусульманами?
081_00	Вот Аллах взял завет с пророков: «Я одарю вас из Писания и мудрости. Если же после этого к вам явится Посланник, подтверждающий истинность того, что есть у вас, то вы непременно уверуете в него и поможете ему».
081_01	Он сказал: «Согласны ли вы и принимаете ли Мой завет?». Они ответили: «Мы согласны». Он сказал: «Будьте же свидетелями, и Я буду свидетельствовать вместе с вами».
082_00	Те же, которые отвернутся после этого, являются нечестивцами.
083_00	Неужели они ищут иной религии, помимо религии Аллаха, в то время, как Ему покорились все, кто на небесах и на земле, по своей воле или по принуждению, и к Нему они будут возвращены.
084_00	Скажи: «Мы уверовали в Аллаха и в ниспосланное нам, в ниспосланное Ибрахиму (Аврааму), Исмаилу (Измаилу), Исхаку (Исааку), Йакубу (Иакову) и коленам (двенадцати сыновьям Йакуба) ивдарованное Мусе (Моисею), Исе (Иисусу) и пророкам от их Господа.
084_01	Мы не делаем различий между ними, и Ему одному мы покоряемся».
085_00	От того, кто ищет иную религию помимо ислама, это никогда не будет принято, и в Последней жизни он окажется среди потерпевших урон.
086_00	Как же Аллах наставит на прямой путь людей, которые стали неверующими после того, как уверовали и засвидетельствовали правдивость Посланника, и после того, как к ним явились ясные знамения? Аллах не ведет прямым путем несправедливых людей.
087_00	Их воздаянием является проклятие Аллаха, ангелов и всех людей.
088_00	Они пребудут там (под проклятием или в Аду) вечно! Их мучения не будут облегчены, и они не получат отсрочки,
089_00	кроме тех, которые раскаялись после этого и исправили содеянное. Воистину, Аллах - Прощающий, Милосердный.
090_00	Воистину, от тех, которые стали неверующими после того, как уверовали, а потом приумножили свое неверие, не будет принято их покаяние. Они и есть заблудшие.
091_00	Воистину, от тех, которые не уверовали и умерли неверующими, не будет принято даже золото размером с землю, если кто-нибудь из них попытается откупиться этим.
091_01	Им уготованы мучительные страдания, и не будет у них помощников.
092_00	Вы не обретете благочестия, пока не будете расходовать из того, что вы любите, и что бы вы ни расходовали, Аллах ведает об этом.
093_00	Любая пища была дозволена сынам Исраила (Израиля), кроме той, которую Исраил (Израиль) запретил самому себе до ниспослания Таурата (Торы).
093_01	Скажи: «Принесите Таурат (Тору) и прочтите его, если вы говорите правду».
094_00	Те же, которые станут возводить навет на Аллаха после этого, являются беззаконниками.
095_00	Скажи: «Аллах изрек истину. Следуйте же религии Ибрахима (Авраама), поскольку он был ханифом и не был многобожником».
096_00	Воистину, первым домом, который воздвигнут для людей, является тот, что находится в Бекке (Мекке). Он воздвигнут как благословение и руководство для миров.
097_00	В нем есть ясные знамения - место Ибрахима (Авраама). Кто войдет в него, окажется в безопасности.
097_01	Люди обязаны перед Аллахом совершить хадж к Дому (Каабе), если они способны проделать этот путь. Если же кто не уверует, то ведь Аллах не нуждается в мирах.
098_00	Скажи: «О люди Писания! Почему вы не веруете в знамения Аллаха, в то время, как Аллах наблюдает за тем, что вы совершаете?».
099_00	Скажи: «О люди Писания! Почему вы сбиваете верующих с пути Аллаха, пытаясь исказить его, будучи свидетелями правдивости Мухаммада и истинности ислама? Аллах не находится в неведении относительно того, что вы совершаете».
100_00	О те, которые уверовали! Если вы покоритесь некоторым из тех, кому было даровано Писание, то они обратят вас в неверующих после того, как вы уверовали.
101_00	Как вы можете не веровать в то время, как вам читают знамения Аллаха, а Его Посланник находится среди вас? Кто крепко держится за Аллаха, тот действительно наставлен на прямой путь.
102_00	О те, которые уверовали! Бойтесь Аллаха должным образом и умирайте не иначе, как будучи мусульманами!
103_00	Крепко держитесь за вервь Аллаха все вместе и не разделяйтесь.
103_01	Помните о милости, которую Аллах оказал вам, когда вы были врагами, а Он сплотил ваши сердца, и по Его милости вы стали братьями.
103_02	Вы были на краю Огненной пропасти, и Он спас вас от нее. Так Аллах разъясняет вам Свои знамения, - быть может, вы последуете прямым путем.
104_00	Пусть среди вас будет группа людей, которые будут призывать к добру, повелевать одобряемое и запрещать предосудительное. Именно они окажутся преуспевшими.
105_00	Не походите на тех, которые разделились и впали в разногласия после того, как к ним явились ясные знамения. Именно им уготованы великие мучения
106_00	в тот день, когда одни лица побелеют, а другие - почернеют. Тем, чьи лица почернеют, будет сказано: «Неужели вы стали неверующими после того, как уверовали? Вкусите же мучения за то, что вы не верили!».
107_00	Те же, чьи лица побелеют, окажутся в милости Аллаха. Они пребудут там вечно.
108_00	Таковы аяты Аллаха, которые Мы читаем тебе истинно. Аллах не желает поступать с мирами несправедливо.
109_00	Аллаху принадлежит то, что на небесах и на земле, и к Аллаху возвращаются дела.
110_00	Вы являетесь лучшей из общин, появившейся на благо человечества, повелевая совершать одобряемое, удерживая от предосудительного и веруя в Аллаха.
110_01	Если бы люди Писания уверовали, то это было бы лучше для них. Среди них есть верующие, но большинство из них - нечестивцы.
111_00	Они не причинят вам никакого вреда, кроме досаждения. Если же они станут сражаться с вами, то повернутся к вам спиной, после чего им не будет оказана помощь.
112_00	Где бы их ни застали, их постигает унижение, если только они не окажутся под покровительством Аллаха и покровительством людей. Они попали под гнев Аллаха, и их постигла бедность.
112_01	Это - за то, что они не веровали в знамения Аллаха и несправедливо убивали пророков. Это - за то, что они ослушались и преступали границы дозволенного.
113_00	Не все они одинаковы. Среди людей Писания есть праведные люди, которые читают аяты Аллаха по ночам, падая ниц.
114_00	Они веруют в Аллаха и в Последний день, велят творить одобряемое, запрещают предосудительное и торопятся совершать добрые дела. Они являются одними из праведников.
115_00	Какой бы добрый поступок они ни совершили, ничто не будет отвергнуто от них. Ведь Аллах знает богобоязненных.
116_00	Ни имущество, ни дети ничем не помогут перед Аллахом тем, которые не уверовали. Они будут обитателями Огня и пребудут там вечно.
117_00	То, что они расходуют в этой мирской жизни, подобно морозному (или завывающему; или огненному) ветру, который поразил ниву людей, поступивших несправедливо по отношению к себе, а затем погубил ее.
117_01	Аллах не был несправедлив к ним - они сами поступали несправедливо по отношению к себе.
118_00	О те, которые уверовали! Не берите своими помощниками тех, кто не из вас.
118_01	Они не упускают случая навредить вам и радуются вашим трудностям. Ненависть уже проявилась у них на устах, но в их сердцах кроется еще большая ненависть. Мы уже разъяснили вам знамения, если вы только разумеете!
119_00	Вот вы любите их, а они вас не любят. И вы верите во все Писания. Когда они встречаются с вами, то говорят: «Мы уверовали».
