001_00	Сад. Клянусь Кораном, содержащим напоминание!
002_00	Однако те, которые не веруют, пребывают в гордыне и разладе с истиной.
003_00	Как же много поколений погубили Мы до них! Они взывали, но уже было поздно для того, чтобы уклониться.
004_00	Они удивились тому, что к ним явился предостерегающий увещеватель из них самих, и неверующие сказали: «Это - лживый колдун!
005_00	Неужели он обратил богов в Единственного Бога? Воистину, это - нечто удивительное!».
006_00	Знатные люди из их числа удалились со словами: «Ступайте и терпите за ваших богов. Воистину, это - некий замысел (или нечто желанное).
007_00	Мы не слышали об этом в последней религии. Это - не что иное, как вымысел.
008_00	Неужели среди нас Напоминание ниспослано только ему одному?». О нет! Они сомневаются в Моем Напоминании (Коране). О нет! Они еще не вкусили мучений.
009_00	Или же у них есть сокровищницы милости твоего Господа, Могущественного, Дарующего?
010_00	Или же им принадлежит власть над небесами, землей и тем, что между ними? Пусть же они поднимутся на небеса по путям (или веревкам).
011_00	Это войско будет разбито, подобно прежним соумышленникам.
012_00	До них посланников сочли лжецами народ Нуха (Ноя), адиты и Фараон, владыка кольев,
013_00	самудяне, народ Лута (Лота) и жители Айки. Это были соумышленники.
014_00	Все они сочли лжецами посланников, и истинным было Мое наказание.
015_00	Им нечего ждать, кроме одного лишь гласа, для которого нет возврата.
016_00	Они сказали: «Господь наш! Приблизь нашу долю (покажи нам книгу с нашими добрыми и злыми деяниями) до наступления Дня расчета».
017_00	Терпи то, что они говорят, и помяни Нашего могучего раба Давуда (Давида). Он всегда обращался к Аллаху.
018_00	Мы подчинили горы, и они славословили вместе с ним после полудня и утром.
019_00	А также птиц, собранных вместе. Все они обращались к Нему.
020_00	Мы укрепили его власть и даровали ему мудрость и решающее слово.
021_00	Дошла ли до тебя весть о тех, кто затеял тяжбу и перелез через стену молельни?
022_00	Они вошли к Давуду (Давиду), и он испугался их. Они сказали: «Не бойся, мы - двое тяжущихся.
022_01	Один из нас поступил несправедливо по отношению к другому. Рассуди же между нами по справедливости, не будь несправедлив и укажи нам на верный путь.
023_00	Это - мой брат. У него есть девяносто девять овец, а у меня - всего одна овца. Он сказал: «Отдай ее мне!» - и одолел меня на словах».
024_00	Давуд (Давид) сказал: «Он поступил по отношению к тебе несправедливо, когда попросил присоединить твою овцу к своим.
024_01	Воистину, многие партнеры поступают несправедливо по отношению друг к другу, кроме тех, которые уверовали и совершают праведные деяния.
024_02	Но таких мало». Давуд (Давид) убедился, что Мы подвергли его искушению, попросил прощения у своего Господа, пал ниц и раскаялся.
025_00	Мы простили ему это. Воистину, он приближен к Нам, и ему уготовано прекрасное место возвращения.
026_00	О Давуд (Давид)! Воистину, Мы назначили тебя наместником на земле.
026_01	Суди же людей по справедливости и не потакай порочным желаниям, а не то они собьют тебя с пути Аллаха. Воистину, тем, кто сбивается с пути Аллаха, уготованы тяжкие мучения за то, что они предали забвению День расчета.
027_00	Мы не создали небо, землю и то, что между ними, понапрасну. Так думают только те, которые не веруют. Горе же тем, которые не веруют, от Огня!
028_00	Неужели Мы уравняем тех, кто уверовал и совершал праведные деяния, с теми, кто распространял нечестие на земле? Или же Мы уравняем богобоязненных с грешниками?
029_00	Это - благословенное Писание, которое Мы ниспослали тебе, дабы они размышляли над его аятами и дабы обладающие разумом помянули назидание.
030_00	Мы даровали Давуду (Давиду) Сулеймана (Соломона). Как прекрасен был этот раб! Воистину, он всегда обращался к Аллаху.
031_00	Однажды после полудня ему показали коней, бьющих копытами, быстроногих (или породистых).
032_00	Он сказал: «Я продолжал отдавать предпочтение любви к добру перед поминанием моего Господа, пока оно (солнце) не скрылось за преградой.
033_00	Верните их ко мне!». А затем он стал рубить им голени и шеи.
034_00	Мы подвергли Сулеймана (Соломона) искушению и бросили на его трон тело (уродливое тело ребенка или дьявола), после чего он раскаялся (или вернулся к власти).
035_00	Он сказал: «Господи! Прости меня и даруй мне такую власть, которая не будет подобать никому после меня. Воистину, Ты - Дарующий».
036_00	Тогда Мы подчинили ему ветер, который нежно дул по его велению, куда бы он ни пожелал,
037_00	а также дьяволов - всяких строителей, ныряльщиков
038_00	и прочих, связанных оковами.
039_00	Это - Наш дар. Оказывай милость или удерживай - расчета не будет (ты не будешь нести ответственность за то, что одарял дарами одних и не оказывал милости другим, или тебе будут дарованы блага без расчета).
040_00	Воистину, он приближен к Нам, и ему уготовано прекрасное место возвращения.
041_00	Помяни Нашего раба Айюба (Иова). Он воззвал к своему Господу: «Дьявол причинил мне вред и мучения!».
042_00	Ему было сказано: «Топни ногой! Вот прохладная вода для купания и питье».
043_00	Мы даровали ему его семью и еще столько же вместе с ними по Нашей милости и как напоминание для обладающих разумом.
044_00	Возьми в руку пучок, ударь им жену и не преступай клятвы». Воистину, Мы нашли его терпеливым. Как прекрасен был этот раб! Воистину, он всегда обращался к Аллаху.
045_00	Помяни Наших рабов Ибрахима (Авраама), Исхака (Исаака) и Йакуба (Иакова), могучих и прозорливых.
046_00	Мы избрали их за то, что они искренне поминали Последнюю обитель.
047_00	Воистину, они у Нас - в числе избранных, лучших.
048_00	Помяни Исмаила (Измаила), Альясу (Елисея) иЗулькифла. Все они принадлежат к числу лучших.
049_00	Это - Напоминание, и богобоязненным уготовано прекрасное место возвращения -
050_00	сады Эдема, врата которых будут раскрываться перед ними.
051_00	Они будут возлежать там, прислонившись, и просить принести им множество фруктов и питье.
052_00	Рядом с ними будут сверстницы с потупленными взорами.
053_00	Это - то, что обещано вам ко Дню расчета.
054_00	Это - Наш неиссякаемый удел.
055_00	Вот так! Воистину, для преступивших границы дозволенного уготовано скверное место возвращения -
056_00	Геенна, в которой они будут гореть. Как же скверно это ложе!
057_00	Это - кипяток и гной. Пусть же они вкушают его.
058_00	Им уготованы и другие виды подобных мучений.
059_00	Неверующие скажут: «Вот толпа, ввергаемая вместе с вами. Нет им приветствия! Воистину, они будут гореть в Огне!».
060_00	Они скажут: «О нет! Это вам не будет приветствия! Это вы преподнесли его нам. Как же скверно это местопребывание!».
061_00	Они скажут: «Господь наш! Приумножь многократно мучения в Огне тем, кто преподнес это нам».
062_00	Они скажут: «Что с нами? Почему мы не видим мужей, которых мы считали плохими?
063_00	Неужели мы несправедливо глумились над ними? Или же просто взоры не падают на них?».
064_00	Воистину, препирательство обитателей Огня является истиной.
065_00	Скажи: «Я - всего лишь предостерегающий увещеватель. Нет божества, кроме Единственного и Всемогущего Аллаха,
066_00	Господа небес, земли и того, что между ними, Могущественного, Всепрощающего».
067_00	Скажи: «Это - великая весть,
068_00	от которой вы отворачиваетесь.
069_00	У меня не было знания о том, как препирались в высшем сонме.
070_00	Мне внушается в откровении только то, что я - всего лишь предостерегающий и разъясняющий увещеватель».
071_00	Вот твой Господь сказал ангелам: «Я создам человека из глины.
072_00	Когда же Я придам ему соразмерный облик и вдохну в него от Моего духа, то падите перед ним ниц».
073_00	Все ангелы без исключения пали ниц,
074_00	кроме Иблиса, который возгордился и стал одним из неверующих.
