001_00	Ха. Мим.
002_00	Клянусь ясным Писанием!
003_00	Воистину, Мы сделали его Кораном на арабском языке, чтобы вы могли уразуметь.
004_00	Воистину, он находится у Нас в Матери Писания (Хранимой скрижали). Он возвышен, преисполнен мудрости.
005_00	Неужели Мы отвратим от вас Напоминание (Коран) из-за того, что вы - народ излишествующий?
006_00	Сколько пророков Мы отправляли к первым поколениям!
007_00	Но какой бы пророк ни приходил к ним, они издевались над ним.
008_00	Мы погубили тех, которые превосходили их мощью, и уже миновали примеры прежних поколений.
009_00	Если ты спросишь их: «Кто сотворил небеса и землю?». - они непременно скажут: «Их сотворил Могущественный, Знающий».
010_00	Он сделал для вас землю колыбелью и создал для вас на ней дороги, чтобы вы могли следовать прямым путем.
011_00	Он ниспослал с неба воду в меру, и ею Мы оживили мертвую землю. Таким же образом вы будете выведены из могил.
012_00	Он сотворил всякие пары животных и растений и создал для вас среди кораблей и скотины те, на которых вы ездите,
013_00	чтобы вы поднимались на их спины (или палубы), а затем поминали милость вашего Господа после того, как поднялись на них, и говорили: «Пречист Тот, Кто подчинил нам это, ведь мы сами на такое были неспособны.
014_00	Воистину, мы вернемся к нашему Господу».
015_00	Они (многобожники) сделали некоторых из Его рабов частью Его (приписали Ему детей и сотоварищей). Воистину, человек явно неблагодарен.
016_00	Неужели из Своих творений Он взял Себе дочерей, а вас почтил сыновьями?
017_00	Когда кому-либо из них сообщают весть о рождении той, которую они приписывают Милостивому, его лицо чернеет, и он сдерживает свой гнев.
018_00	Неужели они приписывают Аллаху ту, которую растят в нарядах и которая не способна ясно говорить при тяжбе?
019_00	Они сделали ангелов, которые являются рабами Милостивого, женщинами. Разве они присутствовали при их сотворении? Их свидетельство будет записано, и они будут спрошены.
020_00	Они сказали: «Если бы Милостивый пожелал, то мы не поклонялись бы им». У них нет об этом никакого знания, и они всего лишь лгут.
021_00	Разве Мы даровали им до этого Писание, которого они придерживаются?
022_00	О нет! Они сказали: «Воистину, мы нашли своих отцов на этом пути, и мы верно следуем по их стопам».
023_00	Таким же образом, какого бы предостерегающего увещевателя Мы ни отправляли до тебя в какое-либо селение, его изнеженные роскошью жители обязательно говорили: «Воистину, мы нашли своих отцов на этом пути, и мы верно следуем по их стопам».
024_00	Он сказал: «А если я принес вам то, что более верно, чем то, на чем вы нашли ваших отцов?». Они сказали: «Мы не веруем в то, с чем вы посланы».
025_00	Мы отомстили им. Посмотри же, каким был конец тех, кто считает истину ложью.
026_00	Вот Ибрахим (Авраам) сказал своему отцу и народу: «Воистину, я не имею отношения к тому, чему вы поклоняетесь,
027_00	кроме Того, Кто сотворил меня. Воистину, Он поведет меня прямым путем».
028_00	Он сделал это (свидетельство о том, что нет божества, кроме Аллаха) словом, пребывающим в его потомстве, чтобы они могли вернуться на прямой путь.
029_00	Но Я позволил им и их отцам пользоваться благами до тех пор, пока к ним не явились истина и разъясняющий посланник.
030_00	Когда же истина явилась к ним, они сказали: «Это - колдовство, и мы не веруем в него».
031_00	Они также сказали: «Почему этот Коран не был ниспослан великому мужу из двух городов (Мекки и Таифа)?».
032_00	Разве это они распределяют милость твоего Господа?
032_01	Мы распределили между ними их средства к существованию в мирской жизни и возвысили одних из них над другими по степеням, чтобы одни из них брали в услужение себе других. Милость твоего Господа лучше того, что они собирают.
033_00	Если бы люди не могли стать одной общиной неверующих, то Мы сделали бы в домах тех, которые не веруют в Милостивого, серебряные крыши и лестницы, на которые они бы взбирались,
034_00	а также серебряные двери и ложа в их домах, на которых они бы лежали, прислонившись,
035_00	а также украшения. Все это - всего лишь преходящие блага мирской жизни, а Последняя жизнь у твоего Господа уготована для богобоязненных.
036_00	К тем, кто отвращается от поминания Милостивого (или кто слеп к Нему), Мы приставим дьявола, и он станет его товарищем.
037_00	Они не будут пускать их на путь Аллаха, а те будут считать, что они следуют прямым путем.
038_00	Когда же неверующий явится к Нам, он скажет дьяволу: «Лучше бы между мной и тобой было расстояние от запада до востока! Какой же ты плохой товарищ!».
039_00	Им будет сказано: «Вы поступали несправедливо, и сегодня вам не поможет то, что вы разделяете мучения».
040_00	Разве ты можешь заставить слышать глухих или наставить на прямой путь слепых и того, кто находится в очевидном заблуждении?
041_00	Мы можем забрать тебя, но Мы все равно непременно отомстим им.
042_00	Мы также может показать тебе то, что обещали им, ведь Мы властны над ними.
