001_00	Каф. Клянусь славным Кораном!
002_00	Но удивились они тому, что к ним явился предостерегающий увещеватель из них самих, и неверующие сказали: «Это - нечто удивительное!
003_00	Неужели это (воскрешение) произойдет после того, как умрем и станем прахом? Это возвращение невероятно!».
004_00	Мы знаем, что земля отнимает от них, и у Нас есть сохраняющее (или хранимое) Писание.
005_00	Но они сочли ложью истину, когда она явилась к ним, и теперь они находятся в замешательстве.
006_00	Неужели они не смотрели на то, как Мы построили и украсили небо над ними? В нем нет расщелин.
007_00	Мы простерли землю, установили на ней незыблемые горы и взрастили на ней всякие великолепные пары растений
008_00	для разъяснения и напоминания каждому рабу, который обращается к Аллаху.
009_00	Мы ниспослали с неба благословенную воду и взрастили посредством нее сады и зерна собранного урожая,
010_00	и высокие финиковые пальмы с висящими рядами плодами.
011_00	Таково пропитание для рабов. Мы оживили ею мертвую землю. Таким же будет выход из могил!
012_00	До них сочли лжецами посланников народ Нуха (Ноя), жители Расса и самудяне,
013_00	адиты, народ Фараона и братья Лута (Лота),
014_00	жители Айки и народ Тубба (Тобба). Все они сочли лжецами посланников, и сбылась Моя угроза.
015_00	Разве Мы изнемогли после первого сотворения? Но они сомневаются в новом сотворении (воскрешении).
016_00	Мы сотворили человека и знаем, что нашептывает ему душа. Мы ближе к нему, чем яремная вена.
017_00	Двое ангелов сидят справа и слева и принимают (записывают деяния).
018_00	Стоит ему произнести слово, как при нем оказывается готовый наблюдатель.
019_00	Смертельная агония явится с истиной. Вот то, чего ты избегал!
020_00	И подуют в Рог. Это - День угрозы!
021_00	И каждая душа явится вместе с погонщиком и свидетелем.
022_00	Ты был беспечен к этому, но Мы сорвали с тебя твое покрывало, и острым является сегодня твой взор.
023_00	Его товарищ (ангел) скажет: «Вот то, что подготовлено у меня».
024_00	Вдвоем бросайте в Геенну каждого упрямого неверующего,
025_00	который отказывал в добре, совершал преступления и терзался сомнениями,
026_00	который признавал наряду с Аллахом другого бога. Бросайте их в тяжкие мучения!».
027_00	Его товарищ (дьявол) скажет: «Господь наш! Я не сбивал его с пути. Он сам находился в глубоком заблуждении».
028_00	Он скажет: «Не препирайтесь предо Мной. Я предупреждал вас заранее.
029_00	Мое Слово неизменно, и Я не поступаю несправедливо с рабами».
030_00	В тот день Мы скажем Геенне: «Заполнилась ли ты?». Она скажет: «Нет ли добавки?».
031_00	А Рай приблизится к богобоязненным и окажется неподалеку.
032_00	Вот то, что обещано вам для каждого обращающегося к Аллаху и помнящего (помнящего свои грехи и предписания религии или соблюдающего предписания религии),
033_00	который боялся Милостивого, не видя Его воочию, и явился с обращающимся сердцем.
034_00	Им будет сказано: «Входите сюда с миром. Это - День вечности!».
035_00	Там для них уготовано все, что они пожелают, а Мы добавим еще (позволим взглянуть на Лик Аллаха).
036_00	Сколько же Мы истребили до них поколений, которые превосходили их мощью! Они странствовали по земле. Но разве они могли сбежать?
037_00	Воистину, в этом заключено напоминание для тех, у кого есть сердце, кто прислушивается и присутствует при этом.
038_00	Мы сотворили небеса, землю и то, что между ними, за шесть дней, и Нас ничуть не коснулась усталость.
039_00	Терпеливо сноси то, что они говорят, и прославляй хвалой твоего Господа перед восходом солнца и перед закатом.
040_00	Прославляй Его в некоторые часы ночи и после земных поклонов.
041_00	Слушай! В тот день глашатай воззовет поблизости (или прислушайся в тот день, когда глашатай воззовет поблизости).
042_00	В тот день они услышат звук истинно. Это - День выхода из могил.
043_00	Воистину, Мы оживляем и умерщвляем, и к Нам предстоит прибытие.
044_00	В тот день земля разверзнется для них, когда они будут спешить. Нам легко собрать их таким образом.
045_00	Нам лучше знать, что они говорят, и тебе не надо принуждать их. Увещевай же Кораном тех, кто страшится Моей угрозы.
