001_00	О завернувшийся!
002_00	Встань и увещевай!
003_00	Господа своего величай!
004_00	Одежды свои очищай!
005_00	Скверны (идолов) сторонись!
006_00	Не оказывай милости, чтобы получить большее!
007_00	Ради Господа твоего будь терпелив!
008_00	Когда же протрубят в рог,
009_00	то день тот будет Днем тяжким,
010_00	нелегким для неверующих.
011_00	Оставь Меня с тем, кого Я сотворил одиноким,
012_00	даровал ему большое богатство
013_00	и сыновей, которые находились рядом с ним,
014_00	и распростер перед ним этот мир полностью.
015_00	После всего этого он желает, чтобы Я добавил ему.
016_00	Но нет! Он упрямо отрицает Наши знамения.
017_00	Я возложу на него подъем (восхождение на гору в Аду).
018_00	Он подумал и рассчитал.
019_00	Да сгинет он! Как он рассчитал?!
020_00	Да сгинет он еще раз! Как он рассчитал?!
021_00	Затем он задумался.
022_00	Затем он нахмурился и насупился.
023_00	Затем он повернулся спиной и возгордился
024_00	и сказал: «Это - не что иное, как пересказанное колдовство.
025_00	Это - не что иное, как слова человека».
026_00	Я брошу его в Преисподнюю.
027_00	Откуда ты мог знать, что такое Преисподняя?
028_00	Она не щадит и не оставляет.
029_00	Она сжигает кожу.
030_00	Их (ангелов) над ней - девятнадцать.
031_00	Стражами Огня мы сделали только ангелов, а количество их сделали искушением для неверующих, чтобы удостоверились те, кому было даровано Писание, чтобы усилилась вера у верующих, чтобы не сомневались те, кому было даровано Писание, и верующие, и чтобы спросили те, чьи сердца поражены недугом, и неверующие: «Что хотел Аллах этой притчей?».
031_01	Так Аллах вводит в заблуждение, кого пожелает, и ведет прямым путем, кого пожелает.
031_02	Воинство твоего Господа не знает никто, кроме Него.
031_03	Это же - не что иное, как Напоминание для человечества.
032_00	О да! Клянусь луной!
033_00	Клянусь ночью, когда она отступает!
034_00	Клянусь зарей, когда она занимается!
035_00	Это есть одно из величайших явлений,
036_00	предостерегающее человечество -
037_00	тех из вас, кто желает продвигаться вперед благодаря праведным деяниям или отступать назад, совершая грехи.
038_00	Каждый человек является заложником того, что он приобрел,
039_00	кроме людей правой стороны.
040_00	В Райских садах они будут расспрашивать друг друга
041_00	о грешниках.
042_00	Что привело вас в Преисподнюю?
043_00	Они скажут: «Мы не были в числе тех, которые совершали намаз.
044_00	Мы не кормили бедняков.
045_00	Мы погружались в словоблудие вместе с погружавшимися.
046_00	Мы считали ложью Последний день,
047_00	пока к нам не явилась убежденность (смерть)».
048_00	Заступничество заступников не поможет им.
049_00	Что же с ними? Почему они отворачиваются от Напоминания,
050_00	словно напуганные ослы,
051_00	бегущие от стрелка (или льва)?
052_00	Но ведь каждый из них желает получить развернутые свитки.
053_00	Но нет! Они не боятся Последней жизни.
054_00	Но нет! Это есть Назидание.
055_00	Помянет его тот, кто захочет.
056_00	Но они не помянут его, если этого не пожелает Аллах. Он - Тот, Кто достоин страха и способен на прощение.
