001_00	Клянусь посылаемыми с добром,
002_00	несущимися быстро,
003_00	распространяющими бурно,
004_00	различающими твердо,
005_00	и передающими Напоминание
006_00	для оправдания или предостережения.
007_00	Обещанное вам непременно сбудется.
008_00	Когда погаснут звезды,
009_00	когда расколется небо,
010_00	когда развеются горы,
011_00	когда посланникам будет установлен срок.
012_00	До какого дня отсрочено?
013_00	До Дня различения!
014_00	Откуда ты мог знать, что такое День различения?
015_00	Горе в тот день тем, кто считает истину ложью!
016_00	Разве мы не погубили первые поколения?
017_00	Вслед за ними Мы отправили последующие поколения.
018_00	Так поступаем Мы с грешниками.
019_00	Горе в тот день тем, кто считает истину ложью!
020_00	Разве Мы не сотворили вас из презренной жидкости
021_00	и не поместили ее в надежном месте
022_00	до известного срока?
023_00	Мы предопределили меру, и как прекрасно Мы предопределяем!
024_00	Горе в тот день тем, кто считает истину ложью!
025_00	Разве Мы не сделали землю вместилищем
026_00	для живых и мертвых?
027_00	Разве Мы не воздвигли на ней незыблемые и высокие горы и не напоили вас пресной водой?
028_00	Горе в тот день тем, кто считает истину ложью!
029_00	Ступайте к тому, что вы считали ложью!
030_00	Ступайте к тени с тремя разветвлениями.
031_00	Не прохладна она и от пламени не избавляет,
032_00	а он бросает искры, подобные замку,
033_00	который выглядит словно желтые верблюды.
034_00	Горе в тот день тем, кто считает истину ложью!
035_00	В тот день они будут безмолвствовать,
036_00	и не будет им дозволено оправдываться.
037_00	Горе в тот день тем, кто считает истину ложью!
038_00	Вот День различения! Мы собрали вас и тех, кто был прежде.
039_00	Если у вас есть какая-нибудь хитрость, то ухитритесь против Меня!
040_00	Горе в тот день тем, кто считает истину ложью!
041_00	А богобоязненные, воистину, пребудут среди сеней и источников
042_00	и плодов, каких только пожелают.
043_00	Ешьте и пейте во здравие за то, что вы совершали!
044_00	Так Мы вознаграждаем творящих добро.
045_00	Горе в тот день тем, кто считает истину ложью!
046_00	Вкушайте и наслаждайтесь недолго, ведь вы являетесь грешниками.
047_00	Горе в тот день тем, кто считает истину ложью!
048_00	Когда им говорят: «Поклонитесь!». - они не кланяются.
049_00	Горе в тот день тем, кто считает истину ложью!
050_00	В какой же рассказ после этого вы уверуете?
