001_00	Tâ, Sín. Këto janë ajetet e Kur’anit dhe Librit të qartë,
002_00	udhërrëfyes dhe sihariques për besimtarët,
003_00	të cilët kryejnë namazin dhe ndajnë zeqatin dhe të cilët besojnë bindshëm në jetën tjetër.
004_00	Me të vërtetë, ata që nuk kanë besuar në jetën tjetër, Na ua kemi zbukuruar veprat e tyre (të prirura kah e keqja) – andaj, ata, janë të hutuar.
005_00	Këta janë ata, që i pret dënimi i rëndë dhe, të cilët – në jetën tjetër do të jenë në humbjen më të madhe.
006_00	Dhe, ty (o Muhammed!), me të vërtetë, po të shpallet Kur’ani nga i Gjithëdijshmi dhe i Plotëdijshmi!
007_00	(Kujtoje) kur Musai i tha familjes së tij: “Unë kam parë një zjarr, do t’ju sjell juve ndonjë lajm prej atje ose do t’ju sjell një un zjarri, për t’u nxe”,
008_00	e kur (Musai) erdhi te zjarri, u thirr: “Është i bekuar ai që është afër zjarrit dhe kush është rreth tij, dhe qoftë lavdëruar Perëndia – Zot’i gjithësisë!
009_00	O Musa! Me të vërtetë, Unë jam Perëndia, i Plotëfuqishëm dhe i Gjithëdijshëm!
010_00	Dhe, hudhe shkopin tënd! E, kur e pa (Musai) atë që po lëvizë si gjarpër ai (shkopi), u kthye para (menjëherë), e nuk shikoi më (nga frika). (Perëndia i tha): “O Musa, mos u friko! Me të vërtetë, tek Unë nuk frikohen pejgamberët (meqë janë të sigurt);
011_00	e atij, i cili ka bërë keq, e pastaj të keqen e zëvendëson me vepër të mirë, Unë me të vërtetë, jam Falës dhe Mëshirues (e falë atë).
012_00	Shtine dorën tënde në xhepin e këmishës, do të dalë e bardhë pa kurrfarë sëmundje, - do të jetë kjo njëra prej nëntë mrekullive (me të cilat është dërguar Musai) te Faraoni dhe populli i tij; ata, me të vërtetë, janë popull ngatërrestarë”.
013_00	E, pasi u erdhën atyre argumentet Tona konkrete, ata thanë: “Kjo është magji e qartë!”
014_00	Dhe, ata i mohuan ato – duke qenë zullumqarë dhe mendjemëdhenj – por shpirti i tyre i besonte për të vërteta. Pa, shiko, çfarë ka qenë fundi i ngatërrestarëve!
015_00	Dhe Ne, me të vërtetë, i kemi dhënë Davudit dhe Sulejmanit dijeni, dhe ata thanë: “Falenderojmë Perëndinë që na ka dekoruar mbi shumicën e robërve të Tij besimtarë!
016_00	Dhe, Sulejmani e trashëgoi Davudin dhe tha: “O njerëz, na është mësuar neve të folurit e shpendëve (kuptimi i zërave të tyre) dhe na është dhënë gjithçka (nga ato që u jepen pejgamberëve dhe sundimtarëve)!”
017_00	Dhe, u tubua ushtria e Sulejmanit e përbërë prej xhindëve, njerëzve dhe shpendëve, të gjithë të radhitur në çeta të gatshme,
018_00	dhe kur arritën në luginën e thneglave, një thnegël tha: “O thnegla, hyni në banesat tuaja, ë të mos ju shkel Sulejmani dhe ushtria e tij, meqë nuk ju hetojnë juve!”
019_00	E, ai (Sulejmani) preku në gaz, duke qeshur në fjalët e saj (thneglës) dhe tha: “O Zoti im, më oriento që të jem mirënjohës në dhuntinë Tënde, që më ke dhënë mua
019_01	dhe prindërve të mi, dhe që të punojë vepra të mira, me të cilat do të jeshë i kënaqur Ti, dhe më shpie me mëshirën Tënde, në mesin e robërve Tu të mirë!
020_00	Dhe, ai (Sulejmani), bëri kontrollin (rivistën) e shpendëve dhe tha: “Pse nuk e shoh pupëzën këtu, a nuk është e pranishme ajo?
021_00	Nëse nuk më sjell arsyetim të bindshëm, do ta dënoj atë me dënim të rëndë ose do ta pres!”
022_00	E, nuk vonoi shumë, e erdhi ajo edhe tha: “Kam marrë vesh atë që nuk e ke ditur ti dhe të kam sjellë lajm të sigurt prej Sabes.
023_00	Kam parë nëj grua që i sundonte ata dhe që i është dhënë çdo gjë (që i nevojitet një sundimtareje) dhe e cila kishte një fron madhështor;
024_00	kam parë se edhe ajo edhe populli i saj adhuronin Diellin, e jo Perëndinë, djalli ua ka zbukuruar sjelljet e tyre dhe i ka zmbrapë nga rruga e drejtë, andaj nuk e gjetën rrugën e drejtë,
025_00	e që t’i bëjnë sexhde Perëndisë, i cili i nxjerr të gjitha gjërat sekrete në qiej dhe në Tokë dhe i cili di çka fshihni ju dhe çka tregoni haptazi.
026_00	Perëndia është Një, s’ka zot tjetër përveç Tij, Zotit të Arshit të madh!”
027_00	(Sulejmani) tha: “Do të shohim se, a thua të vërtetën, apo je nga gënjeshtarët.
028_00	Shko me këtë letër timen e hudhju atyre. Pastaj largohu pak nga ata, dhe shiko ç’po të përgjigjen ty!”
029_00	Ajo (mbretëresha e Sabes) tha: “O pari, mua, me të vërtetë, më ka arritur letër e madhërueshme.
030_00	Ajo (letër) është nga Sulejmani dhe citon: “Me emër të Perëndisë, Mëshiruesit dhe Përdëllimtarit të Madh!
031_00	Mos u madhështoni para meje dhe ejani të përulur!
032_00	(Mbretëresha) tha: “O pari, më këshilloni se ç’duhet të bëjë në këtë çështje time! Unë nuk do të vendos asgjë pa ju!”
033_00	Ata thanë: “Na jemi shumë të fortë dhe luftëtarë të guximshëm, por puna është te ti, andaj mendo mirë se ç’do të urdhërosh!”
034_00	Ajo tha: “Me siguri, kur sundimtarët e pushtojnë ndonjë vendbanim, e çrregullojnë atë dhe i poshtërojnë banorët e tyre autoritativë. Kështu veprojnë ata.
035_00	Unë, do t’ju dërgoj atyre një dhuratë dhe do të shoh se me çka do të kthehen të deleguarit”.
036_00	Kur erdhi (i deleguari) te Sulejmani, ai (Sulejmani) tha: “A mos doni ju të më ndihmoni me pasuri? Atë që ma ka dhënë Perëndia mua, është më e mirë nga ajo që u ka dhënë juve. Por, ju, gëzohenime dhuratën tuaj.
037_00	Kthehuni tek ata! Na, me siguri do të sjellim ushtri, të cilës nuk do të mund t’i përballojnë ata – dhe ne me siguri, do t’i dëbojmë ata prej Sabes (krahinë në Jemen), të poshtëruar dhe të përulur.
038_00	(Sulejmani tha): “O parësi, kush prej jush do të më sjellë fronin e saj, para se të vijnë ata të përulur?”
039_00	Njëri nga xhindet – Ifriti tha: “Unë do të ta sjelli ty para se të ngritesh ti prej vendit tënd, dhe – unë për këtë jam i fuqishëm dhe i sigurtë”.
040_00	Ai, që ishte i pajisur me dijen e Librit – prezent te Sulejmani, tha: “Unë do të ta sjellë ty atë – sa çel e mbyll sytë”.
040_01	Kur (Sulejmani) pa (fronin) e vendosur para tij, tha: “Kjo është nga dhuntitë e Zotit tim, për të më provuar mua se – a jam mirënjohës apo mohues (i dhuntisë).
040_02	Kus falenderon, ai falenderon për dobi të veten, e kush mohon... (dënohet), e Zoti im është i pavarur (s’ka nevojë për falenderim) dhe i madhërueshëm.
