001_00	Çasti i të vërtetës!
002_00	Çka është Çasti i të vërtetës?
003_00	Kush ta shpjegon ty (plotësisht) Çastin e të vërtetës (Kijametin)?
004_00	Themudi dhe Adi e kanë përgënjeshtruar Kijametin,
005_00	e populli i Themudit është shkatërruar me një ulurimë (britmë) të madhe temrruese,
006_00	e populli i Adit është shkatërruar me një furtunë të hatashme,
007_00	të cilën Perëndia ua ka dërguar atyre shtatë netë dhe tetë ditë – parreshtur, e ku mund t’i vërejshe njerëzit e përmbysur si trungjet e hurmeve të kalbura,
008_00	e, a po sheh mos ka mbetur kush prej tyre?
009_00	E, ka ardhur Faraoni, dhe ata para tij, si dhe populli (i Lutit), me gabime të mëdha
010_00	dhe e kundërshtuan të dërguarin e Zotit të tyre, andaj Perëndia i ka dënuar ata me dënim të ashpër.
011_00	Ne, kur vërshoi uji i madh, ju ngarkuam juve në anije,
012_00	për t’ju bërë këtë juve mësim dhe që të mbajnë mend veshët e atyre njerëzve (të dijshëm),
013_00	e kur të fryejë njëherë buria,
014_00	e toka dhe malet të bartën e të copëtohen nga një shpërthim (eksplodim)
015_00	atë ditë do të ngjajë Dita e Kijametit,
016_00	dhe do të çahet qielli, e atë ditë do të jetë i thyeshëm,
017_00	dhe engjëjt do të rrinë anëve të qiellit, kurse atë ditë – tetë grupe engjëjsh do ta mbajnë Arshin (fronin) e Zotit tënd.
018_00	Atë ditë do të pyeteni (paraqiteni) ju, dhe asnjë fshehtësi e juaj nuk do të mbetët e pazbuluar:
019_00	atij që i jepet libri i veprave të tij në dorën e djathtë, do t’ju thotë (të tjerëve): Qe, lexoni librin, tim;
020_00	unë kam qenë i bindur se do të paraqes llogari.
021_00	E, ai është në një jetë të këndshme,
022_00	në një kopsht të mrekullueshëm,
023_00	frutet e të cilit janë të ulëta (afër duarve).
024_00	(Ju thuhet atyre): “Ju bafshin mirë ushqimi dhe pijet për veprat që keni punuar, në ditët e kaluara!”
025_00	Atij që i jepet libri i veprave të tij në dorën e majtë, do të thotë: “Ah, mos të më ishte dhënë libri im,
026_00	dhe mos të kisha ditur për llogarinë time,
027_00	Ah, të kisha qenë i vdekur (të mos isha ringjallur)!
028_00	Pasuria ime nuk më solli dobi,
029_00	dhe falimentoi fuqia ime!
030_00	(e atyre u thuhet): “Kapni ata dhe lidhni në pranga,
031_00	pastaj në skëterrë fërgoni,
032_00	e mandej lidhni në zingjirë prej shtatëdhjetë kutësh,
033_00	sepse, ai, me të vërtetë, nuk ka besuar Perëndinë e Madhërueshëm,
034_00	dhe nuk ka nxitur të ushqejë të varfërit e shkretë.
035_00	Prandaj, ai, sot këtu, nuk ka mik të dashur,
036_00	as ushim tjetër, përpos qelbësirës;
037_00	të cilin e hanë vetëm fajtorët (jobesimtarët).
038_00	E, Unë betohem me atë çka shihni ju,
039_00	dhe me atë që nuk shihni,
040_00	me të vërtetë, ajo (Kur’ani) është fjala e shpallur Profetit të shenjtë,
041_00	e nuk është fjalë e poetit. Pak ju besoni,
042_00	e as nuk është fjalë e ndonjë magjistari (falltori), pak po mendoni ju!
043_00	(Kur’ani) është i zbritur nga Zotii gjithësisë!
044_00	Sikur të kishte trilluar (Muhammedi) diçka prej fjalëve në llogari Tonë,
045_00	Ne do ta kapnim atë ëpr dorën e djathtë,
046_00	dhe do t’ia prenim arterien e zemrës,
047_00	dhe askush prej jush nuk do të mund ta mbronte prej këtij (dënimi).
048_00	Me të vërtetë, ai (Kur’ani), është, këshillë për ata që dëshirojnë zbatimin e urdhërave dhe të ruhen prej të këqiave,
049_00	por, Ne, me siguri, e dimë, që ka prej jush përgënjeshtrues.
050_00	Me të vërtetë, ai (Kur’ani), është, fatkeqësi për mohuesit,
051_00	por, ai (Kur’ani), padyshim, është e vërtetë e pamohueshme.
052_00	Prandaj, falenderohu me emrin e Zotit tënd të Madhërueshëm.
