001_00	Kaf ha ya ayn Saad.
002_00	[Detta är] en berättelse om hur din Herre bevisade Sin tjänare Sakarias Sin nåd.
003_00	När han i en tyst [innerlig] bön bad till sin Herre,
004_00	sade han: "Herre! Min kropp har blivit svag och mitt huvud har vitnat, men aldrig har Du, Herre, låtit mig gå ohörd ifrån Dig.
005_00	Jag oroar mig vid tanken på vad mina närmaste och mina medbröder [kan företa sig] när jag är borta. Min hustru har varit ofruktsam. Skänk mig av nåd en [son och] efterföljare,
006_00	som kan bli min arvinge och arvinge till Jakobs hus; och gör honom sådan att Du finner behag i honom!"
007_00	[Svaret gavs av änglarna:] ”Hör, Sakarias, det glada budskapet vi ger dig! En son [skall födas åt dig], som skall bära namnet Johannes. 'Vi har inte gett någon före honom detta namn,' [säger Gud].”
008_00	[Sakarias] sade: "Herre! Hur skulle jag kunna få en son, när min hustru är ofruktsam och jag är en skröplig och orkeslös åldring?"
009_00	[Ängeln] svarade: ”Det skall bli [som jag har sagt]. Din Herre säger: 'Detta är lätt för Mig; Jag har förut skapat dig ur ingenting!'”
010_00	[Sakarias] sade: "Herre, ge mig ett tecken!" [Ängeln] svarade: "Det tecken du begär är att du under tre dagar inte skall tala till människor [fastän din tunga är hel].
011_00	Och han gick ut ur helgedomen till sitt folk och tecknade åt dem att de morgon och afton skulle lovprisa Gud.
012_00	[När sonen fötts och växt upp, sade Vi:] "Johannes! Håll med kraft fast vid [Vår] Skrift!" - Och Vi skänkte honom visdom [redan] i hans tidiga ungdom
013_00	och, som Vår särskilda gåva, ett ömt sinne och [viljan till] renhet, och han fruktade Gud
014_00	och var en god [son] tillgiven sina föräldrar och visade sig aldrig övermodig eller trotsig.
015_00	[Guds] fred var med honom den dag han föddes och skall vara med honom den dag han dör och den dag då han skall uppväckas från de döda.
016_00	OCH MINNS [vad] denna Skrift [har att säga om] Maria. Hon drog sig ifrån de sina till ett [avskilt] rum i öster
017_00	och lät dem förstå att hon ville vara i ostördhet genom [att anbringa] ett förhänge. Och Vi sände till henne Vår ingivelses ängel som uppenbarade sig för henne i en välskapad mans skepnad.
018_00	Då ropade hon: "Jag ber om den Nåderikes beskydd mot dig! [Kom inte nära mig] om du fruktar Gud!"
019_00	[Ängeln] sade: ”Jag är ingenting annat än en budbärare från din Herre [med hälsningen:] 'Jag skall skänka dig en son, ren och rättfärdig.'”
020_00	Hon sade: "Hur skulle jag, som ingen man har rört, kunna få en son? Jag har aldrig fört ett lösaktigt liv!"
021_00	[Ängeln] svarade: ”Det skall bli [som jag har sagt]. Din Herre säger: 'Detta är lätt för Mig och [det sker] för att han skall bli ett tecken för människorna och [en symbol för] Vår nåd. Så har [Vi] beslutat!'”
022_00	Och hon blev havande och drog sig undan med sin börda till en avlägsen trakt.
023_00	Och [när hennes tid var inne] drev henne födslovåndorna [att ta stöd] mot en palmstam och hon utbrast: "Ack om jag hade fått dö och överlämnas åt glömskan innan detta [skedde]!"
024_00	Då [hörde hon någon] som ropade nedifrån [palmens rot]: "Sörj inte! Din Herre har låtit en bäck rinna upp under dina [fötter];
025_00	och ruska på palmstammen så skall mogna och saftiga dadlar falla ner omkring dig.
026_00	Ät och drick och var vid gott mod! Och om du skulle bli varse en mänsklig varelse, låt honom då veta att du har avlagt ett löfte till den Nåderike att avhålla dig [från tal], och att du därför i dag inte skall tala till någon människa."
027_00	I sinom tid återvände hon till de sina med barnet på armen. Då sade de: "Maria, du har gjort något oerhört!
028_00	Du Arons syster! Din fader var inte en dålig människa och din moder var inte en lösaktig slampa!"
029_00	Då pekade hon på barnet. [Men] de svarade: "Hur skulle vi kunna tala till ett spädbarn [som ligger] i sin linda?"
030_00	[Då talade] han [till dem]: "Jag är Guds tjänare. Han har gett mig uppenbarelsen och kallat mig till profet;
031_00	Han har välsignat mig, var jag än befinner mig, och befallt mig att så länge jag lever förrätta bönen och ta mig an de fattiga
032_00	och att älska min moder och visa henne aktning - och Han har inte gjort mig till en eländig tyrann.
033_00	[Guds] fred var med mig den dag jag föddes och skall vara med mig den dag jag dör och den dag då jag skall uppväckas från de döda."
034_00	DETTA ÄR med sanna ord Jesus, Marias son, om vars [natur] de tvistar.
035_00	Guds [majestät] förbjuder att Han skulle ha en son; stor är Han i Sin härlighet! När Han beslutar att något skall vara, säger Han endast till det: "Var!" - och det är.
036_00	Och [Jesus själv sade:] "Gud är min Herre och er Herre - Honom skall ni dyrka! Detta är en rak väg."
037_00	Men de sekter [som uppstod genom splittringen bland efterföljarna av äldre uppenbarelser] är sinsemellan oense [om Jesus]. Varna dem som förnekade sanningen! En olycksdiger Dag kommer de att få bevittna fruktansvärda ting!
038_00	Hör deras rop och se [hur de beter sig] när de förs fram inför Oss! Men i dag, i denna värld, är de orättfärdiga uppenbarligen helt [fångna] i sina misstag.
039_00	Varna dem därför för Jämmerns och grämelsens dag, då [allt skall fullbordas och Guds] domar falla; nu gör de sig inga bekymmer [för denna Dag] - de tror inte [ens att den skall komma].
040_00	Vi skall förbli när jorden och allt på den [har förgått], och det är till Oss [alla] skall föras åter.
041_00	OCH MINNS [vad] denna Skrift [har att säga om] Abraham; Han var en man av sanning och en profet,
042_00	och han sade till sin fader: "Fader! Varför tillber du [stenar] som varken kan höra eller se och som är dig till ingen nytta
043_00	Fader! Jag har fått del av en kunskap som du inte har fått del av. Följ mig [så] skall jag visa dig en rak väg.
044_00	Fader! Dyrka inte Djävulen - Djävulen som gjorde uppror mot den Nåderike.
045_00	Fader! Jag fruktar att Guds straff skall drabba dig och att du då [skall inse att du] varit Djävulens vän."
046_00	[Fadern] sade: "Hatar du mina gudar, Abraham? Om du inte upphör med detta [tal], skall jag laga så att du blir stenad. Ge dig nu av [och låt mig slippa se dig] under lång tid!"
047_00	[Abraham] svarade: "Fred vare med dig! Jag skall be till min Herre, att Han förlåter dig. Han har alltid varit god mot mig.
048_00	Och jag skall dra mig undan från er alla och från det som ni anropar i Guds ställe, och jag skall anropa min Herre [och ingen annan]. Kanske hör Han min bön."
049_00	Och sedan han lämnat dem och det som de dyrkade i Guds ställe, skänkte Vi honom Isak och Jakob och kallade dem båda till profeter.
050_00	Och Vi gav dem del av Vår nåd och lät [senare släkten] hålla dem högt i ära som sanningens män.
051_00	OCH MINNS [vad] denna Skrift [har att säga om] Moses. Han var en av de utvalda, Guds sändebud [och] profet.
052_00	Vi kallade på honom från berget Sinais högra sida och drog honom intill Oss i en hemlighetsfull gemenskap;
053_00	och i Vår nåd gav Vi honom [som medhjälpare] hans broder Aron [och kallade honom till] profet.
054_00	OCH MINNS [vad] denna Skrift [har att säga om] Ismael. Han stod alltid vid sitt ord och han var [Guds] sändebud [och] profet.
055_00	Han förmanade sitt folk att förrätta bönen och att ta sig an de fattiga. Och Gud var nöjd med honom.
056_00	OCH MINNS [vad] denna Skrift [har att säga om] Idrees. Han var en man av sanning, en profet,
057_00	och Vi upphöjde honom till en hög värdighet.
058_00	DESSA ÄR några av de profeter som Gud välsignade med Sina gåvor - Adams ättlingar och ättlingar till dem som Vi räddade tillsammans med Noa [i arken], Abrahams och Israels ättlingar; [alla hörde] till dem som Vi har väglett och utvalt.
058_01	När de hörde den Nåderikes budskap föll de ned på sina ansikten i tillbedjan medan deras ögon fylldes av tårar.
059_00	Men efter dem kom människor av sämre halt. De lät bönen falla i glömska och gick dit deras passioner drev dem; de skall drabbas av bitter besvikelse.
060_00	Det gäller inte dem som visar ånger och blir troende och lever ett rättskaffens liv. De skall stiga in i paradiset och ingen orätt skall tillfogas dem;
061_00	[det är] Edens lustgårdar, som den Nåderike har lovat Sina tjänare [och vars salighet] övergår allt vad de kan föreställa sig. Hans löfte blir alltid verklighet.
062_00	Där skall de inte höra tomt och meningslöst tal - men [hälsas med] fredshälsningen - och där skall de få, morgon och afton, allt vad de behöver för sitt välbefinnande.
063_00	Detta är paradiset som Vi skall ge i arv åt Våra gudfruktiga tjänare.
064_00	[ÄNGLARNA säger:] "Vi stiger inte ned annat än på din Herres befallning; det som vi kan uppfatta, det som är dolt för oss och allt det som är däremellan ligger i Hans [hand]. Och din Herre glömmer ingenting -
065_00	Herren över himlarna och jorden och allt som är emellan dem! Dyrka Honom därför utan att förtröttas i din dyrkan! Känner du någon som kan kallas Hans namne?"
066_00	OCH MÄNNISKAN [som förnekar sanningen] säger: "Skall jag sedan jag en gång är död stiga fram till nytt liv?"
067_00	Minns då inte [denna] människa att Vi förut skapade henne ur ingenting?
068_00	Vid din Herres namn! Vi skall förvisso samla dem [på Uppståndelsens dag] liksom de onda väsen [som ledde dem på avvägar] och Vi skall släpa dem på knäna fram till helvetets rand.
069_00	Sedan skall Vi från varje grupp dra fram dem som gick längst i sitt trots mot den Nåderike;
070_00	det är nämligen Vi som bäst vet vilka som är mest förtjänta av att svedas av dess lågor.
071_00	Ingen av er skall slippa ifrån denna [syn]. Det är din Herres fasta beslut.
072_00	Därefter skall Vi föra dem i säkerhet som fruktade Gud. Men de orättfärdiga lämnar Vi kvar där, hukande på sina knän.
073_00	OCH NÄR Våra klara budskap läses upp för dem, säger förnekarna av sanningen till de troende: "Vilken av [våra] båda grupper lever under bättre villkor och visas större aktning vid [våra] möten?"
074_00	Men hur många släkten har Vi inte låtit gå under före dem, [människor] som levde i större bekvämlighet än de och som överträffade dem även i yttre glans
075_00	Säg: "Måtte den Nåderike bevilja dem som så envist håller fast vid sina misstag [ett långt] uppskov!" [Och låt dem säga vad de säger] till dess de ser det som de varnades
075_01	för - antingen det är straffet [i denna värld] eller den Yttersta stunden - och inser vilken av de båda grupperna, som är i ett sämre läge och har ett svagare stöd.
076_00	Gud ger dem som vill låta sig ledas en allt klarare insikt om var den rätta vägen går; det bestående goda [du gör] är det bästa inför din Herre och ger den bästa avkastningen.
077_00	Vad anser du om den som, fastän han förnekar Våra budskap, säger: "Helt visst skall både rikedom och [många] söner komma på min lott"?
078_00	Har han kanske fått se in i framtiden eller har han fått till stånd en överenskommelse med den Nåderike
079_00	Visst inte! Vi skall skriva ned vad han säger och Vi skall förlänga hans straff [i nästa liv];
080_00	det som han talar om skall återgå till Oss, och [en Dag] skall han stiga fram ensam inför Oss [utan rikedomar, utan söner, utan stöd].
081_00	Dessa [människor] har nämligen tagit sig för att i Guds ställe dyrka gudar som [de tror skall ge dem] mera makt och ära.
082_00	Nej [de misstar sig]! De [som var föremål för deras dyrkan] skall tvärtom på [Domens dag] svära sig fria från denna dyrkan och bli [sina forna anhängares] motståndare.
083_00	SER DU inte [Muhammad] att Vi släpper de onda krafterna lösa mot sanningens förnekare [så att] de eggar dem vidare [i förnekelse och trots]?
084_00	Ha därför inte så bråttom att nedkalla [Vårt straff] över dem; Vi håller räkning på de [dagar som återstår] för dem.
085_00	Den Dag då Vi samlar de gudfruktiga inför den Nåderike i en ärofull församling
086_00	och låter de obotfärdiga syndarna drivas ned i helvetet, såsom boskapen drivs till vattningsstället;
087_00	[den Dagen] skall ingen kunna tala till förmån för en annan än den som har slutit förbund med den Nåderike.
088_00	Och de säger: "Den Nåderike har [avlat] en son!"
089_00	Ni har här yttrat något oerhört,
090_00	något som skulle kunna spränga himlarna i stycken och få jorden att rämna och bergen att störta i djupet!
091_00	Att [människor går så långt att] de tilldelar den Nåderike en son!
092_00	Föreställningen att den Nåderike har [avlat] en son är oförenlig [med Hans gudomliga majestät]!
093_00	Ingen av de varelser [som befolkar] himlarna och jorden kan nalkas den Nåderike annat än som [Hans] tjänare;
094_00	Han vet deras antal - var och en är räknad -
095_00	och var och en skall på Uppståndelsens dag stiga fram ensam inför Honom.
096_00	DEN NÅDERIKE skall låta [mycken] kärlek komma dem till del, som tror och lever ett rättskaffens liv.
097_00	Och så har Vi gjort denna [Skrift] lätt att förstå, [förmedlad] på ditt eget språk [Muhammad], just för att du med den skall förkunna ett kärleksfullt budskap om hopp för de gudfruktiga och varna dem som vill bestrida och sätta allt i fråga.
098_00	Hur många släkten har Vi inte låtit gå under före dem; [och nu] - kan du se skymten av någon av dem [som förintades] eller ens förnimma en viskning från dem?
