001_00	Ta seen meem.
002_00	DETTA ÄR budskap ur Skriften, som är klar i sig själv och som klart framställer sanningen.
003_00	Grämer du dig över att de [som du förmanar och varnar] inte vill tro?
004_00	Om Vi ville hade Vi kunnat ge dem ett tecken från himlen, så att de hade böjt sina nackar inför det i ödmjuk underkastelse.
005_00	Men så snart en ny påminnelse når dem från den Nåderike, vänder de sig bort.
006_00	Nu har de påstått [att även detta budskap] är en lögn. Men [tids nog] skall de få veta vad det var som de förnekade och brukade skämta om.
007_00	Har de inte sett hur Vi har låtit jorden bära många nyttiga växter av alla slag
008_00	I detta ligger helt visst ett budskap [till människorna] men de vill inte tro, de flesta av dem.
009_00	Din Herre är den Allsmäktige, den Barmhärtige.
010_00	[MINNS] hur din Herre kallade Moses till Sig [och sade]: "Gå till det orättfärdiga folket,
011_00	Faraos folk; finns det inte någon bland dem som fruktar [Gud]?"
012_00	[Moses] svarade: "Herre! Jag är rädd att de kommer att kalla mig lögnare,
013_00	så att jag kommer ur fattningen och att min tunghäfta [förvärras]. Sänd därför bud efter Aron!
014_00	De kan också ställa mig till svars för ett brott [som jag har begått] och jag är rädd att de kanske kommer att döda mig."
015_00	[Gud] svarade: "Du har ingenting att frukta! Bege er nu i väg med Våra tecken, [du och din broder]; Vi skall vara med er och lyssna [till allt].
016_00	Och gå till Farao och säg: 'Världarnas Herre har sänt oss [med begäran]
017_00	att du låter Israels barn lämna landet med oss.'”
018_00	[När Moses hade framfört sitt budskap] sade [Farao]: "Fostrade vi dig inte när du var barn [och du växte upp] hos oss? Och bodde du inte mitt ibland oss [många] år av ditt liv
019_00	Och ändå begick du den handling som du begick och visade därmed [din] otacksamhet."
020_00	[Moses] svarade: "Jag gjorde detta vid en tid då jag hade hamnat på orätta vägar
021_00	och jag flydde från er därför att jag fruktade [för mitt liv]. Men min Herre har skänkt mig omdöme [och visdom] och har utsett mig till en av [Sina] budbärare.
022_00	Och din godhet mot mig - består den i att du har gjort israeliterna till dina slavar?"
023_00	Farao sade: "Vad är det [du säger]? Världarnas Herre?"
024_00	[Moses] svarade: "[Gud är] Herre över himlarna och jorden och allt som finns däremellan; [det skulle ni inse] om ni har viljan att bli övertygade."
025_00	[Farao] sade till de kringstående: "Har ni hört [på maken]?"
026_00	[Moses] sade: "[Han är] er Herre och [alla] era förfäders Herre."
027_00	[Farao] sade: "Denne [föregivne] profet, som [påstår att han] är utsänd till oss, måste vara besatt!"
028_00	[Moses] fortsatte: "[Han är] Herre över öst och över väst och allt som finns däremellan - [det skulle ni inse] om ni använde ert förstånd!"
029_00	[Farao] sade: "Om du sätter upp någon annan än mig som gud, skall jag minsann låta kasta dig i fängelse!"
030_00	[Moses] svarade: "Även om jag ger dig ett klart [bevis]?"
031_00	[Farao] sade: "Kom då fram med det, om du talar sanning!"
032_00	Då kastade [Moses] sin stav, och det var tydligt [för alla att] den var en orm;
033_00	och han drog fram sin hand och [alla kringstående] såg att den var [skinande] vit.
034_00	[Farao] sade till stormännen som omgav honom: "Denne är helt säkert en mästare i trolldom,
035_00	som vill driva bort oss från vårt land med hjälp av sin trolldom. Vad råder ni mig till?"
036_00	De svarade: "Låt honom och hans broder vänta medan du sänder bud till städerna
037_00	att alla skickliga trollkarlar skall inställa sig hos dig."
038_00	Och så församlades trollkarlarna vid den tid och på den dag som getts till känna
039_00	och människorna tillfrågades om alla hade infunnit sig.
040_00	[Och någon sade:] "Kanske får vi gå med [i processionen] bakom trollkarlarna, om de segrar."
041_00	Då trollkarlarna kom, sade de till Farao: "Vi väntar oss minsann en frikostig belöning om det är vi som tar hem segern."
042_00	[Farao] svarade: "Visst! Och ni skall höra till dem som står mig nära."
043_00	Moses sade till dem: "Kasta nu vad det är ni vill kasta!"
044_00	Och de kastade sina rep och sina stavar och sade: "Så sant som all makt ligger hos Farao är det vi som har segrat!"
045_00	Då kastade Moses sin stav och den slukade synvillorna som de hade framkallat.
046_00	Och trollkarlarna kastade sig ned på sina ansikten
047_00	och utropade: "Vi tror nu på världarnas Herre,
048_00	Moses och Arons Herre!"
049_00	[Farao] sade: "Tror ni på honom innan jag har gett er tillåtelse? Han måste vara den mästare som har undervisat er i trolldom!
049_01	Men ni skall få pröva på [min vrede]! Jag svär att jag skall hugga av er motsatt hand och fot till sista man; ja, jag skall korsfästa er utan förskoning!"
050_00	De svarade: "[Det är för oss] ett mindre ont, eftersom vi återvänder till vår Herre.
051_00	Vi hoppas få Hans förlåtelse för våra synder, då vi är de första som antar tron."
052_00	[EFTER EN tid] gav Vi Moses genom ingivelse denna befallning: "Tåga bort med Mina tjänare under natten, ni kommer nämligen att förföljas!"
053_00	Och Farao sände bud till städerna med befallning att [männen] skulle inkallas till krigstjänst [och att följande skulle kungöras:]
054_00	"[Israeliterna] är en ynklig skara,
055_00	fulla av avoghet mot oss;
056_00	men vi är ett folk på vår vakt
057_00	och vi har drivit bort dem från deras trädgårdar och källor
058_00	och de rikedomar de samlade och den hedersamma plats [som de intog i vårt land]."
059_00	Så [gick de till väga]. - Men [därefter] gav Vi Israels barn [allt] detta i arv.
060_00	Och de förföljande [egyptierna] hann upp dem vid soluppgången;
061_00	och när de två människohoparna kom inom synhåll för varandra, ropade de som tågade med Moses: "De kommer att hinna ifatt oss [och göra slut på oss]!"
062_00	[Moses] svarade: "Nej! Min Herre är med mig och Han kommer att leda mig."
063_00	Och Vi befallde Moses: "Slå på vattnet med din stav!" - och se, då delade sig [havet] och de två delarna reste sig som mäktiga berg.
064_00	Och Vi ledde förföljarna fram till denna plats.
065_00	Vi räddade Moses och alla som var med honom
066_00	och därefter lät Vi de andra dränkas.
067_00	I detta ligger helt visst ett budskap [till människorna] men de flesta av dem vill inte tro.
068_00	Din Herre är den Allsmäktige, den Barmhärtige.
069_00	OCH BERÄTTA för dem om Abraham -
070_00	hur han frågade sin fader och sitt folk: "Vad är det ni tillber?"
071_00	De svarade: "Vi tillber [våra] gudabilder och vi skall fortsätta att ge dem vår hängivna dyrkan."
072_00	[Abraham] sade: "Hör de er när ni anropar dem,
073_00	eller kan de hjälpa er eller skada er?"
074_00	De svarade: "Nej, men vi gör vad vi har sett våra fäder göra."
075_00	Han sade: "Har ni ägnat en tanke åt vad det är ni dyrkar,
076_00	ni och alla era förfäder
077_00	Dessa [gudar] är mina fiender - [för mig] finns ingen [gud] utom världarnas Herre.
078_00	Det är Han som har skapat mig och Han som leder mig,
079_00	och Han som ger mig mat och dryck.
080_00	Och när jag är sjuk, återger Han mig hälsan.
081_00	Han skall låta mig dö och därefter väcka mig till nytt liv
082_00	och på Domens dag - det är mitt hopp - skall Han förlåta mig mina synder!"
083_00	[Och Abraham bad:] "Herre! Ge mig visdom och förena mig med skaran av Dina rättfärdiga [tjänare];
