001_00	Alif lam meem.
002_00	TROR människorna att de efter att ha förklarat "Vi tror" skall lämnas i fred utan att få utstå prövningar
003_00	Men Vi satte deras föregångare på prov [och Guds vägar kommer att förbli desamma]; Gud vet vilka de sanna och uppriktiga är och Han vet vilka som ljuger.
004_00	Eller tror de som gör orätt att de skall undgå Vår [uppmärksamhet]? Då dömer de illa!
005_00	Den som med hopp ser fram emot mötet med Gud [kan vara förvissad om] att den av Gud utsatta [dagen för räkenskap] skall komma. - Han är Den som hör allt, vet allt!
006_00	Och den som strävar och kämpar [med Gud för ögonen] strävar och kämpar för sitt eget bästa; Gud är Sig själv nog och har inte behov av [någon eller något i] Sin skapelse.
007_00	Och för dem som tror och lever rättskaffens skall Vi stryka ut deras dåliga handlingar [ur deras bok] och Vi skall belöna dem efter deras bästa handlingar!
008_00	Vi har anbefallt människan [att vara] god mot sina föräldrar; men om [dina föräldrar] vill förmå dig att sätta något som du inte har kunskap om vid Min sida, skall du inte lyda dem.
008_01	Till Mig skall ni föras åter och Jag skall låta er veta vad era handlingar [var värda].
009_00	Och de som antar tron och lever rättskaffens skall Vi sannerligen innesluta i de rättfärdigas [gemenskap].
010_00	BLAND människorna finns de som säger "Vi tror på Gud"; men när de lider orätt för sin tro ser de i människornas förföljelser ett Guds straff [och sviktar i tron]; men
010_01	om din Herre ger [de troende] seger säger de helt säkert: "[Kom ihåg att] vi stod på er sida!" Skulle Gud inte veta vad Hans skapade varelser gömmer i sitt innersta
011_00	Helt visst känner Gud de troende och lika visst känner Han hycklarna.
012_00	Och förnekarna av sanningen säger till de troende: "Följ vår väg så skall vi ta på oss era synder!" Men de kan inte ta på sig [dessa troendes] synder - vad de säger är ren lögn!
013_00	De skall sannerligen få bära sina egna bördor och [andra] bördor i tillägg till sina egna; och på Uppståndelsens dag skall de helt visst få stå till svars för de [lögner] som de diktade upp.
014_00	OCH VI sände Noa till hans folk och han blev hos dem niohundrafemtio år, och de dränktes av [den stora] floden, djupt sjunkna i synd som de var.
015_00	Men Vi räddade honom och dem som var med honom i arken; Vi gjorde detta till ett tecken för alla folk.
016_00	OCH [MINNS] Abraham som sade till sitt folk: "Dyrka Gud och frukta Honom! [Ni skulle inse att] detta är bäst för er, om ni visste [skillnaden mellan rätt och orätt]!
