001_00	Saad.
002_00	De som förnekar sanningen av högmod och motsägelselusta [och förkastar dess budskap bör tänka på]
003_00	hur många släkten Vi har låtit gå under före dem! [När de såg straffet] ropade de [på förskoning], men den tid då de hade kunnat rädda sig var förbi.
004_00	De förvånas över att [en man] ur deras egen krets kommer till dem för att varna dem, och förnekarna av sanningen säger: "Hans vältalighet bländar oss, men det är bara lögn.
005_00	Han gör ju alla gudar till en gud? Det är högst märkligt!"
006_00	Och deras ledare sade till varandra när de bröt upp [från en överläggning:] "Låt oss hålla fast vid våra gudar! Här ligger helt säkert något bakom!
007_00	Något liknande har vi inte hört från [de kristna]. Nej, detta är bara [hans eget] påfund.
008_00	Skulle just han vara den bland oss [som hedrats med] att få ta emot [Guds] påminnelse?" Nej, det är Min uppenbarelse som de tvivlar på! Men de har inte ännu fått smaka Mitt straff.
009_00	Eller har de kanske i sina händer din Herres förråd av nåd, Han, den Allsmäktige, Givaren?
010_00	Eller har de herraväldet över himlarna och jorden och allt som finns däremellan? Låt dem då med de medel [som står dem till buds] stiga upp [till himlen och därifrån försöka styra allt]!
011_00	De är bara en liten skara som har gaddat sig samman [mot Profeten]; de är redan besegrade.
012_00	Före dem förkastade Noas folk sanningen och [stammen] Aad och [de otaliga] tältmasternas Farao
013_00	och [stammen] Thamud och Lots folk och de som befolkade [Madyans] skogklädda dalar, [alla] tog de ställning [mot sanningen] -
014_00	alla utan undantag beskyllde de budbärarna för lögn - och Mitt straff drabbade dem, rättvist och oundvikligt.
015_00	Ett enda [ihållande] dån är vad dessa [nutida förnekare] har att vänta på; och inget uppskov skall ges.
016_00	De [vågar] säga: "Herre! Låt oss få vår del [av straffet] genast, före Räkenskapens dag!"
017_00	Bär vad de säger [Muhammad] med jämnmod och minns Vår tjänare David, stark till kropp och själ. Han vände alltid tillbaka till Oss [i ånger över sina fel].
018_00	Vi lät bergen förena sig med honom, vid dagens slut och i soluppgången, i lovsång till Vår ära,
019_00	liksom fåglarnas skaror, som alla lydigt återvände [till honom].
020_00	Och Vi befäste hans makt och gav honom visdom och säkert omdöme.
021_00	HAR DU inte hört berättelsen om de tvistande parterna som klättrade över muren till Davids bönerum?
022_00	När de plötsligt kom emot honom, blev han orolig; [men] de sade: "Vi vill dig ingenting ont!
022_01	[Vi ligger i] tvist med varandra. En av oss har gjort den andre orätt; fäll därför din rättvisa dom mellan oss utan att ta parti för någon och visa oss den rätta vägen.
023_00	Detta är min bror som äger nittionio tackor, medan jag har en enda tacka, och han sade till mig: 'Lämna henne i min vård!' och inför hans hotfulla språk måste jag ge vika."
