001_00	ALLT det som himlarna rymmer och det som jorden bär prisar Gud; Han är den Allsmäktige, den Vise.
002_00	Det är Han som förmådde dem av efterföljarna av äldre tiders uppenbarelser som förnekade sanningen, att överge sina hem vid den första [stora] mönstringen.
002_01	Ni [troende] tvivlade på att de skulle ge sig av [utan strid] och de trodde att de var väl skyddade mot Guds makt i sina fästen.
002_02	Men Guds hårda slag drabbade dem från ett håll som de inte hade räknat med, och Han injagade [sådan] skräck i deras hjärtan att de raserade sina hem med egna händer - och de troende [rev vad som återstod]. Lär av detta, ni som ser klart!
003_00	Om Gud inte hade beslutat att de skulle förvisas skulle Han ha låtit [ytterligare] lidande drabba dem i denna värld. Men i det kommande livet [väntar dem] Eldens straff
004_00	eftersom de satte sig upp mot Gud och Hans Sändebud och den som sätter sig upp emot Gud [skall få erfara att] Gud straffar med stränghet.
005_00	När ni [troende] högg ned deras palmer eller lät dem stå, [skedde allt] enligt Guds vilja, och för att förnedra dem som hade förhärdat sig i olydnad och trots.
006_00	[Glöm inte att] ni varken har behövt sporra häst eller kamel för att vinna det byte [som ni tog från fienden och] som Gud har överlämnat till Sitt Sändebud.
006_01	Gud lägger makten över dem Han vill i Sina sändebuds händer; Gud är allsmäktig.
007_00	Det som Gud anvisar Sitt Sändebud av [det byte som tagits utan krig] av städernas folk tillhör Gud och Sändebudet, [hans] närmaste, de faderlösa och de behövande och vandringsmannen.
007_01	Det får inte bli [en handelsvara], som cirkulerar mellan dem av er som lever i välstånd.
007_02	Tag alltså emot vad [Hans] Sändebud ger er [av detta] och avstå [villigt] från det som han nekar er; och frukta Gud; Gud straffar med stränghet.
008_00	Bland dem [som skall få del av bytet är] de fattiga och utvandrarna som tvingats att lämna sina hem och sin egendom och överge ondskans rike för att söka Guds nåd och Hans välbehag och som ger sina bidrag [i kampen] för Guds och Hans Sändebuds sak.
008_01	De är de som har en sann och uppriktig [tro].
009_00	[Till dem hör också] de som var bofasta i staden och antog tron före [utvandrarnas ankomst, och som] med kärlek bemötte alla som sökte tillflykt hos dem och inte missunnade dem vad de fick ta emot, utan tvärtom gav dem företräde, trots att de själva måste göra uppoffringar.
009_01	De som värjer sig för girighetens [frestelser] - dem skall det gå väl i händer.
010_00	De som kommer efter dem ber: "Herre, ge oss Din förlåtelse och förlåt våra bröder som gått före oss i tron, och låt inte ovilja mot [någon] troende bli kvar i våra hjärtan!
010_01	Herre! Du ömmar, full av barmhärtighet, [för Dina tjänare]!"
011_00	HAR DU inte insett [vad] hycklarna säger till sina bröder, dem bland efterföljarna av äldre tiders uppenbarelser som förnekar sanningen?
011_01	"Om ni blir bortdrivna lovar vi att lämna [staden] med er och vi kommer aldrig att följa någon [som vill gå hårt fram] mot er; och om ni blir angripna skall vi helt säkert stå på er sida." Men Gud vittnar att de ljuger.
012_00	Om [förnekarna] drivs bort kommer [hycklarna] med säkerhet inte att gå med dem, och om de angrips kommer [hycklarna] inte att sluta upp vid deras sida; men kommer de [ändå] till deras hjälp, gör de [snart] helt om och flyr och så blir [förnekarna] till sist ensamma.
013_00	Ja, de hyser långt större fruktan för er [troende] än för Gud; de är nämligen människor som alls ingenting förstår.
014_00	De kommer aldrig att kämpa i samlad trupp mot er om det inte sker från [ställningar i] befästa städer eller bakom murar.
014_01	Inbördes är de hätska fiender. Det är lätt att tro att de håller samman, men i sitt inre är de splittrade [utom i sitt hat mot de troende]; de är människor som inte använder sitt förstånd.
015_00	Liksom de som en kort tid före dem fick känna på [de onda] följderna av sina handlingar, måste de utstå svåra lidanden [också i nästa liv].
016_00	Se hur Djävulen [beter sig]: först säger han till människan: "Förneka sanningen!" och när hon förnekar sanningen, säger han: "Jag är inte ansvarig för dig; jag fruktar Gud, världarnas Herre!"
017_00	Och slutet för båda är Elden, där de skall förbli till evig tid; sådan är syndarnas lön.
018_00	TROENDE! Frukta Gud, och tänk på vad ni sänder framför er, var och en, till morgondagen! Ja, frukta Gud! Han är väl underrättad om vad ni gör.
019_00	Var inte som de som glömmer Gud och som Han låter glömma själens [välfärd]; det är de som har förhärdat sig i synd och trots.
020_00	De som har Elden till arvedel kan inte jämföras med dem som ärver paradiset; paradisets arvtagare är de som har vunnit den stora segern.
021_00	OM VI hade uppenbarat denna Koran för ett berg, skulle du helt säkert ha sett det rämna av fruktan för Gud.
021_01	Sådana liknelser framställer Vi för människorna för att stämma dem till eftertanke.
022_00	HAN är Gud; ingen gudom finns utom Han! Han känner allt det som är dolt för människor liksom det som de kan bevittna - Han, den Nåderike, den Barmhärtige.
023_00	Han är Gud; ingen gudom finns utom Han, Konungen, den Helige, Han [som skänker] fred, Han som [väcker och vidmakthåller] tron, Han som vakar [över uppenbarelsen], den Mäktige, Han som betvingar och återupprättar, Han vars storhet [ingen kan fatta]!
023_01	Stor är Gud i Sin härlighet, fjärran från allt som [människor] vill sätta vid Hans sida!
024_00	Han är Gud, Skaparen, som är upphovet till allt och som ger allt dess slutliga form. Hans är fullkomlighetens sköna namn; allt och alla i himlarna och på jorden prisar Honom - Han är den Allsmäktige, den Vise.
