001_00	PROFET!
001_01	När någon av er har för avsikt att skilja sig från sin hustru, skall han [iaktta] den föreskrivna väntetiden och beräkna denna tid [med all noggrannhet].
001_02	Och frukta Gud, er Herre! Mannen får inte tvinga [hustrun] att lämna hemmet och hon skall inte heller [självmant] lämna det annat än om hon gjort sig skyldig till en grovt oanständig [eller annan förkastlig] handling. Dessa är de regler som Gud [har föreskrivit], och den som överträder dessa av Gud [givna] regler har begått orätt mot sig själv; det är nämligen möjligt - om det kan du ingenting veta - att Gud efter det [som varit] låter ett nytt läge uppstå.
002_00	[När någon av er skilt sig från sin hustru] och hennes väntetid närmar sig sitt slut, skall han antingen hålla henne kvar eller också låta henne gå, allt i hedersamma former. Och tag två rättsinniga människor ur er krets till vittnen, och avge själva vittnesmål inför Gud!
002_01	Denna maning riktas till alla som tror på Gud och den Yttersta dagen. Gud visar var och en som fruktar Honom en utväg ur [alla svårigheter]
003_00	och sörjer för honom på ett sätt som han inte kan förutse; och den som litar till Gud behöver inget annat [stöd]. Gud når alltid Sitt syfte [och] Gud har fastställt ett mått för allt.
004_00	Om ni tvekar om [vad som gäller] dem av era kvinnor, vilkas månadsblödningar helt har upphört, är deras väntetid tre månader, och samma tid gäller dem vars blödningar har uteblivit.
004_01	Och de som är havande skall invänta barnets födelse. Och för var och en som fruktar Honom gör Gud uppgiften lätt;
005_00	detta är vad Gud befaller er genom Sin uppenbarelse. Och för den som fruktar Honom skall Gud utplåna hans dåliga handlingar och öka hans belöning.
006_00	Låt [den hustru som inväntar skilsmässa] leva under samma villkor som ni själva inom ramen för era möjligheter, och gör inte livet svårt för henne med inskränkningar [av olika slag].
006_01	Om hon är havande, sörj då för hennes uppehälle tills barnet har fötts, och ge henne skälig ersättning om hon ammar ert [barn]; och samråd med henne i godo [om barnets bästa] på brukligt sätt.
006_02	Men uppstår svårigheter, anställ då någon som ammar [barnet] åt er.
007_00	Den förmögne skall sörja [för det som nu har sagts] med sin rikedom, och den som lever under knappa förhållanden skall avstå [vad han kan] av det som Gud har gett honom för hans försörjning.
007_01	Gud fordrar inte av någon mer än vad Han har låtit honom förfoga över. Efter svårigheterna skall Gud skänka er lättnad.
008_00	HUR många folk, som i övermod satte sig upp emot Guds och Hans sändebuds befallningar, har Vi inte avkrävt sträng räkenskap och låtit dem utstå svåra straff.
009_00	Och de måste smaka de bittra frukterna av sina handlingar och resultatet var [deras] slutliga undergång och förintelse;
010_00	och Gud har i beredskap för dem ett strängt straff [i det kommande livet]. Frukta därför Gud, ni som tror och har förstånd! Gud har sänt er en påminnelse,
011_00	ett Sändebud som framför till er Guds klara budskap för att leda dem som tror och lever rättskaffens ut ur mörkret till ljuset.
011_01	Och Gud skall föra dem som tror på Honom och lever rättskaffens till lustgårdar, vattnade av bäckar, där de skall förbli till evig tid; ja, Gud har sörjt för dem på bästa sätt!
012_00	GUD ÄR Den som har skapat sju himlar och lika många jordar och genom dem alla strömmar [oupphörligt] Hans vilja.
012_01	Detta för att ni skall veta att Gud har allt i Sin makt och att Gud omfattar allt med Sin kunskap.
