001_00	SANNINGENS stund [skall komma]!
002_00	Vad betyder Sanningens stund
003_00	Och vad kan låta dig förstå vad Sanningens stund betyder?
004_00	[STAMMARNA] Thamud och Aad ville inte tro på det dundrande slaget.
005_00	Thamudenerna begravdes av ett jordskalv;
006_00	och vad [stammen] Aad beträffar utplånades den av en piskande stormvind med iskyla,
007_00	som Han lät rasa mot dem utan uppehåll i sju nätter och åtta dagar. Där kunde man se människorna ligga utsträckta [på marken] som urgröpta palmstubbar.
008_00	Kan du [nu] finna några spår efter dem
009_00	Och Farao och [folken] som levde före honom och [människorna i] de ödelagda [städerna] bar [alla på en tung börda av] synd.
010_00	När de satte sig upp mot sin Herres sändebud, straffade Han dem med fruktansvärd stränghet.
011_00	När vattenmassorna sprängde alla hinder lät Vi arken bära er.
012_00	Den skulle bli ett tecken och en påminnelse för er, som varje uppmärksam lyssnare bevarar i sitt hjärta.
013_00	Och när domedagsbasunen ljuder - en enda gång -
014_00	och jordytan och bergen lyfts upp och krossas i en enda stöt,
015_00	den Dagen har det kommit som måste komma.
016_00	Och himlen - som har blivit skör - skall brista
017_00	och änglarna [skall stiga fram] från alla håll och över dem skall åtta [bärare] den Dagen bära din Herres tron.
018_00	Den Dagen kommer ni att undergå [rannsakan och dom] och ingenting, som ni höll hemligt, skall förbli dolt.
019_00	Och den som får ta emot sin bok med höger hand skall ropa: "Kom! Läs [vad som står] i min bok!
020_00	Jag visste att jag [en dag] skulle kallas att avlägga räkenskap!"
021_00	Han skall leva, salig,
022_00	i ett himmelskt paradis,
023_00	där [alla] frukter är [lockande] nära.
024_00	[Han och hans medbröder skall uppmanas:] "Ät och drick av hjärtans lust! [Detta är lönen] för de [goda handlingar] som ni sände framför er!"
025_00	Men den som får ta emot sin bok med vänster hand skall säga: "Ack, om jag ändå hade sluppit se min bok
026_00	och fått förbli i okunnighet om denna räkenskap över mitt [liv]!
027_00	Om ändå detta hade varit slutet!
028_00	Ingen nytta har jag av allt det som jag ägde!
029_00	Mina argument har mist all styrka!"
030_00	[Då skall befallningen ges:] "Grip honom och slå honom i en krage av järn
031_00	och låt helvetets lågor sveda honom.
032_00	Kedja därefter ihop honom [med andra syndare] i en kedja vars längd är sjuttio alnar;
033_00	han ville nämligen inte tro på Guds höga majestät,
034_00	och uppmanade ingen att ge den fattige att äta.
035_00	Därför har han här i dag ingen vän
036_00	och får ingen annan föda än sådana motbjudande anrättningar
037_00	som bara syndarna kan svälja."
038_00	VID allt det som ni kan urskilja
039_00	och vid det som ni inte kan urskilja!
040_00	Förvisso är detta ett ädelt Sändebuds ord,
041_00	inte ord av en poet - få är de ting ni tror på! -
042_00	Inte heller ord av en spåman - få är de ting ni ägnar eftertanke åt!
043_00	[Detta är] en uppenbarelse från världarnas Herre!
044_00	Om han [som fått uppenbarelserna sig anförtrodda hade tillfogat] några ord och påstått att de var Våra,
045_00	skulle Vi ha gripit hans högra hand
046_00	och sedan ha skurit upp hans kroppspulsåder.
047_00	Ingen av er hade då kunnat rädda honom!
048_00	[Denna Koran] är helt visst en påminnelse till dem som fruktar Gud och ständigt har Honom för ögonen.
049_00	Vi vet att det bland er finns de som kommer att förneka [den]
050_00	och detta kommer att orsaka förnekarna [själva] bitter grämelse.
051_00	Helt visst är den den absoluta Sanningen.
052_00	Prisa därför din Herres namn, omstrålat av makt och härlighet!
