001_00	Alif Lam Ra. Hizo ni Aya za Kitabu chenye Hikima.
002_00	Je!
002_01	Imekuwa ajabu kwa watu kwamba tumemfunulia mmoja wao kuwa: Waonye watu, na wabashirie wale walio amini ya kuwa watakuwa na cheo cha juu kwa Mola wao Mlezi? Wakasema makafiri: Hakika huyu ni mchawi dhaahiri!
003_00	Hakika Mola wenu Mlezi ni Mwenyezi Mungu, ambaye ameziumba mbingu na ardhi kwa siku sita, na ametawala kwenye ufalme wake, anaendesha mambo yote. Hapana mwombezi ila baada ya idhini yake. Huyo ndiye Mwenyezi Mungu, Mola wenu Mlezi.
003_01	Basi muabuduni Yeye. Je! Hamkumbuki?
004_00	Kwake Yeye tu ndio marejeo yenu nyote. Hii ni ahadi ya Mwenyezi Mungu iliyo ya kweli.
004_01	Hakika Yeye ndiye aliye anzisha uumbaji, na kisha ataurejesha ili awalipe kwa uadilifu wale walio amini na wakatenda mema. Na walio kufuru, wao watapata vinywaji vinavyo chemka, na adhabu chungu kwa sababu ya walivyo kuwa wakikufuru.
005_00	Yeye ndiye aliye lijaalia jua kuwa na mwangaza, na mwezi ukawa na nuru, na akaupimia vituo ili mjue idadi ya miaka na hisabu.
005_01	Mwenyezi Mungu hakuviumba hivyo ila kwa Haki. Anazipambanua Ishara kwa watu wanao jua.
006_00	Hakika katika kukhitalifiana usiku na mchana, na katika alivyo umba Mwenyezi Mungu katika mbingu na ardhi, zipo Ishara kwa watu wanao mcha-Mngu.
007_00	Hakika wasio taraji kukutana nasi, na wakaridhia maisha ya dunia na wakatua nayo, na walio ghafilika na Ishara zetu,
008_00	Hao, makaazi yao ni Motoni kwa sababu ya waliyo kuwa wakiyachuma.
009_00	Hakika walio amini na wakatenda mema, Mola wao Mlezi atawaongoa kwa sababu ya Imani yao. Itakuwa inapita mito kati yao katika Mabustani yenye neema.
010_00	Wito wao humo utakuwa: Subhanaka Llahumma "Umetakasika Ee Mwenyezi Mungu!" Na maamkio yao humo ni "Salama". Na mwisho wa wito wao ni: Alhamdulillahi Rabbil A'lamiin "Kuhimidiwa kote ni kwa Mwenyezi Mungu, Mola Mlezi wa walimwengu wote."
011_00	Na lau kama Mwenyezi Mungu angeli wafanyia watu haraka kuwaletea shari kama wanavyo jihimizia kuletewa kheri, bila ya shaka wangelisha timiziwa ajali yao.
011_01	Lakini tunawaacha wale wasio tumainia kukutana nasi wakihangaika katika upotovu wao.
012_00	Na mtu akiguswa na shida hutuomba naye kaegesha ubavu, au kakaa, au kasimama.
012_01	Lakini tukimwondoshea shida yake huendelea kama kwamba hakupata kutuomba tumwondoshee shida iliyo mpata. Ndio namna hiyo wamepambiwa warukao mipaka yale waliyo kuwa wakiyatenda.
013_00	Na kwa yakini tumekwisha ziangamiza kaumu za kabla yenu walipo dhulumu, na waliwajia Mitume wao kwa Ishara zilizo wazi; lakini hawakuwa wenye kuamini.
013_01	Ndio kama hivyo tunavyo walipa watu wakosefu.
014_00	Kisha tukakufanyeni nyiye ndio wenye kushika mahala pao baada yao katika ardhi ili tuone jinsi mtakavyo tenda.
015_00	Na wanapo somewa Aya zetu zilizo wazi, wale wasio taraji kukutana na Sisi husema: Lete Qur'ani isiyo kuwa hii, au ibadilishe. Sema: Hainifalii mimi kuibadilisha kwa nitakavyo nafsi yangu.
