001_00	T'AHA!
002_00	Hatukukuteremshia Qur'ani ili upate mashaka.
003_00	Bali ni mawaidha kwa wenye kunyenyekea.
004_00	Materemsho yatokayo kwa aliye umba ardhi na mbingu zilizo juu.
005_00	Arrahmani, Mwingi wa Rehema, aliye tawala juu ya Kiti cha Enzi.
006_00	Ni vyake vyote viliomo mbinguni na viliomo katika ardhi, na viliomo baina yao, na viliomo chini ya ardhi.
007_00	Na ukinyanyua sauti kwa kusema... basi hakika Yeye anajua siri na duni kuliko siri.
008_00	Mwenyezi Mungu! Hapana mungu isipo kuwa Yeye. Yeye ana majina mazuri kabisa.
009_00	Na je! Imekufikia hadithi ya Musa?
010_00	Alipo uona moto, akawaambia watu wake: Ngojeni! Mimi nimeuona moto, huenda nikakuleteeni kijinga kutoka huo moto, au nikapata uongofu kwenye moto.
011_00	Basi alipo ufikia akaitwa: Ewe Musa!
012_00	Hakika Mimi ndiye Mola wako Mlezi! Basi vua viatu vyako. Kwani upo katika bonde takatifu la T'uwa.
013_00	Nami nimekuteua wewe; basi sikiliza unayo funuliwa.
014_00	Hakika Mimi ndiye Mwenyezi Mungu. Hapana mungu ila Mimi tu. Basi niabudu Mimi, na ushike Sala kwa ajili ya kunikumbuka Mimi.
015_00	Hakika Saa itakuja bila ya shaka. Nimekaribia kuificha, ili kila nafsi ilipwe kwa iliyo yafanya.
016_00	Kwa hivyo asikukengeushe nayo yule ambaye haiamini na akafuata pumbao lake ukaja kuhiliki.
017_00	Na nini hicho kilichomo mkononi mwako wa kulia, ewe Musa?
018_00	Akasema: Hii ni fimbo yangu; naiegemea na ninawaangushia majani kondoo na mbuzi wangu. Tena inanifaa kwa matumizi mengine.
019_00	Akasema: Itupe, ewe Musa!
020_00	Akaitupa. Mara ikawa nyoka anaye kwenda mbio.
021_00	Akasema: Ikamate, wala usiogope! Tutairudisha hali yake ya kwanza.
022_00	Na uambatishe mkono wako kwenye ubavu. Utatoka mweupe pasipo kuwa na madhara yoyote. Hiyo ni ishara nyengine.
023_00	Ili tukuonyeshe baadhi ya ishara zetu kubwa.
024_00	Nenda kwa Firauni; kwani hakika yeye amepindukia mipaka.
025_00	(Musa) akasema: Ewe Mola wangu Mlezi! Nikunjulie kifua changu,
026_00	Na unifanyie nyepesi kazi yangu,
027_00	Na ulifungue fundo lililo katika ulimi wangu,
028_00	Wapate kufahamu maneno yangu.
029_00	Na nipe waziri katika watu wangu,
030_00	Harun, ndugu yangu.
031_00	Kwake yeye niongeze nguvu zangu.
032_00	Na umshirikishe katika kazi yangu.
033_00	Ili tukutakase sana.
034_00	Na tukukumbuke sana.
035_00	Hakika Wewe unatuona.
036_00	Akasema: Hakika Umepewa maombi yako, ewe Musa!
037_00	Na hakika tulikwisha kufanyia hisani mara nyengine...
038_00	Pale tulipo mfunulia mama yako yaliyo funuliwa,
039_00	Ya kuwa mtie katika kisanduku, na kisha kitie mtoni, na mto utamfikisha ufukweni.
039_01	Atamchukua adui yangu naye ni adui yake. Na nimekutilia mapenzi yanayo tokana kwangu, na ili ulelewe machoni mwangu.
040_00	Dada yako alipo kwenda na akasema: Je! Nikujuulisheni mtu wa kuweza kumlea? Basi tukakurejesha kwa mama yako ili macho yake yaburudike, wala asihuzunike.
040_01	Na ulimuuwa mtu, nasi tukakuokoa katika dhiki, na tukakujaribu kwa majaribio mengi. Ukakaa miaka kwa watu wa Madyana. Kisha ukaja kama ilivyo kadiriwa, ewe Musa!
041_00	Na nimekuteuwa kwa ajili ya nafsi yangu.
