001_00	Ewe uliye jifunika!
002_00	Kesha usiku kucha, ila kidogo tu!
003_00	Nusu yake, au ipunguze kidogo.
004_00	Au izidishe - na soma Qur'ani kwa utaratibu na utungo.
005_00	Hakika Sisi tutakuteremshia kauli nzito.
006_00	Hakika kuamka usiku kunawafikiana zaidi na moyo, na maneno yake yanatua zaidi.
007_00	Kwani hakika mchana una shughuli nyingi.
008_00	Na lidhukuru jina la Mola wako Mlezi, na ujitolee kwake kwa ukamilifu.
009_00	Mola Mlezi wa mashariki na magharibi, hapana mungu isipo kuwa Yeye, basi mfanye kuwa Mtegemewa wako.
010_00	Na vumilia hayo wayasemayo, na jitenge nao kwa vizuri.
011_00	Na niache Mimi na hao wanao kanusha, walio neemeka; na wape muhula kidogo!
012_00	Hakika Sisi tunazo pingu nzito na Moto unao waka kwa ukali kabisa!
013_00	Na chakula kinacho kwama kooni, na adhabu inayo umiza.
014_00	Siku ambayo ardhi itatikiswa na milima pia, na milima itakuwa kama tifutifu la mchanga!
015_00	Hakika Sisi tumemtuma kwenu Mtume aliye shahidi juu yenu, kama tulivyo mtuma Mtume kwa Firauni.
016_00	Lakini Firauni alimuasi huyo Mtume, basi tukamshika mshiko wa mateso.
017_00	Basi nyinyi mkikufuru, mtawezaje kujikinga na Siku ambayo itawafanya watoto wadogo waote mvi?
018_00	Hapo mbingu zitapasuka! Ahadi yake itakuwa imetekelezwa.
019_00	Kwa hakika hili ni kumbusho. Mwenye kutaka atashika njia ya kwendea kwa Mola wake Mlezi.
020_00	Hakika Mola wako Mlezi anajua ya kuwa hakika wewe unakesha karibu na thuluthi mbili za usiku, na nusu yake, na thuluthi yake. Na baadhi ya watu walio pamoja nawe kadhaalika.
020_01	Na Mwenyezi Mungu ndiye anaye ukadiria usiku na mchana. Anajua kuwa hamwezi kuweka hisabu, basi amekusameheni.
020_02	Basi someni kilicho chepesi katika Qur'ani. Anajua ya kuwa baadhi yenu watakuwa wagonjwa, na wengine wanasafiri katika ardhi wakitafuta fadhila ya Mwenyezi Mungu, na wengine wanapigana katika Njia ya Mwenyezi Mungu.
020_03	Kwa hivyo someni kilicho chepesi humo, na mshike Sala, na toeni Zaka, na mkopesheni Mwenyezi Mungu mkopo mwema. Na kheri yoyote mnayo itanguliza kwa ajili ya nafsi zenu mtaikuta kwa Mwenyezi Mungu, imekuwa bora zaidi, na ina thawabu kubwa sana.
020_04	Na mtakeni msamaha Mwenyezi Mungu. Hakika Mwenyezi Mungu ni Mwenye kusamehe Mwenye kurehemu.
