001_00	Mbingu itapo chanika,
002_00	Na nyota zitapo tawanyika,
003_00	Na bahari zitakapo pasuliwa,
004_00	Na makaburi yatapo fukuliwa,
005_00	Hapo kila nafsi itajua ilicho tanguliza, na ilicho bakisha nyuma.
006_00	Ewe mwanaadamu! Nini kilicho kughuri ukamwacha Mola wako Mlezi Mtukufu?
007_00	Aliye kuumba, akakuweka sawa, akakunyoosha,
008_00	Katika sura yoyote aliyo ipenda akakujenga.
009_00	Sivyo hivyo! Bali nyinyi mnaikanusha Siku ya Malipo.
010_00	Na hakika bila ya shaka wapo walinzi juu yenu,
011_00	Waandishi wenye hishima,
012_00	Wanayajua mnayo yatenda.
013_00	Hakika wema bila ya shaka watakuwa katika neema,
014_00	Na hakika waovu bila ya shaka watakuwa Motoni;
015_00	Wataingia humo Siku ya Malipo.
016_00	Na hawatoacha kuwamo humo.
017_00	Na nini kitakacho kujuulisha Siku ya Malipo ni siku gani?
018_00	Tena nini kitakacho kujuulisha Siku ya Malipo ni siku gani?
019_00	Siku ambayo nafsi haitakuwa na madaraka yoyote juu ya nafsi; na amri yote siku hiyo ni ya Mwenyezi Mungu tu.
