001_00	Elif, Lam, Mim.
002_00	Allah, Ondan başka tanrı olmayan, diri, her an yaratıklarını gözetip durandır.
003_00	Kendisinden önceki Kitapları tasdik eden Hak Kitap'ı sana indirdi. Önceden insanlara yol gösterici olarak Tevrat ve İncil'i de indirmişti. O, doğruyu yanlıştan ayıran Kitap'ı indirdi. Doğrusu Allah'ın ayetlerini inkar edenler için şiddetli azab vardır. Allah güçlüdür, mazlumların öcünü alır.
004_00	Kendisinden önceki Kitapları tasdik eden Hak Kitap'ı sana indirdi. Önceden insanlara yol gösterici olarak Tevrat ve İncil'i de indirmişti. O, doğruyu yanlıştan ayıran Kitap'ı indirdi. Doğrusu Allah'ın ayetlerini inkar edenler için şiddetli azab vardır. Allah güçlüdür, mazlumların öcünü alır.
005_00	Şüphesiz gökte ve yerde hiçbir şey Allah'tan gizli kalmaz.
006_00	Ana rahminde sizi dilediği gibi şekillendiren O'dur. O'ndan başka tanrı yoktur, güçlüdür, Hakim'dir.
007_00	Sana Kitap'ı indiren O'dur. Onda Kitap'ın temeli olan kesin anlamlı ayetler vardır, diğerleri de çeşitli anlamlıdırlar.
007_01	Kalblerinde eğrilik olan kimseler, fitne çıkarmak, kendilerine göre yorumlamak için onların çeşitli anlamlı olanlarına uyarlar. Oysa onların yorumunu ancak Allah bilir.
007_02	İlimde derinleşmiş olanlar: "Ona inandık, hepsi Rabbimiz'in katındandır" derler. Bunu ancak akıl sahipleri düşünür;
008_00	Rabbimiz! Bizi doğru yola erdirdikten sonra kalblerimizi eğriltme, katından bize rahmet bağışla; şüphesiz Sen sonsuz bağışta bulunansın.
009_00	Rabbimiz! Doğrusu geleceği şüphe götürmeyen günde, insanları toplayacak olan Sensin. Şüphesiz ki Allah verdiği sözden caymaz.
010_00	İnkar edenlerin malları ve çocukları, Allah'a karşı onlara bir şey sağlamaz. İşte onlar ateşin yakıtlarıdır.
011_00	Bunların tutumu, Firavun ailesinin ve onlardan öncekilerin tutumu gibi ki, ayetlerimizi yalanladılar da Allah onları günahlarından dolayı yok (helak) etti. Allah'ın cezalandırması şiddetlidir.
012_00	İnkar edenlere: "Yenileceksiniz, toplanıp cehenneme sürüleceksiniz, orası ne kötü döşektir" de.
013_00	Karşı karşıya gelen iki topluluğun durumlarında sizin için ibret vardır; biri Allah yolunda savaşanlardır, diğeri inkarcılardır ki, bunlar karşı tarafı gözleriyle kendilerinin iki misli görüyorlardı.
013_01	Allah dilediğini yardımıyla destekler. Bunda görebilenler için ibret vardır.
014_00	Kadınlara, oğullara, kantar kantar altın ve gümüşe, nişanlı atlar ve develere, ekinlere karşı aşırı sevgi beslemek insanlara güzel gösterilmiştir.
014_01	Bunlar dünya hayatının nimetleridir, oysa gidilecek yerin güzeli Allah katındadır.
015_00	De ki: Bundan daha iyisini size haber vereyim mi?
015_01	Allah'a karşı gelmekten sakınanlara, Rab'lerinin katında, altlarından ırmaklar akan ve orada temelli kalacakları cennetler, tertemiz eşler ve Allah'ın rızası vardır.
015_02	Allah kullarını hakkiyle görücüdür.
016_00	Onlar ki, "Rabbimiz! Biz şüphesiz inandık, bunun için günahlarımızı bize bağışla ve bizi ateşin azabından koru" diyen, sabreden, doğru olan, gönülden kulluk eden, hayra sarfeden ve seher vakitlerinde bağışlanma dileyenlerdir.
017_00	Onlar ki, "Rabbimiz! Biz şüphesiz inandık, bunun için günahlarımızı bize bağışla ve bizi ateşin azabından koru" diyen, sabreden, doğru olan, gönülden kulluk eden, hayra sarfeden ve seher vakitlerinde bağışlanma dileyenlerdir.
018_00	Allah, melekler ve adaleti yerine getiren ilim sahibleri, O'ndan başka tanrı olmadığına şahidlik etmişlerdir. O'ndan başka tanrı yoktur, O güçlüdür, Hakim'dir.
019_00	Allah katında din, şüphesiz İslam'dır.
019_01	Ancak, Kitap verilenler, kendilerine ilim geldikten sonra, aralarındaki ihtiras yüzünden ayrılığa düştüler. Allah'ın ayetlerini kim inkar ederse bilsin ki, Allah hesabı çabuk görür.
020_00	Eğer seninle tartışmaya girişirlerse, "Ben bana uyanlarla birlikte kendimi Allah'a verdim" de.
020_01	Kendilerine Kitap verilenlere ve kitapsızlara: "Siz de İslam oldunuz mu?" de, şayet İslam olurlarsa doğru yola girmişlerdir, yüz çevirirlerse, sana yalnız tebliğ etmek düşer. Allah kullarını görür.
021_00	Allah'ın ayetlerini inkar edenlere, haksız yere peygamberleri öldürenlere,
021_01	insanlardan adaleti emredenleri öldürenlere elem verici bir azabı müjdele.
022_00	Onlar, dünya ve ahirette işleri boşa çıkacak olanlardır. Onların hiç yardımcıları da yoktur.
023_00	Kendilerine Kitapdan bir pay verilenleri, görmedin mi? Onlar aralarında hüküm vermek için Allah'ın Kitabına çağırılmışlar, sonra onlardan bir takımı dönmüşlerdir. Onlar temelli yüz çevirenlerdir.
024_00	Bu, onların: "Bize ateş sadece sayılı birkaç gün değecektir" demelerindendir. Uydurup durdukları şeyler, onları dinlerinde yanıltmıştır.
025_00	Geleceğinden şüphe olmayan günde, onları topladığımız ve haksızlık yapılmayarak herkese kazandığı eksiksiz verildiği zaman, nasıl olacak?
026_00	De ki: "Mülkün sahibi olan Allah'ım!
026_01	Mülkü dilediğine verirsin; dilediğinden çekip alırsın; dilediğini aziz kılar, dilediğini alçaltırsın; iyilik elindedir. Doğrusu Sen, her şeye Kadir'sin.
027_00	Geceyi gündüze, gündüzü geceye geçirirsin; ölüden
027_01	diri, diriden ölü çıkarırsın; dilediğini hesapsız rızıklandırırsın".
028_00	Müminler, müminleri bırakıp kafirleri dost edinmesinler; kim böyle yaparsa Allah katında bir değeri yoktur, ancak, onlardan sakınmanız hali müstesnadır.
028_01	Allah sizi Kendisiyle korkutur, dönüş Allah'adır.
029_00	De ki: "İçinizde olanı gizleseniz de açıklasanız da Allah onu bilir. Göklerde olanları da, yerde olanları da bilir. Allah her şeye Kadir'dir".
030_00	Her kişinin yaptığı iyiliği ve yaptığı kötülüğü, ki kendisiyle o kötülük arasında uzun bir mesafe olmasını diler, hazır bulacağı günü bir düşünün.
030_01	Kullarına karşı şefkatli olan Allah size kendinden korkmanızı emreder.
031_00	De ki: "Allah'ı seviyorsanız bana uyun. Allah da sizi sevsin ve günahlarınızı bağışlasın. Allah affeder ve merhamet eder".
032_00	De ki: "Allah'a ve Peygambere itaat edin". Yüz çevirirlerse bilsinler ki, Allah inkar edenleri sevmez.
033_00	Allah, Adem'i, Nuh'u, İbrahim ailesini, İmran ailesini birbirinin soyundan olarak alemlere tercih etti. Allah işitendir, bilendir.
034_00	Allah, Adem'i, Nuh'u, İbrahim ailesini, İmran ailesini birbirinin soyundan olarak alemlere tercih etti. Allah işitendir, bilendir.
035_00	İmran'ın karısı: "Ya Rabbi! Karnımda olanı, sadece sana hizmet etmek üzere adadım, benden kabul buyur, doğrusu işiten ve bilen ancak Sensin" demişti.
036_00	Onu doğurduğunda, Allah onun ne doğurduğunu bilirken "Ya Rabbi!
036_01	Kız doğurdum. Erkek, kız gibi değildir, ben ona Meryem adını verdim, ben onu da soyunu da, kovulmuş şeytandan Sana sığındırırım" dedi.
037_00	Rabbi onu güzel bir kabulle karşıladı, güzel bir bitki gibi yetiştirdi; onu Zekeriya'nın himayesine bıraktı. Zekeriya mabedde onun yanına her girişinde, yanında bir yiyecek bulurdu.
037_01	"Ey Meryem! Bu sana nereden geldi?" demiş, o da: Bu, Allah'ın katındandır" cevabını vermişti. Doğrusu Allah dilediğini hesapsız rızıklandırır.
038_00	Orada Zekeriya Rabbine dua etti: "Ya Rabbi! Bana kendi katından temiz bir soy bahşet, doğrusu Sen duayı işitirsin".
039_00	Mabedde namaz kılarken melekler ona seslendiler: "Allah sana Allah'ın emriyle (vücud
039_01	bulan İsa'yı) tasdik eden, efendi, iffetli, iyilerden bir peygamber olarak Yahya'yı müjdeler".
040_00	"Ya Rabbi! Ben artık iyice kocamış, karım da kısırken nasıl oğlum olabilir?" dedi. Allah: "Böyledir, Allah dilediğini yapar" dedi.
041_00	"Ya Rabbi! Bana bir alamet ver" dedi, "Alametin, üç gün, işaretle anlaşma dışında insanlarla konuşmamandır; Rabbini çok an, akşam sabah hamd et" dedi.
042_00	Melekler şöyle demişti: "Ey Meryem! Allah seni seçip temizledi. Dünyaların kadınlarından seni üstün tuttu."
043_00	"Ey Meryem! Rabbine gönülden boyun eğ, secde et, rüku edenlerle birlikte rüku et."
044_00	Bu Sana vahyettiğimiz gayb haberlerindendir. Meryem'e hangisi kefil olacak diye kalemlerini atarlarken sen yanlarında değildin, çekişirlerken de orada bulunmadın.
045_00	Melekler demişti ki: "Ey Meryem!
045_01	Allah sana, Kendinden bir sözü, adı Meryem oğlu İsa olan Mesihi, dünya ve ahirette şerefli ve Allah'a yakın kılınanlardan olarak müjdeler".
046_00	"İnsanlarla, beşikte iken de, yetişkin iken de konuşacaktır ve o, iyilerdendir".
047_00	Meryem: "Rabbim! Bana bir insan dokunmamışken nasıl çocuğum olabilir?" demişti. Melekler şöyle dediler: "Allah dilediğini böylece yaratır. Bir işin olmasını dilerse ona ol der ve olur".
