001_00	Elif, Lam, Mim, Sad.
002_00	Sana bir Kitap indirildi. Onunla insanları uyarman ve inananlara öğüt vermen için kalbine bir darlık gelmesin.
003_00	Rabbinizden size indirilen Kitap'a uyun, O'ndan başka dostlar edinerek onlara uymayın. Pek az öğüt dinliyorsunuz.
004_00	Biz nice kentleri yok etmişizdir; geceleyin veya gündüz uykularında iken baskınımıza uğramışlardır.
005_00	Baskınımıza uğradıklarında, sözleri, "Gerçekten biz haksızdık" demekten ibaret kalmıştır.
006_00	And olsun ki, kendilerine peygamber gönderilenlere soracağız, peygamberlere de soracağız.
007_00	And olsun ki, yaptıklarını kendilerine bir bir anlatacağız, zira onlardan uzak değildik.
008_00	Gerçek tartı kıyamet günündedir. Tartıları ağır gelenler, işte onlar kurtulanlardır.
009_00	Tartıları hafif gelenler, ayetlerimize yaptıkları haksızlıklardan ötürü kendilerini mahvetmiş olanlardır.
010_00	Sizi yeryüzünde yerleştirdik ve orada size geçimlikler yarattık. Öyleyken pek az şükrediyorsunuz.
011_00	And olsun ki, sizi yarattık, sonra şekil verdik, sonra meleklere, "Adem'e secde edin" dedik; İblis'ten başka hepsi secde etti, o secde edenlerden olmadı.
012_00	Allah, "Sana emrettiğim halde, seni secdeden alıkoyan nedir?" dedi, "Beni ateşten onu çamurdan yarattın, ben ondan üstünüm" cevabını verdi.
013_00	Ona, "İn oradan, orada büyüklenmek sana düşmez, defol, sen alçağın birisin" dedi.
014_00	Ona, "İnsanların tekrar dirilecekleri güne kadar beni ertele" dedi.
015_00	Allah; "Sen erteye bırakılanlardansın" dedi.
016_00	"Beni azdırdığın için, and olsun ki, Senin doğru yolun üzerinde onlara karşı duracağım; sonra önlerinden, ardlarından, sağ ve sollarından onlara sokulacağım; çoğunu Sana şükreder bulamayacaksın" dedi.
017_00	"Beni azdırdığın için, and olsun ki, Senin doğru yolun üzerinde onlara karşı duracağım; sonra önlerinden, ardlarından, sağ ve sollarından onlara sokulacağım; çoğunu Sana şükreder bulamayacaksın" dedi.
018_00	Allah, "Yerilmiş ve kovulmuşsun, oradan defol; and olsun ki insanlardan sana kim uyarsa, hepinizi cehenneme dolduracağım" dedi.
019_00	"Ey Adem! Sen ve eşin cennette kalın ve istediğiniz yerden yiyin, yalnız şu ağaca yaklaşmayın yoksa zalimlerden olursunuz."
020_00	Şeytan, ayıp yerlerini kendilerine göstermek için onlara fısıldadı: "Rabbinizin sizi
020_01	bu ağaçtan menetmesi melek olmanız veya burada temelli kalmanızı önlemek içindir."
021_00	"Doğrusu ben size öğüt verenlerdenim" diye ikisine yemin etti.
022_00	Böylece onların yanılmalarını sağladı. Ağaçtan meyve tattıklarında kendilerine ayıp yerleri göründü, cennet yapraklarından oralarına örtmeğe koyuldular.
022_01	Rableri onlara, "Ben sizi o ağaçtan menetmemiş miydim? Şeytanın size apaçık bir düşman olduğunu söylememiş miydim?" diye seslendi.
023_00	Her ikisi, "Rabbimiz! Kendimize yazık ettik; bizi bağışlamaz ve bize merhamet etmezsen biz kaybedenlerden oluruz" dediler.
024_00	"Birbirinize düşman olarak inin, siz yeryüzünde bir müddet için yerleşip geçineceksiniz."
025_00	"Orada yaşar, orada ölür ve oradan dirilip çıkarılırsınız" dedi.
026_00	Ey İnsanoğulları! Ayıp yerlerinizi örtecek giyimlikle sizi süsleyecek elbiseler gönderdik.
026_01	Takva örtüsü ise bunlardan daha hayırlıdır. Allah'ın bu ayetleri öğüt almanız içindir.
027_00	Ey İnsanoğulları! Şeytan, ayıp yerlerini kendilerine göstermek için elbiselerini soyarak ananızı babanızı cennetten çıkardığı gibi sizi de şaşırtmasın.
027_01	Sizin onları görmediğiniz yerlerden o ve taraftarları sizi görürler. Biz şeytanları, inanmayanlara dost kılarız.
028_00	Onlar bir fenalık yaptıkları zaman, "Babalarımızı bu yolda bulduk, Allah da bize bunu emretti" derler.
028_01	De ki: "Allah fenalığı emretmez. Bilmediğiniz şeyi Allah'a karşı mı söylüyorsunuz?"
029_00	De ki: "Rabbim adaleti emretti; her secde yerinde yüzünüzü O'na doğrultun; dinde samimi olarak O'na yalvarın. Sizi yarattığı gibi yine O'na döneceksiniz."
030_00	Allah insanlardan bir takımını doğru yola eriştirdi, fakat bir takımı da sapıklığı haketti, çünkü bunlar Allah'ı bırakıp şeytanları dost edinmiş ve kendilerini doğru yolda sanmışlardı.
031_00	Ey Ademoğulları! Her mescide güzel elbiselerinizi giyinerek gidin; yiyin için fakat israf etmeyin, çünkü Allah müsrifleri sevmez.
032_00	"Allah'ın kulları için yarattığı ziynet ve temiz rızıkları haram kılan kimdir?" "Bunlar, dünya hayatında inananlarındır, kıyamet gününde de yalnız onlar içindir" de.
032_01	Bilen kimseler için ayetlerimizi böylece uzun uzun açıklıyoruz.
033_00	De ki: "Rabbim sadece, açık ve gizli fenalıkları, günahı, haksız yere tecavüzü, hakkında
033_01	hiçbir delil indirmediği şeyi Allah'a ortak koşmanızı, Allah'a karşı bilmediğiniz şeyleri söylemenizi haram kılmıştır."
034_00	Her ümmet için belirli bir süre vardır; vakitleri dolunca ne bir saat gecikebilir ne de öne geçebilirler.
035_00	Ey Adem oğulları! Size aranızdan ayetlerimizi okuyan peygamberler geldiğinde, onların bildirdiklerine karşı gelmekten sakınan ve gidişini düzeltenlere, işte onlara korku yoktur ve onlar üzülmeyeceklerdir.
036_00	Ayetlerimizi yalanlayıp onlara karşı büyüklük taslayanlara gelince, işte onlar cehennemliklerdir, orada temelli kalacaklardır.
037_00	Allah'a karşı yalan uyduran veya ayetlerini yalan sayandan daha zalim kimdir?
037_01	Kitap'daki payları kendilerine erişecek olanlar onlardır.
037_02	Elçilerimiz canlarını almak üzere geldiklerinde onlara, "Allah'tan başka taptıklarınız nerede?" deyince, "Bizi koyup kaçtılar" derler, böylece inkarcı olduklarına kendi aleyhlerine şahidlik ederler.
038_00	Allah, " Sizden önce geçmiş cin ve insan ümmetleriyle beraber ateşe girin" der.
038_01	Her ümmet girdikçe kendi yoldaşına lanet eder.
038_02	Hepsi birbiri ardından cehennemde toplanınca, sonrakiler öncekiler için, "Rabbimiz! Bizi sapıtanlar işte bunlardır, onlara ateş azabını kat kat ver" derler, Allah, "Hepsinin kat kattır, ama bilmezsiniz" der.
039_00	Öncekiler sonrakilere, "Sizin bizden bir üstünlüğünüz yoktu, kazandığınıza karşılık azabı tadın" derler.
040_00	Doğrusu ayetlerimizi yalan sayıp, onlara karşı büyüklük taslayanlara, göğün kapıları açılmaz; deve iğnenin deliğinden geçmedikçe cennete de giremezler.
040_01	Suçluları böyle cezalandırırız.
041_00	Onlar için cehennemden bir yatak ve üstlerine de örtüler vardır. Zalimleri böyle cezalandırırız.
042_00	İnanan ve yararlı iş işleyenler ki kişiye ancak gücünün yeteceği kadar yükleriz işte cennetlikler onlardır, orada temelli kalacaklardır.
043_00	Cennette altlarından ırmaklar akarken gönüllerinden kini çıkarıp atarız.
043_01	"Bizi buraya eriştiren Allah'a hamdolsun.
043_02	Eğer Allah bizi doğru yola iletmeseydi, biz doğru yolu bulamazdık. And olsun ki Rabbimizin peygamberleri bize gerçeği getirmiştir" derler. Onlara, "İşlediğinize karşılık işte mirasçısı olduğunuz cennet" diye seslenilir.
044_00	Cennetlikler, cehennemliklere: "Biz Rabbimizin bize vadettiğini gerçek bulduk, Rabbinizin size de vadettiğini gerçek buldunuz mu?" diye seslenirler, "Evet" derler.
044_01	Aralarında bir münadi, "Allah'ın laneti Allah yolundan alıkoyan, o yolun eğriliğini isteyen ve ahireti inkar eden zalimleredir" diye seslenir.
045_00	Cennetlikler, cehennemliklere: "Biz Rabbimizin bize vadettiğini gerçek bulduk, Rabbinizin size de vadettiğini gerçek buldunuz mu?" diye seslenirler, "Evet" derler. Aralarında bir münadi, "Allah'ın laneti Allah yolundan alıkoyan, o yolun eğriliğini isteyen ve ahireti inkar eden zalimleredir" diye seslenir.
046_00	İki taraf arasında bir perde ve burçlar üzerinde her iki tarafı da simalarından tanıyan adamlar vardır; cennetliklere, "Size selam olsun" derler.
046_01	Bunlar henüz girmeyen fakat cenneti uman kimselerdir.
047_00	Gözleri cehennemlikler yönüne çevrilince: "Rabbimiz! Bizi zalimlerle beraber bulundurma" derler.
048_00	Burçlarda olanlar, simalarından tanıdıkları adamlara; Topluluğunuz, topladığınız mal ve büyüklük taslamalarınız size fayda vermedi. Allah'ın rahmetine erdirmeyeceğine yemin ettikleriniz bunlar mıydı? Oysa Allah onlara şöyle der: "Cennete girin, size korku yoktur, sizler mahzun da olmayacaksınız."
049_00	Burçlarda olanlar, simalarından tanıdıkları adamlara; Topluluğunuz, topladığınız mal ve büyüklük taslamalarınız size fayda vermedi. Allah'ın rahmetine erdirmeyeceğine yemin ettikleriniz bunlar mıydı? Oysa Allah onlara şöyle der: "Cennete girin, size korku yoktur, sizler mahzun da olmayacaksınız."
050_00	Cehennemlikler cennetliklere, "Bize biraz su veya Allah'ın size verdiği rızıktan gönderin" diye seslenirler, onlar da, "Doğrusu Allah dinlerini alay ve eğlenceye alan, dünya hayatına aldanan inkarcılara ikisini de haram etmiştir" derler.
050_01	Bugünle karşılaşacaklarını unuttukları, ayetlerimizi bile bile inkar ettikleri gibi biz de onları unutuyoruz.
051_00	Cehennemlikler cennetliklere, "Bize biraz su veya Allah'ın size verdiği rızıktan gönderin" diye seslenirler, onlar da, "Doğrusu Allah dinlerini alay ve eğlenceye alan, dünya hayatına aldanan inkarcılara ikisini de haram etmiştir" derler.
051_01	Bugünle karşılaşacaklarını unuttukları, ayetlerimizi bile bile inkar ettikleri gibi biz de onları unutuyoruz.
052_00	And olsun ki Biz onlara bir Kitap getirdik, inanan bir millet için yol gösterici ve rahmet olarak onu bilgiyle uzun uzun açıkladık.
053_00	Kitap'ın haber verdiği sonuçtan başka bir şey mi bekliyorlar?
053_01	Sonuç gelip çattığı gün, önceleri onu unutmuş olanlar, "Rabbimizin peygamberleri şüphesiz bize gerçeği getirmişti, şimdi bize şefaat etsin, yahut geriye çevrilsek de işlediklerimizin başka türlüsünü işlesek" derler.
053_02	Doğrusu kendilerini mahvetmişlerdir, uydurdukları şeyler onları koyup kaçmışlardır.
054_00	Rabbiniz, gökleri ve yeri altı günde yaratan ve sonra arşa hükmeden, gündüzü durmadan kovalayan gece ile bürüyen; güneşi, ayı, yıldızları, hepsini buyruğuna baş eğdirerek var eden Allah'tır.
054_01	Bilin ki yaratma da emir de O'nun hakkıdır.
054_02	Alemlerin Rabbiolan Allah Yüce'dir.
055_00	Rabbinize gönülden ve gizlice yalvarın. Doğrusu O aşırı gidenleri sevmez.
056_00	Düzeltilmişken, yeryüzünde bozgunculuk yapmayın. Allah'a korkarak ve umutla yalvarın. Doğrusu Allah'ın rahmeti iyi davrananlara yakındır.
057_00	Rahmetinin önünde, müjdeci olarak rüzgarları gönderen Allah'tır. Rüzgarlar, yağmur yüklü bulutları
057_01	taşıdığında, onu ölü bir memlekete gönderir, su indirir ve onunla her
057_02	türlü ürünü yetiştiririz; ölüleri de bunun gibi diriltip, çıkarırız; belki bundan ibret alırsınız.
058_00	İyi toprak Rabbinin izniyle bitki verir, çorak toprak kavruk bitki çıkarır. Şükredecek millet için böylece ayetleri yerli yerince açıklarız.
059_00	And olsun ki Nuh'u milletine gönderdik. "Ey milletim! Allah'a kulluk edin, O'ndan başka tanrınız yoktur; doğrusu sizin için büyük günün azabından korkuyorum" dedi.
060_00	Milletinin ileri gelenleri: "Biz senin apaçık sapıklıkta olduğunu görüyoruz" dediler.
061_00	"Ey milletim! Bende bir sapıklık yoktur, ancak ben Alemlerin Rabbinin peygamberiyim, Rabbimin sözlerini size bildiriyor, öğüt veriyorum. Sizin bilmediğinizi Allah katından ben biliyorum. Sakınmanızı ve böylece merhamete uğramanızı sağlamak üzere sizi uyarmak için aranızdan biri vasıtasıyla Rabbinizden size haber gelmesine mi şaşıyorsunuz?" dedi.
062_00	"Ey milletim! Bende bir sapıklık yoktur, ancak ben Alemlerin Rabbinin peygamberiyim, Rabbimin sözlerini size bildiriyor, öğüt veriyorum. Sizin bilmediğinizi Allah katından ben biliyorum. Sakınmanızı ve böylece merhamete uğramanızı sağlamak üzere sizi uyarmak için aranızdan biri vasıtasıyla Rabbinizden size haber gelmesine mi şaşıyorsunuz?" dedi.
063_00	"Ey milletim! Bende bir sapıklık yoktur, ancak ben Alemlerin Rabbinin peygamberiyim, Rabbimin sözlerini size bildiriyor, öğüt veriyorum. Sizin bilmediğinizi Allah katından ben biliyorum. Sakınmanızı ve böylece merhamete uğramanızı sağlamak üzere sizi uyarmak için aranızdan biri vasıtasıyla Rabbinizden size haber gelmesine mi şaşıyorsunuz?" dedi.
064_00	Onu yalanladılar; biz de onu ve gemide beraberinde olanları kurtardık, ayetlerimizi yalan sayanları suda boğduk, çünkü onlar kör bir milletti.
065_00	Ad milletine de, kardeşleri Hud'u gönderdik "Ey milletim! Allah'a kulluk edin, O'ndan başka tanrınız yoktur, karşı gelmekten sakınmaz mısınız?" dedi.
066_00	Milletinin inkarcı ileri gelenleri, "Biz senin beyinsiz olduğunu görüyor ve seni yalancılardan sanıyoruz" dediler.
