001_00	Elif, Lam, Ra. Bunlar, gerçeği açıklayan Kitap'ın ayetleridir.
002_00	Biz onu, anlayasınız diye, Arapça bir Kuran olarak indirdik.
003_00	Biz bu Kuran'ı vahyederek, sana en güzel kıssaları anlatıyoruz.. Oysa daha önce sen bunlardan habersizdin.
004_00	Yusuf babasına: "Babacığım! "Rüyamda onbir yıldız, güneş ve ayın bana secde ettiklerini gördüm" demişti.
005_00	Babası şunları söyledi: "Oğulcuğum! Rüyanı kardeşlerine anlatma, yoksa sana tuzak kurarlar; zira şeytan insanın apaçık düşmanıdır".
006_00	"Rabbin seni böylece rüyandaki gibi seçecek, sana rüyaları yorumlamayı öğretecek; daha önce, ataların İbrahim ve İshak'a nimetlerini tamamladığı gibi, sana ve Yakub soyuna da tamamlayacaktır.
006_01	Doğrusu Rabbin bilir, hakimdir."
007_00	And olsun ki, Yusuf ve kardeşlerinin olayında, soranlara nice ibretler vardır.
008_00	Kardeşleri demişlerdi ki: "Yusuf ve özkardeşi babamıza bizden daha sevgilidir. Oysa biz bir cemaatiz. Babamız açık bir yanlışlık içindedir."
009_00	"Yusuf'u öldürün veya onu ıssız bir yere bırakıverin ki babanız size kalsın; ondan sonra da iyi kimseler olursunuz"
010_00	İçlerinden biri: "Yusuf'u öldürmeyin, onu bir kuyunun derinliklerine bırakın. Böyle yaparsanız yolculardan onu bulup alan olur" dedi.
011_00	Bunun üzerine "Ey babamız! Yusuf'un iyiliğini istediğimiz halde, onu niçin bize emniyet etmiyorsun? Yarın onu bizimle beraber gönder de gezsin oynasın, biz onu herhalde koruruz" dediler.
012_00	Bunun üzerine "Ey babamız! Yusuf'un iyiliğini istediğimiz halde, onu niçin bize emniyet etmiyorsun? Yarın onu bizimle beraber gönder de gezsin oynasın, biz onu herhalde koruruz" dediler.
013_00	Babaları, "Onu götürmeniz beni üzüyor; siz farkına varmadan onu kurdun yemesinden korkarım" dedi.
014_00	"And olsun ki, biz kuvvetli bir toplulukken kurt onu yerse, biz aciz sayılırız" dediler.
015_00	Yusuf'u oturup bir kuyunun derinliklerine bırakmayı kararlaştırdılar. Biz ona, kardeşlerinin bu işlerini kendileri farkına varmadan haber vereceksin, diye vahyettik.
016_00	Akşam üstü ağlayarak babalarına geldiklerinde: "Ey babamız! İnan olsun biz yarış yapıyorduk; Yusuf'u eşyamızın yanına bırakmıştık; bir kurt onu yedi. Her ne kadar doğru söylüyorsak da sen bize inanmazsın" dediler.
017_00	Akşam üstü ağlayarak babalarına geldiklerinde: "Ey babamız! İnan olsun biz yarış yapıyorduk; Yusuf'u eşyamızın yanına bırakmıştık; bir kurt onu yedi. Her ne kadar doğru söylüyorsak da sen bize inanmazsın" dediler.
018_00	Üzerine başka bir kan bulaşmış olarak Yusuf'un gömleğini de getirmişlerdi. Babaları: "Sizi nefsiniz bir iş yapmaya sürükledi; artık bana güzelce sabır gerekir. Anlattıklarınıza ancak Allah'tan yardım istenir" dedi.
019_00	Bir kervan geldi, sucularını gönderdiler; sucu kovasını kuyuya saldı, "Müjde! İşte bir oğlan" dedi. Yusuf'u alıp onu ticari bir mal olarak sakladılar. Oysa Allah yaptıklarını bilir.
020_00	Onu yanlarında alıkoymak istemedikleri için ucuz bir fiyata, birkaç dirheme sattılar.
021_00	Mısır'da onu satın alan kimse karısına: "Ona güzel bak, belki bize faydası olur yahut ta onu evlat ediniriz" dedi.
021_01	Biz işte böylece Yusuf'u o yere yerleştirdik; ona, rüyaların nasıl yorumlanacağını öğrettik. Allah, işinde hakimdir, fakat insanların çoğu bunu bilmezler.
022_00	Erginlik çağına erince ona hikmet ve bilgi verdik. İyi davrananları böyle mükafatlandırırız.
023_00	Evinde bulunduğu kadın onu kendine çağırdı, kapıları sıkı sıkı kapadı ve "gelsene" dedi.
023_01	Yusuf: "Günah işlemekten Allah'a sığınırım, doğrusu senin kocan benim efendimdir; bana iyi baktı. Haksızlık yapanlar şüphesiz başarıya ulaşamazlar." dedi.
024_00	And olsun ki kadın Yusuf'a karşı istekli idi; Rabbin'den bir işaret görmeseydi Yusuf da onu isteyecekti. İşte ondan kötülüğü ve fenalığı böylece engelledik. Doğrusu o bizim çok samimi kullarımızdandır.
025_00	İkisi de kapıya koştu, kadın arkadan Yusuf'un gömleğini yırttı; kapının önünde kocasına rastladılar.
025_01	Kadın kocasına "Ailene fenalık etmek isteyen bir kimsenin cezası ya hapis ya da can yakıcı bir azab olmalıdır" dedi.
026_00	Yusuf: "Beni kendine o çağırdı" dedi. Kadın tarafından bir şahit, "Eğer gömleği önden yırtılmışsa kadın doğru söylemiş, erkek yalancılardandır; şayet gömleği arkadan yırtılmışsa kadın yalan söylemiştir, erkek doğrulardandır" diye şahidlik etti.
