001_00	Ta, Ha.
002_00	Kuran'ı sana, sıkıntıya düşeşin diye değil, ancak Allah'tan korkanlara bir öğüt ve yeri ve yüce gökleri yaratanın katından bir Kitap olarak indirdik.
003_00	Kuran'ı sana, sıkıntıya düşeşin diye değil, ancak Allah'tan korkanlara bir öğüt ve yeri ve yüce gökleri yaratanın katından bir Kitap olarak indirdik.
004_00	Kuran'ı sana, sıkıntıya düşeşin diye değil, ancak Allah'tan korkanlara bir öğüt ve yeri ve yüce gökleri yaratanın katından bir Kitap olarak indirdik.
005_00	Rahman arşa hükmetmektedir.
006_00	Göklerde ve yerde, her ikisi arasında ve toprağın altında bulunanlar O'nundur.
007_00	Sen sözü istersen açığa vur, şüphesiz O gizliyi de, gizlinin gizlisini de bilir.
008_00	Allah'tan başka tanrı yoktur, en güzel isimler O'nundur.
009_00	Musa'nın başından geçen olay sana geldi mi?
010_00	O, bir ateş görmüştü de, ailesine: "Durun, ben bir ateş gördüm, ya ondan size bir kor getirir, ya da ateşin yanında bir yol gösteren bulurum" demişti.
011_00	Musa ateşin yanına gelince: "Ey Musa!" diye seslenildi:
012_00	"Ben şüphesiz senin Rabbinim; ayağındakileri çıkar; çünkü sen, kutsal bir vadi olan Tuva'dasın."
013_00	"Ben seni seçtim; artık vahyolunanları dinle."
014_00	"Şüphesiz Ben Allah'ım, Benden başka tanrı yoktur; Bana kulluk et; Beni anmak için namaz kıl."
015_00	Herkes işlediğinin karşılığını görsün diye, zamanını gizli tuttuğum kıyamet mutlaka gelecektir.
016_00	"Buna inanmayan ve hevesine uyan kimse seni ondan alıkoymasın, yoksa helak olursun."
017_00	"Ey Musa! Sağ elindeki nedir?"
018_00	Musa: "O benim değneğimdir, ona dayanırım, onunla davarıma yaprak silkerim, ondan daha birçok işlerde faydalanırım" dedi.
019_00	Allah: "Ey Musa! Bırak onu" dedi.
020_00	Bırakınca, değnek hemen, koşan bir yılan oluverdi.
021_00	Allah: "Onu al, korkma; biz onu yine eski durumuna çevireceğiz. Daha büyük mucizelerimizi sana göstermemiz için elini koltuğunun altına koy da, diğer bir mucize olarak, kusursuz, bembeyaz çıksın" dedi.
022_00	Allah: "Onu al, korkma; biz onu yine eski durumuna çevireceğiz. Daha büyük mucizelerimizi sana göstermemiz için elini koltuğunun altına koy da, diğer bir mucize olarak, kusursuz, bembeyaz çıksın" dedi.
023_00	Allah: "Onu al, korkma; biz onu yine eski durumuna çevireceğiz. Daha büyük mucizelerimizi sana göstermemiz için elini koltuğunun altına koy da, diğer bir mucize olarak, kusursuz, bembeyaz çıksın" dedi.
024_00	"Firavun'a git, doğrusu o azmıştır."
025_00	Musa: "Rabbim! Göğsümü genişlet, işimi kolaylaştır, dilimin düğümünü çöz ki sözümü iyi anlasınlar. Ailemden kardeşim Harun'u bana vezir yap, beni onunla destekle, onu görevimde ortak kıl ki Seni daha çok tesbih edelim ve çokça analım. Şüphesiz Sen bizi görmektesin" dedi.
026_00	Musa: "Rabbim! Göğsümü genişlet, işimi kolaylaştır, dilimin düğümünü çöz ki sözümü iyi anlasınlar. Ailemden kardeşim Harun'u bana vezir yap, beni onunla destekle, onu görevimde ortak kıl ki Seni daha çok tesbih edelim ve çokça analım. Şüphesiz Sen bizi görmektesin" dedi.
