001_00	İnsanların hesap görme zamanı yaklaştı, fakat onlar hala habersiz, hakdan yüz çeviriyorlar.
002_00	Rablerinden kendilerine gelen her yeni ihtarı mutlaka, gönülleri gaflet içinde eğlenerek dinlerler. Zulmedenler, gizli toplantılarında: "Bu zat, sizin gibi bir insandan başka bir şey midir? Siz, göz göre göre sihre mi uyarsınız?" diye konuşurlar.
003_00	Rablerinden kendilerine gelen her yeni ihtarı mutlaka, gönülleri gaflet içinde eğlenerek dinlerler. Zulmedenler, gizli toplantılarında: "Bu zat, sizin gibi bir insandan başka bir şey midir? Siz, göz göre göre sihre mi uyarsınız?" diye konuşurlar.
004_00	Peygamber: "Benim Rabbim gökte ve yerde söyleneni bilir. O, işitendir, bilendir" dedi.
005_00	Onlar: "Hayır; bunlar karışık rüyalardır", "Hayır; onu uydurmuştur", "Hayır; o şairdir", "Haydi önceki peygamberler gibi o da bize bir mucize getirsin" dediler.
006_00	Onlardan önce yoketmiş olduğumuz kasabalar halkı inanmadılar, bunlar mı inanacaklar?
007_00	Senden önce de, kendilerine vahyettiğimiz adamlar gönderdik. Bilmiyorsanız kitablılara sorun.
008_00	Biz onları yemek yemez birer ceset kılmadık ve onlar ölümsüz de değillerdi.
009_00	Sonra Biz onlara verdiğimiz sözü yerine getirdik, kendilerini ve dilediklerimizi kurtardık; aşırı gidenleri ise yok ettik.
010_00	And olsun ki, size şerefiniz ve öğüt veren bir Kitap indirdik; akletmiyor musunuz?
011_00	Halkı zalim olan nice kasabaları kırıp geçirdik ve onlardan sonra başka milletler varettik.
012_00	Onlar bizim baskınımızı hissettiklerinde, oradan kaçmağa koyuluyorlardı.
013_00	"Koşup kaçmayın; size nimet verilen yere, yurdlarınıza dönün, elbette sorguya çekileceksiniz" dedik.
014_00	"Vay başımıza gelenlere! Doğrusu biz haksızlık yapmış kimseleriz" dediler.
015_00	Biz onları biçilmiş ot ve bir yığın kül haline getirinceye kadar haykırmaları devam etti.
016_00	Biz gökleri, yeri ve ikisinin arasındakileri oyun olsun diye yaratmadık.
017_00	Eğlenme dileseydik, bunu yapacak olsaydık, şanımıza uygun şekilde yapardık; ama yapmayız.
018_00	Gerçeği batılın başına çarparız ve onun beynini parçalar; böylece batıl ortadan kalkar. Allah'a yakıştırdığınız vasıflardan ötürü yazıklar olsun size!
019_00	Göklerde ve yerde ne varsa O'nundur. Katında olanlar O'na kulluk etmekten çekinmezler ve usanmazlar.
020_00	Gece ve gündüz, bıkmadan tesbih ederler.
021_00	Yeryüzünde edindikleri tanrılar mı, onlar mı ölüleri diriltecekler?
022_00	Eğer yerle gökte Allah'tan başka tanrılar olsaydı, ikisi de bozulurdu. Arşın Rabbi olan Allah, onların vasıflandırdıklarından münezzehtir.
023_00	O, yaptığından sorumlu değildir, onlar ise sorumlu tutulacaklardır.
024_00	O'nu bırakıp tanrılar mı edindiler?
024_01	De ki: "Kesin delilinizi getirin. İşte benim ve ümmetimin Kitap'ı ve senden öncekilerin kitapları." Hayır; onların çoğu gerçeği bilmez de yüz çevirirler.
025_00	Senden önce gönderdiğimiz her peygambere: "Benden başka tanrı yoktur, Bana kulluk edin" diye vahyetmişizdir.
026_00	"Rahman çocuk edindi" dediler. Haşa; hayır, melekler şerefli kılınmış kullardır.
027_00	Allah'tan önce söz söyleyemezler; ancak O'nun emri üzerine iş işlerler.
028_00	Allah, onların yaptıklarını ve yapmakta olduklarını bilir. Onlar Allah'ın hoşnut olduğu kimseden başkasına şefaat edemezler; O'nun korkusundan titrerler.
029_00	Bunlar içinde kim "Ben, Allah'tan başka bir tanrıyım" derse, işte onu cehennemle cezalandırırız. Zulmedenlerin cezasını böyle veririz.
030_00	İnkar edenler, gökler ve yer yapışıkken onları ayırdığımızı ve bütün canlıları sudan meydana getirdiğimizi bilmezler mi? İnanmıyorlar mı?
031_00	Yeryüzüne, insanlar sarsılmasın diye sabit dağlar yerleştirdik; rahat gidebilsinler diye aralarında geniş yollar varettik.
032_00	Göğü karışıklıktan korunmuş bir tavan kıldık; oysa onlar bundaki delillerden yüz çeviriyorlar.
033_00	Geceyi ve gündüzü, güneşi ve ayı yaratan O'dur. Her biri bir yörüngede yürür.
034_00	Senden önce de hiçbir insanı ölümsüz kılmadık, sen ölürsün de onlar baki kalır mı?
035_00	Her can ölümü tadacaktır. Bir imtihan olarak size iyilik ve kötülük veririz. Sonunda Bize dönersiniz.
036_00	İnkarcılar seni gördükleri zaman, şüphesiz, seni alaya almaktan başka bir şey yapmazlar. "Sizin tanrılarınızı diline dolayan bu mudur?" derler ve Rahman'ın Kitabını işte onlar inkar ederler.
037_00	İnsan aceleci olarak yaratılmıştır. Size ayetlerimi göstereceğim, bunu Benden acele istemeyin.
038_00	"Doğru sözlü iseniz bildirin bu tehdit ne zamandır?" derler.
039_00	Bu kafirler, ateşi yüzlerinden ve sırtlarından menedemeyecekleri ve yardım da göremiyecekleri zamanı keşke bilseler.
040_00	Belki aniden gelecek de onları şaşırtacaktır. Artık onu geri çeviremezler; kendileri de ertelenmez.
041_00	And olsun ki, senden önce birçok peygamber alaya alınmıştı da, alaya alanları, eğlendikleri şey mahvetmişti.
042_00	De ki: "Geceleyin ve gündüzün sizi Rahman'dan kim koruyabilir?" Ama onlar Rablerinin Kitabından yüz çevirmektedirler.
043_00	Yoksa kendilerini bize karşı savunacak tanrıları mı var? O tanrılar kendilerine bile yardım edemezler. Katımızdan da dostluk görmezler.
044_00	Biz bunlara ve babalarına geçimlikler verdik de ömürleri uzadı; şimdi memleketlerini her yandan eksilttiğimizi görmüyorlar mı?
044_01	Üstün gelen onlar mıdır?
045_00	De ki: "Ben ancak sizi vahy ile uyarıyorum" Uyarıldıkları zaman, sağırlar çağrıyı duymazlar.
046_00	Rabbinin azabından onlara bir esinti dokunsa: "Vah bize! Doğrusu biz haksızdık" derler.
047_00	Kıyamet günü doğru teraziler kurarız; hiçbir kimse hiçbir haksızlığa uğratılmaz. Hardal tanesi kadar olsa bile yapılanı ortaya koyarız. Hesap gören olarak Biz yeteriz.
048_00	And olsun ki, Musa ve Harun'a eğriyi doğrudan ayıran Kitap'ı sakınanlar için ışık ve öğüt olarak verdik.
049_00	Onlar görmedikleri halde Rablerinden korkarlar; kıyamet saatinden de titrerler.
050_00	İşte bu, indirdiğimiz kutsal bir Kitap'dır. Siz mi onu inkar ediyorsunuz?
051_00	And olsun ki, daha önce İbrahim'e de akla uygun olanı göstermiştik. Biz onu biliyorduk.
052_00	İbrahim, babasına ve milletine: "Bu tapınıp durduğunuz heykeller nedir?" demişti.
053_00	"Babalarımızı onlara tapar bulduk" demişlerdi.
054_00	İbrahim: "And olsun ki sizler de babalarınız da apaçık bir sapıklık içindesiniz" deyince:
055_00	"Sen bize gerçeği mi getirdin yoksa şaka mı ediyorsun?" dediler.
056_00	O şöyle dedi: "Hayır; Rabbiniz, göklerin ve yerin Rabbidir ki onları O yaratmıştır. Ben de buna şahidlik edenlerdenim."
057_00	"Allah'a yemin ederim ki, siz ayrıldıktan sonra, putlarınıza bir tuzak kuracağım!"
058_00	Hepsini paramparça edip, içlerinden büyüğünü ona başvursunlar diye, sağlam bıraktı.
059_00	Milleti: "Tanrılarımıza bunu kim yaptı? Doğrusu o zalimlerden biridir" dediler.
060_00	Bazıları: "İbrahim denen bir gencin onları diline doladığını duymuştuk" deyince, "O halde bunların şahidlik edebilmeleri için onu halkın gözü önüne getirin" dediler.
061_00	Bazıları: "İbrahim denen bir gencin onları diline doladığını duymuştuk" deyince, "O halde bunların şahidlik edebilmeleri için onu halkın gözü önüne getirin" dediler.
062_00	İbrahim gelince, ona: "Ey İbrahim, bunu tanrılarımıza sen mi yaptın?" dediler.
063_00	İbrahim: "Belki onu şu büyükleri yapmıştır, konuşabiliyorlarsa onlara sorun" dedi.
064_00	Kendi kendilerine: "Doğrusu siz haksızsınız", sonra kafalarında olan eski inançlarına dönerek: "Ey İbrahim! bunların konuşmayacağını, and olsun ki, bilirsin" dediler.
065_00	Kendi kendilerine: "Doğrusu siz haksızsınız", sonra kafalarında olan eski inançlarına dönerek: "Ey İbrahim! bunların konuşmayacağını, and olsun ki, bilirsin" dediler.
066_00	İbrahim: "O halde, Allah'ı bırakıp da size hiçbir fayda ve zarar veremeyecek olan putlara ne diye taparsınız? Size de, Allah'ı bırakıp taptıklarınıza da yazıklar olsun! Akletmiyor musunuz?" dedi.
067_00	İbrahim: "O halde, Allah'ı bırakıp da size hiçbir fayda ve zarar veremeyecek olan putlara ne diye taparsınız? Size de, Allah'ı bırakıp taptıklarınıza da yazıklar olsun! Akletmiyor musunuz?" dedi.
068_00	Onlar: "Bir şey yapacaksanız, şunu yakın da tanrılarınıza yardım edin" dediler.
069_00	Biz: "Ey ateş! İbrahim'e karşı serin ve zararsız ol" dedik.
070_00	Ona düzen kurmak istediler, fakat Biz onları hüsrana uğrattık.
071_00	Onu da, Lut'u da, alemler için kutsal kıldığımız yere ulaştırıp kurtardık.
072_00	İbrahim'e, buna ilaveten İshak ve Yakub'u da verdik, her birini iyi kimseler kıldık.
073_00	Onları, buyruğumuz altında insanları doğru yola götüren önderler yaptık; onlara, iyi işler yapmayı, namaz kılmayı, zekat vermeyi vahyettik. Onlar, bize kulluk eden kimselerdi.
