001_00	Kıyamet gününe yemin ederim.
002_00	Ve nedamet çeken nefse yemin ederim.
003_00	İnsan, kemiklerini bir araya toplayamayız mı sanıyor?
004_00	Evet, Biz onu, parmak uçlarına varıncaya kadar bütün incelikleriyle yeniden yapmaya kadiriz.
005_00	Ama, insanoğlu gelecekte de suç işlemek ister de: "Kıyamet günü ne zamanmış! " der.
006_00	Ama, insanoğlu gelecekte de suç işlemek ister de: "Kıyamet günü ne zamanmış! " der.
007_00	Gözün kamaştığı, ayın tutulduğu, güneş ve ayın bir araya getirildiği zaman, işte o gün insan: "kaçacak yer nerede?" der.
008_00	Gözün kamaştığı, ayın tutulduğu, güneş ve ayın bir araya getirildiği zaman, işte o gün insan: "kaçacak yer nerede?" der.
009_00	Gözün kamaştığı, ayın tutulduğu, güneş ve ayın bir araya getirildiği zaman, işte o gün insan: "kaçacak yer nerede?" der.
010_00	Gözün kamaştığı, ayın tutulduğu, güneş ve ayın bir araya getirildiği zaman, işte o gün insan: "kaçacak yer nerede?" der.
011_00	Hayır; hayır; bir sığınak yoktur.
012_00	O gün, sen, Rabbinin huzuruna varıp durursun.
013_00	O gün, insanoğluna önde ve sonda yaptığı ne varsa bildirilir.
014_00	Özürlerini sayıp dökse de, insanoğlu, artık kendi kendinin şahididir.
015_00	Özürlerini sayıp dökse de, insanoğlu, artık kendi kendinin şahididir.
016_00	Cebrail sana Kuran okurken, unutmamak için acele edip onunla beraber söyleme, yalnız dinle.
017_00	Doğrusu o vahyolunanı kalbine yerleştirmek ve onu sana okutturmak Bize düşer.
018_00	Biz onu Cebrail'e okuttuğumuz zaman, onun okumasını dinle.
019_00	Sonra onu sana açıklamak Bize düşer.
020_00	Hayır, hayır! Sizler, çabuk elde edeceğiniz dünya nimetlerini seversiniz.
021_00	Ahireti bırakırsınız.
022_00	O gün bir takım yüzler Rablerine bakıp parlayacaktır.
023_00	O gün bir takım yüzler Rablerine bakıp parlayacaktır.
024_00	O gün bir takım yüzler de asıktır.
025_00	Kendisinin belkemiğinin kırılacağını sanır.
026_00	Dikkat edin; can boğaza gelip köprücük kemiklerine dayandığı zaman: "Çare bulan yok mudur?" denir.
027_00	Dikkat edin; can boğaza gelip köprücük kemiklerine dayandığı zaman: "Çare bulan yok mudur?" denir.
028_00	Artık ayrılık vaktinin geldiğini sanır.
029_00	Bacaklar birbirine dolaşır.
030_00	O gün sevk Rabbin huzurunadır.
031_00	O, Peygamberi doğrulamamış, namaz kılmamış, ama yalanlayıp yüz çevirmiş, sonra da salına salına kendinden yana olanlara gitmişti.
032_00	O, Peygamberi doğrulamamış, namaz kılmamış, ama yalanlayıp yüz çevirmiş, sonra da salına salına kendinden yana olanlara gitmişti.
033_00	O, Peygamberi doğrulamamış, namaz kılmamış, ama yalanlayıp yüz çevirmiş, sonra da salına salına kendinden yana olanlara gitmişti.
034_00	Sana yazıklar olsun, yazıklar!
035_00	Daha ne olsun, sana yazıklar olsun, yazıklar!
036_00	İnsanoğlu kendisinin başıboş bırakılacağını mı sanır?
037_00	O, katılan bir meni damlası değil miydi?
038_00	Sonra kan pıhtısı olmuş, sonra Allah onu yaratıp şekil vermişti.
039_00	Ondan, erkek, dişi iki cins yaratmıştı.
040_00	Bunları yapan Allah'ın ölüleri diriltmeye gücü yetmez mi? Elbette yeter.
