001_00	İçinde burçları bulunan göğe and olsun;
002_00	Söz verilen kıyamet gününe and olsun;
003_00	Şahitlik edene ve edilene and olsun ki, insanlar öldükten sonra diriltileceklerdir.
004_00	Hazırladıkları hendekleri, tutuşturulmuş ateşle doldurarak onun çevresinde oturup, inanmış kimselere dinlerinden dönmeleri için yaptıkları işkenceleri seyredenler kahrolmuştur!
005_00	Hazırladıkları hendekleri, tutuşturulmuş ateşle doldurarak onun çevresinde oturup, inanmış kimselere dinlerinden dönmeleri için yaptıkları işkenceleri seyredenler kahrolmuştur!
006_00	Hazırladıkları hendekleri, tutuşturulmuş ateşle doldurarak onun çevresinde oturup, inanmış kimselere dinlerinden dönmeleri için yaptıkları işkenceleri seyredenler kahrolmuştur!
007_00	Hazırladıkları hendekleri, tutuşturulmuş ateşle doldurarak onun çevresinde oturup, inanmış kimselere dinlerinden dönmeleri için yaptıkları işkenceleri seyredenler kahrolmuştur!
008_00	Bu inkarcıların, inananlara kızmaları; onların sadece, göklerin ve yerin hükümranlığı kendisinin bulunan ve övülmeğe layık ve güçlü olan Allah'a inanmış olmalarındandı. Allah her şeye şahiddir.
009_00	Bu inkarcıların, inananlara kızmaları; onların sadece, göklerin ve yerin hükümranlığı kendisinin bulunan ve övülmeğe layık ve güçlü olan Allah'a inanmış olmalarındandı. Allah her şeye şahiddir.
010_00	Ama inanmış erkek ve kadınlara işkence ederek onları dinlerinden çevirmeğe uğraşanlar, eğer tevbe etmezlerse, onlara cehennem azabı vardır. Yakıcı azap da onlaradır.
011_00	Şüphesiz inanıp yararlı işler işleyenlere, onlara, içlerinden ırmaklar akan cennetler vardır. Bu, büyük kurtuluştur.
012_00	Doğrusu Rabbinin yakalaması amansızdır.
013_00	Önce yaratıp sonra bunu tekrar eden O'dur.
014_00	Yüce arşın sahibi, çok seven, bağışlayan O'dur.
015_00	Yüce arşın sahibi, çok seven, bağışlayan O'dur.
016_00	Her dilediğini mutlaka yapandır.
017_00	Firavun ve Semud ordularının haberi sana geldi mi?
018_00	Firavun ve Semud ordularının haberi sana geldi mi?
019_00	Doğrusu inkar edenler, hep yalanlayagelmişlerdir.
020_00	Oysa Allah onları ardlarından çevirmiştir.
021_00	Doğrusu sana vahyedilen bu Kitap, Levhi Mahfuz'da bulunan şanlı bir Kuran'dır.
022_00	Doğrusu sana vahyedilen bu Kitap, Levhi Mahfuz'da bulunan şanlı bir Kuran'dır.
