001_00	Алиф. Лом. Мийм.
002_00	Одамлар »иймон келтирдик« дейишлари ила имтиҳон қилинмай, тарк этилишларини ўйладиларми? (Иймон калимасини оғизда айтиш осон. Ҳар ким ҳам, иймон келтирдим, деб айтавериши мумкин. Аммо тил билан айтилган калима дилдан чиққанми ёки йўқми, буни аниқлаш учун банда синов-имтиҳондан ўтиши керак.)
003_00	Ва, батаҳқиқ, Биз улардан олдингиларни ҳам имтиҳондан ўтказганмиз. Бас, Аллоҳ, албатта, содиқ бўлганларни ҳам билажак, ёлғончиларни ҳам билажак.
004_00	Ёки ёмонликларни қиладиганлар Биздан қочиб қутулишни ўйлайдиларми? Қилган ҳукмлари қандай ҳам ёмон-а?!
005_00	Ким Аллоҳга рўбарў бўлишдан умидвор бўлса, албатта, Аллоҳ белгилаган вақт келгувчидир. У ўта эшитгувчи ва ўта билгувчидир.
006_00	Ким жиҳод қилса, бас, албатта, ўз фойдаси учун жиҳод қилур. Албатта, Аллоҳ барча оламлардан беҳожатдир.
007_00	Иймон келтириб, яхши амаллар қилганларнинг ёмонликларини, албатта, ўчирурмиз ва уларни қилган амалларининг энг яхшиси ила мукофотлармиз.
008_00	Ва инсонга ота-онасига яхшилик қилишни тасвия қилдик. Агар улар сени ўзинг билмаган нарсани Менга ширк келтиришинг учун жиҳод қилсалар, бас, уларга итоат қилма.
008_01	Қайтишларингиз Менгагинадир. Бас, сизларга қилган нарсаларингиз хабарини берурман.
009_00	Иймон келтириб, яхши амаллар қилганларни солиҳлар қаторига қўшурмиз.
010_00	Ва одамлардан, Аллоҳга иймон келтирдик, дейдиган, сўнгра Аллоҳнинг йўлида озорланса, одамларнинг фитнасини Аллоҳнинг азобидек қабул қиладиганлари ҳам бор. Агар Роббинг томонидан нусрат келса, улар, албатта, биз сиз билан бирга эдик, дерлар. Аллоҳ оламларнинг кўксиларидаги нарсаларни ўта билгувчи зот эмасми?!
010_01	(Бундай одамлар, иймон калимасини айтсак бўлди, ҳамма нарса ўз-ўзидан бўлаверади, ҳеч қандай ёмонлик етмайди, деб тасаввур қиладилар. Одамларнинг фитнасини Аллоҳнинг азоби деб билади. Чидай олмай, турли ҳолатларга тушади ва иймондан қайтади.)
011_00	Албатта, Аллоҳ иймон келтирганларни ҳам яхши билур, мунофиқларни ҳам яхши билур.
012_00	Ва куфр келтирганлар иймон келтирганларга: »Бизнинг йўлимизга эргашинглар, хатоларингизни биз кўтарайлик«, дерлар. Ҳолбуки, улар аларнинг хатоларидан ҳеч бир нарсани кўтаргувчи эмаслар. Албатта, улар ёлғончилардир.
013_00	Албатта, улар ўз юкларини ҳам, у юклар билан бирга бошқа юкларни ҳам кўтарурлар. Албатта, қиёмат кунида уйдириб юрган нарсалари ҳақида сўралурлар. (Оятдаги «юк»дан мурод гуноҳдир. Албатта, кофирлар гуноҳлари юкини кўтарадилар, шу билан бирга, ўз иғволари билан йўлдан урган одамларнинг гуноҳларини ҳам кўтарурлар. Аммо бу нарса уларнинг иғвосига учганларнинг гуноҳини енгиллатмайди, улар ҳам қилмишларига яраша жазоларини тортадилар.)
014_00	Ва, батаҳқиқ, биз Нуҳни қавмига Пайғамбар этиб юбордик. Бас, у улар ичида эллик йили кам минг йил турди. Сўнгра уларни золим бўлган ҳолларида тўфон олди. (Бир одамнинг минг йилдан ортиқ ҳаёт кечиргани кўпларга ғалати туюлиши мумкин. Лекин бу нарса инкор қилиб бўлмайдиган ҳақиқатдир. Қуръони Каримда келган хабарни инкор қилган одам кофир бўлади. Айни чоқда, бу ҳол ақл тарозусида тортса бўладиган оддий бир иш. Қадимда кишиларнинг умрлари узун бўлгани ҳаммага маълум. Бунинг устига, оз сонли жонзотларнинг умри узун, адади кўпларники қисқа бўлиши ҳам тажрибада кўрилган. Нуҳ алайҳиссалом инсоният тўфон туфайли қирилиб кетган бир даврда яшаганликлари эътиборга олинса, мазкур умрузоқлик оддий бир ҳол экани билинади.)
015_00	Бас, Биз унга ва кема соҳибларига нажот бердик ва у(кема)ни оламларга оят-белги қилдик.
016_00	Ва Иброҳимни (юбордик). Ўшанда у ўз қавмига: «Аллоҳга ибодат қилинглар ва Унга тақво қилинглар. Бундай қилишингиз, агар билсангиз, сиз учун яхшидир. (Иброҳим алайҳиссалом қавмларига илоҳий даъватни жуда содда қилиб тушунтирдилар. Аллоҳга ибодат қилинглар, бошқага эмас, Аллоҳдан қўрқинглар, бошқадан эмас, дедилар. Демак, қиладиган ҳар бир ишингиз Аллоҳнинг розилигини топиш учун бўлсин. Ҳар лаҳзада Аллоҳга тақво қилиб туринг. Ана шунда мақсадга эришасиз.)
017_00	Албатта, сизлар Аллоҳни қўйиб, бутларга ибодат қилмоқдасиз ва уйдирмалар тўқимоқдасиз, холос. Албатта, Аллоҳдан ўзга ибодат қилаётган нарсаларингиз сизга ризқ беришга молик эмаслар.
017_01	Ризқни Аллоҳнинг ҳузуридан истанглар. Унга ибодат ва шукр қилинглар. Унгагина қайтарилурсиз», деди.
018_00	Агар сизлар ёлғончи қилсангиз, бас, сиздан олдинги умматлар ҳам ёлғончи қилганлар. Пайғамбар зиммасида очиқ-ойдин етказишдан бошқа нарса йўқ.
