001_00	Ҳа-а. Мийм.
002_00	қ-ойдин китоб ила қасам.
003_00	Албатта, Биз уни арабча Қуръон қилдик. Шоядки ақл юритсангиз.
004_00	Албатта, у ҳузуримиздаги она китобдадир, у олийдир, ҳикматлидир. (Уламоларимиз, «она китоб»дан мурод Лавҳул Маҳфуз, деганлар. Демак, Қуръони Карим Аллоҳ таолонинг ҳузуридаги Лавҳул Маҳфузда сақланган. Бу эса, уни Аллоҳ таоло нақадар зўр қадрлаганини кўрсатади.)
005_00	Наҳотки сиз исрофчи қавм бўлганингиз учун сиздан юз ўгириб, зикр-эслатмани буриб юборсак?! (Яъни, Қуръонни булар қабул қилмас экан, майли, юраверсинлар, деб уни бошқаларга томон буриб юборсак бўладими?! Йўқ, Бизнинг одатимиз бундай эмас. Асл одатимизни билиш учун ўтган Пайғамбар ва умматларнинг ҳолига бир назар солинг!)
006_00	Аввалгиларга қанчадан-қанча Пайғамбарлар юбордик.
007_00	Улар ўзларига келган ҳар бир Пайғамбарни, албатта, истеҳзо қилганлар.
008_00	Бас, Биз улардан кўра кучлироқларни ҳалок қилганмиз. Аввалгиларнинг мисоли (зикр бўлиб) ўтди.
009_00	Улардан: «Осмонлару ерни ким яратган!» деб сўрасанг, албатта: «Уларни азиз ва ўта илмли зот яратган», дерлар.
010_00	У зот сизга ерни бешик қилиб берди ва сизга унда йўллар қилиб қўйди. Шоядки, ҳидоят топсангиз. (Аллоҳ сизга ерни чақалоқнинг бешигидек қулай қилиб, ер юзида йўллар ҳам яратиб қўйди. Шоядки бу ҳақиқатларни тушуниб, инсофга келиб ҳидоят йўлига юрсангиз.)
011_00	У зот осмондан ўлчов ила сув туширди. Бас, Биз у(сув) ила ўлик юртни тирилтирдик. Сиз ҳам шунга ўхшаш чиқарилурсиз.
012_00	У зот барча жуфтларни яратган ва сизга кемалар ҳамда чорва ҳайвонларидан минадиган нарсаларингизни қилди.
013_00	Токи сиз уларнинг устига ўрнашгайсизлар, сўнгра уларнинг устига ўрнашиб олгач, Роббингиз неъматини эслаб: «Бизга буни бўйсундирган зот покдир. Биз бунга қодир эмас эдик.
014_00	Ва, албатта, Биз Роббимизга қайтгувчилардирмиз», дегайсиз. (Инсон маркабга минганда аллақандай бир кўтаринкилик, ғурур ва манманлик пайдо бўлганини сезади. Ана шунда унга маркаб миниш имконини берган зотни эсласа ва шу оятдаги дуони ўқиса, ҳамма нарса ўрнига тушади. Имом Муслим ривоят қилган ҳадисда қуйидагилар айтилади: «Расулуллоҳ (с. а. в.) қачон сафарга чиқиб уловга минсалар, уч марта «Аллоҳ акбар», деб такбир айтар ва қуйидагиларни ўқир эдилар: «Бизга буни бўйсундирган зот покдир. Биз бунга қодир эмас эдик. Ва, албатта, биз Роббимизга қайтгувчилардирмиз». Ё Аллоҳ! Биз сендан бу сафаримизда яхшилик ва тақвони, ўзинг рози бўладиган амалларни сўраймиз. Ё Аллоҳ! Ўзинг бизга бу сафаримизни осон қилгин. Унинг узоғини яқин қилгин. Ё Аллоҳ! Сенинг ўзинг сафардаги соҳибсан. Аҳлиаёлдаги халифасан. Ё Аллоҳ! Мен сендан сафар қийинчиликларидан, турли ёмонликлардан, молу мулк ва аҳлиаёлнинг ёмонликка юз тутишидан паноҳ сўрайман».)
015_00	Улар бандаларидан Унга бўлак (ҳукм) қилдилар. Албатта, инсон очиқ-ойдин ношукрдир. (Аллоҳга Унинг бандаларидан бўлмиш фаришталарни У зотнинг бўлаги-фарзанди деб ҳукм қилдилар.)
016_00	Ёки У зот Ўзи яратадиган нарсадан қизлар тутиб, сизларни ўғиллар ила сийладими?
017_00	Қачонки улардан бирортасига, Роҳманга мисол келтирган нарсанинг хушхабари берилса, ғазабга тўлиб, юзи қорайиб кетур.
018_00	Зебу зийнат ичида ўстириладиган ва хусумат пайтида очиқ-ойдин бўла олмайдиган кимсаними?! (Бу оятларда мушрикларнинг, фаришталар Аллоҳнинг қизи, деган эътиқодларига рад келмоқда.)
019_00	Улар Роҳманнинг бандалари бўлмиш фаришталарни аёллар ҳисобладилар. Ёки уларнинг яратилишига гувоҳ бўлдиларми?! Албатта, бу гувоҳликлари ёзилур ва сўроққа тутилурлар!
020_00	Улар: «Агар Роҳман хоҳлаганида, Биз уларга ибодат қилмас эдик», дедилар. Уларда бу ҳақда ҳеч бир илм йўқ. Улар фақат алжирамоқдалар, холос.
021_00	Ёки Биз уларга у(Қуръон)дан олдин бир китоб берганмизу улар уни маҳкам тутувчиларми?!
022_00	Йўқ! Улар: «Биз ота-боболаримизни бир динда топдикки, албатта, биз уларнинг изларидан ҳидоят топгувчидирмиз», дедилар.
023_00	Худди шунингдек, Биз сендан илгари ҳам қайси бир қишлоқ-шаҳарга огоҳлантиргувчи юборсак, албатта, унинг зодагонлари: «Таъкидки, биз ота-боболаримизни бир динда топдик ва, албатта, биз уларнинг изларидан эргашгувчилардирмиз», дедилар.
024_00	У (огоҳлантгирувчи): «Агар мен сизга сиз ота-бобонгизни (эътиқод) устида топган нарсангиздан ҳам ҳидоятлироқни келтирган бўлсам ҳам-а?!» деди. Улар: «Биз сиз ила юборилган нарсага кофирдирмиз», дедилар.
025_00	Бас, Биз улардан интиқом олдик. Энди назар сол. (Пайғамбарларни) ёлғончи қилгувчиларнинг оқибати қандай бўлди?!
026_00	Эсла, Иброҳим отасига ва қавмига: «Мен, албатта, сиз ибодат қилаётган нарсадан воз кечгувчиман.
027_00	Магар мени яратган зотдангина (воз кечмасман). Албатта, У зот мени ҳидоят қилур», деган эди.
028_00	Ва бу(сўз)ни у ўз ортидан зурриётига боқий қолгувчи қилди. Шоядки (иймонга) қайтсалар. (Яъни, Иброҳим алайҳиссалом Аллоҳдан ўзга ҳеч бир илоҳга ибодат қилмаслик ҳақидаги сўзни, бошқача айтганда, «Ла илаҳа иллаллоҳ»ни ўзидан кейин келадиган зурриётлари ичида боқий қоладиган қилди. Шоядки зурриётлари куфр ва ширкдан иймонга қайтсалар.)
029_00	Мен эса, анавиларни ва уларнинг ота-боболарини, то уларга ҳақ ҳамда очиқ-ойдин Пайғамбар келгунча фойдалантирдим.
030_00	Қачонки уларга ҳақ келганида, улар: «Бу сеҳрдир ва, албатта, биз бунга кофирдирмиз», дедилар.
031_00	Улар: «Ушбу Қуръон икки шаҳардан (бирида) бўлган улуғ кишига нозил қилинганида эди», дедилар. (Уларнинг жоҳилий ўлчовлари бўйича молу дунёси кўп, мансаби, ҳукми ва султони бор одам «улуғ киши» деб эътироф этиларди. Ана шундай одам Пайғамбар бўлишга лойиқ эди. Ўша пайтда мушрикларнинг бу мақомга номзодлари ҳам бор эди. Маккада ал-Валид ибн Муғийра, Тоифда Урвату ибн Масъуд ас-Сақафий исмли одамлар бўлиб, мушриклар ана шулардан бири Пайғамбар бўлса арзийди, деган фикрда эдилар.)
032_00	Ёки улар Роббингнинг раҳматини тақсимлайдиларми?
032_01	Биз ҳаёти дунёда уларнинг ораларида маишатларини тақсимладик ва баъзилари баъзиларини хизматкор қилиб олишлари учун айримларининг даражаларини айримларидан устун қилиб қўйганмиз. Роббингнинг раҳмати улар жамлайдиган нарсадан яхшидир.
033_00	Агар одамлар бир миллат бўлиб қолишлари (хавфи) бўлмаганда, албатта, Биз Роҳманга куфр келтирадиганларнинг уйлари шифтини ва унга чиқадиган нарвонларини кумушдан қилиб қўяр эдик.
034_00	Ва уйларининг эшикларини ҳам, устида ёнбошлаб ётадиган сўриларини ҳам (кумушдан қилиб қўяр эдик).
035_00	Ва зебу зийнату безакларни ҳам. Буларнинг ҳаммаси ҳаёти дунёнинг матоҳидан бошқа нарса эмас. Охират эса, Роббинг наздида тақводорлар учундир.
036_00	Ким Роҳманнинг эслатмасидан шабкўр бўлиб олса, Биз унга шайтонни яқин қилиб қўюрмиз, бас, у унга доимий ҳамроҳ бўлур.
