001_00	Ҳа мийм.
002_00	Китобнинг туширилиши Ғолиб ва ҳикматли Аллоҳ тарафидандир.
003_00	Осмонлару ерни ҳамда улар ўртасидаги нарсаларни фақат ҳақ ва белгиланган муддат ила яратдик. Кофирлар бўлса, ўзлари огоҳлантирилган нарсадан юз ўгурувчилардир. (Қуръонни ҳикмат ила нозил қилган ғолиб ва қудратли Аллоҳ осмонлару ерни ҳамда уларнинг орасидаги нарсаларни ҳам ҳақ ила, ҳикмат ила яратган.)
004_00	Сен: « Аллоҳдан ўзга сиғинаётган нарсаларингизнинг хабарини беринг-чи, менга кўрсатинг-чи, улар ердан нимани яратдилар?
004_01	Ёки осмонларни (яратишда) иштироклари борми? Агар ростгўй бўлсаларингиз, менга бундан (Қуръондан) олдинги китобни ёки илмий асарни келтиринг.»- деб айт.
005_00	Аллоҳни қўйиб, қиёмат кунигича дуосини мустажоб қилолмайдиганларга илтижо этадиганлардан ҳам адашганроқлар борми?! Ҳолбуки, У(бут)лар уларнинг дуосидан ғофилдирлар.
006_00	Одамлар маҳшарга тўпланганда, (бутлар) уларга душман бўлурлар ва ибодатларига ҳам мункир бўлурлар. (Бизга ибодат қилганингиз йўқ, деб инкор қиладилар. Ҳатто шайтон ўзига эргашганлардан тонар экан.)
007_00	Қачонки уларга равшан оятларимиз тиловот қилинса, куфр келтирганлар Ҳақ (Қуръон) уларга келгандаёқ, бу очиқ-ойдин сеҳрдир, дерлар.
008_00	Балки у(Қуръон)ни ўзи тўқиб олган ҳам дерлар. Сен: «Агар уни тўқиб олган бўлсам, Аллоҳдан (келадиган) бирор нарсани мендан қайтаришга қодир эмассиз.
008_01	У зотнинг Ўзи ҳақида сиз шўнғиётган нарсаларни яхши билувчидир. Мен билан сизнинг ўртангизда гувоҳликка Унинг Ўзи кифоядир. Ва У кечирувчи ҳам раҳмли зотдир», деб айт.
009_00	Сен:»Мен биринчи Пайғамбар эмасман, менга ва сизларга нима қилинишини билмайсман. Фақат, ўзимга ваҳий қилинаётган нарсагагина эргашурман. Мен очиқ-ойдин огоҳлантирувчиман, холос», деб айт.
010_00	Сен: «Айтинг-чи, агар у(Қуръон) Аллоҳдан бўлса-ю, сиз унга куфр келтирсангиз ва ҳолбуки, Бани Исроилдан бир гувоҳ у(Қуръон)га ўхшаш нарсага гувоҳлик бериб, иймон келтириб турибди, сиз эса, кибру ҳаво қиляпсиз. Албатта, Аллоҳ золим қавмларни ҳидоят қилмайди», деб айт.
010_01	(Қуръони каримда бузуқ ақидаларни тузатиш, тўғри йўлга бошлаш учун турли услублар қўлланган. бу оятда мушрикларнинг ақидасига шубҳа солиш йўли билан, уларнинг хатода эканликлари баён қилинмоқда.)
011_00	Куфр келтирганлар иймон келтирганларга: «Агар у(Қуръон) яхшилик бўлганида, унга биздан аввал бормасдилар», дерлар. У(Қуръон)дан ҳидоят топишмагач, бу-қадимги уйдирмадир», дерлар. (Кибру ҳавога учган араб бойваччаларининг назарида камбағалларнинг Исломга кириши, Қуръонга ишониши камчилик, айб бўлиб кўринган. Улар ўзларича,»ялангаёқлар юрган йўл яхши бўлармиди?»демоқчилар. Лекин, айни чоқда, Ҳазрати Абу Бакр, Ҳазрати Усмон, Ҳадича онамизга ўхшаш бой, задогонлар ҳам биринчилардан бўлиб Исломга киришганини эътиборга олишмайди. Ислом бойни ҳам, камбағални ҳам, кучлини ҳам, заифни ҳам бир оила аъзоси қилиш учун Аллоҳ тамонидан юборилган дин.)
