001_00	Қоф. Улуғ Қуръон ила қасам.
002_00	Балки уларга ўзларидан огоҳлантирувчи келганидан ажабландилар ва кофирлар: «Бу ажиб нарса-ку?! (Мушриклар Муҳаммад алайҳиссаломнинг Пайғамбар бўлиб келганлигидан ажабландилар.)
003_00	Ўлиб, тупроқ бўлганимиздан кейин ҳам-а? Бу қайтиш (ақлдан) узоқ-ку?!» дедилар.
004_00	Ҳақиқатда Биз уларни ер камайтираётганини билдик ва Бизнинг ҳузуримизда сақловчи китоб бор. (Ўлик кўмилгандан кейин аста- секин чириб, камайиб тупроққа қўшила боради.)
005_00	Балки уларга ҳақ келганда, уни ёлғонга чиқардилар. Улар изтиробли ишдадирлар. (Улар ҳақни инкор қилганлар. Буни олдида бошқа нарсаларни инкор қилиш ҳач гап эмас.)
006_00	Устиларидаги осмонга назар солмайдиларми? Уни қандай бино қилибмиз, зийнатлабмиз ва унинг тешиклари ҳам йўқ?!
007_00	Ва ерни чўзиб қўйдик, унга тоғларни ташладик ва унда турли гўзал жуфтларни ўстирдик.
008_00	(Роббисига) қайтувчи ҳар бир бандага кўргазма ва эслатма қилиб.
009_00	Ва осмондан барака сувини туширдик, ҳамда у билан боғ-роғларни ва дон ҳосилини ўстирдик.
010_00	Ва зич мевали шингиллари бор хурмоларни ҳам.
011_00	Бандаларга ризқ қилиб. Ва у (ёмғир) билан ўлган шаҳарни тирилтирдик. (Қабрдан) чиқиш ҳам шундай бўладир. (Ўсимликлари қуриб, худди ўлик ҳолига келиб қолган шаҳарларни ёмғир ила ўстириб-тирилтиришни эслатиш орқали инсон худди шу тарзда қайта тирилиши осон эканлигини таъкидламоқда.)
012_00	Улардан аввал Нуҳ қавми, қудуқ соҳиблари ва Самуд ёлғонга чиқарганлар.
013_00	Од, Фиръавн, Лут биродарлари.
014_00	Ва дарахтзор эгалари ва Туббаъ қавми — барчалари Пайғамбарларни ёлғонга чиқарганлар. Бас, (азоб) ваъдам ҳақ бўлди. (Бу ояти каримада кофирлар фақат Муҳаммад алайҳиссаломнигина ёлғончига чиқаришмагани, балки бу қадимий одати эканлиги эслатилмоқда.)
015_00	Аввалги яратишга ожиз бўлдикми? Йўқ! Улар янгидан яратилишига шубҳададирлар.
016_00	Албатта, инсонни Биз яратганмиз ва унинг нафси нимани васваса қилишини ҳам биламиз. Ва Биз унга жон томиридан ҳам яқинмиз.
017_00	Зотан икки кутиб олувчи ўнгда ва чапда ўтирган ҳолларида кутиб олурлар.
018_00	У бирор сўз айтмас, магар ҳузурида (фаришта) ҳозиру нозир.
019_00	Ўлимнинг мастлиги (талвасаси) ҳақиқат бўлиб келди. Сен қочиб юрган нарса шулдир.
020_00	Ва сур ҳам чалинди. Бу қўрқитилган кундир.
021_00	Ва ҳар бир жон ҳайдагувчи ва гувоҳлик берувчи билан келди. (Яъни, қиёматда ҳар бир жон билан уни маҳшаргоҳга ҳайдовчи фаришта ва бу дунёда қилган ишларга гувоҳлик берувчи фаришта бирга келади. Эҳтимол, бу дунёда унга вакил қилинган икки фаришта шулардир.)
022_00	Албатта, сен бундан ғафлатда эдинг. Бас, Биз сенинг пардангни очдик ва бугун кўзинг ўткирдир.
023_00	Ва унинг «яқини»: «Мана, бу мендаги тайёр нарса», деди.
024_00	Ҳар бир қайсарни, кофирни жаҳаннамга ташланг!
025_00	Яхшиликни ман қилувчини, тажовузкорни, шак келтирувчини!
026_00	Аллоҳ билан бирга бошқани илоҳ қилиб олганни шиддатли азобга ташланг!
027_00	Унинг «яқини»: «Роббимиз, уни мен туғёнга кетгазганим йўқ, лекин унинг ўзи узоқ залолатда бўлди», дер.
028_00	У зот: «Менинг ҳузуримда тортишманглар, сизларга азоб ваъдасини тақдим қилувдим.
029_00	Менинг ҳузуримда гап ўзгармас ва Мен бандаларга зулм қилгувчи эмасман», деди.
030_00	«Бугун жаҳаннамга тўлдингми?» десак, у: « яна қўшимча борми?» дер.
031_00	Ва жаннат тақводорларга узоқ бўлмаган жойга яқинлаштирилди.
032_00	Бу сизга ваъда қилинган нарсадир. Ҳар бир сертавбага ва сақловчига.
033_00	Роҳмандан ғоибдан қўрққан ва саломат қалб ила келган кимсасага.
034_00	Унга саломат бўлган ҳолда кирингиз. Бу мангулик кунидир» (дейилди).
035_00	У ерда нима хоҳласалар, уларникидир. Ва ҳузуримизда зиёдаси бор. (Имом Аҳмад ривоят қилган ҳадисда Пайғамбар алайҳиссалом: »Агар мўмин киши жаннатда фарзанд хоҳласа, унинг ҳомиласи, туғилиши, ўсиши бир соатда бўлади», деганлар. «Ва ҳузуримизда зиёдаси бор»— Аллоҳ таолонинг жамолига назар солиш бахтидир, деган ривоят ҳам бор.)
036_00	Улардан аввал, улардан кўра кучлироқ асрларнинг қанчасини ҳалок қилдик. «Қочадиган жой борми?» деб юртма-юрт кезиб чиқдилар. (Ҳалокатга учраган ўша аввалги кофирлар авлодлари ҳозиргилардан кўра қувватлироқ эдилар. Аммо чора топа олмай ҳалок бўлдилар.)
037_00	Албатта, бунда қалби борларга ва зеҳн билан қулоқ осганларга эслатма бордир.
038_00	Албатта, осмонлару ерни ва уларнинг орасидаги нарсаларни олти кунда яратдик. Ва Бизни чарчоқ тутмади. (Аллоҳнинг ҳузуридаги кунлар биз ўрганиб қолган кунларнинг айниси эмас. Бизнинг кунларимиз дунё яратилганидан сўнг, ер курасини айланиши ҳолати ва вақтига мувофиқ яратилган. Табиийки, бу олти куннинг масофаси ва миқдорини ёлғиз Аллоҳ таоло билади.)
039_00	Уларнинг айтаётганларига сабр қил ва Роббингга қуёш чиқиши ва ботишидан аввал ҳамду тасбиҳ айт.
040_00	Кечасида ҳам Унга тасбиҳ айт. Ва саждадан кейин ҳам. (Тасбеҳ айтишнинг маъноси Аллоҳни поклаб ёд этишдир. Кўпроқ «Субҳоналлоҳи» калимасини айтиш билан бўлади.)
041_00	Нидо қилувчи яқин жойдан нидо қилган кунда, қулоқ ос. («Нидо қилувчи — фаришта Исрофил алайҳиссаломдир.)
042_00	У кунда қичқириқни ҳақ ила эшитурлар. Ана ўша чиқиш кунидир. («Чиқиш куни»— қабрлардан чиқиш куни, яъни, қиёмат кунидир.)
043_00	Албатта, Биз тирилтирамиз, ўлдирурмиз. Ва қайтиш ҳам Бизгадир.
044_00	У кунда устларидаги ер ёрилиб, шошиб чиқурлар. Ана ўша Биз учун осон тўплашдир.
045_00	Уларнинг айтганларини Биз билувчимиз. Сен уларнинг устидаги жаббор эмассан. Бас, Қуръон ила азоб ваъдамдан қўрққанларни огоҳлантир.
