001_00	Ботаётган юлдуз билан қасам.
002_00	Сизнинг биродарингиз адашгани ҳам, йўлдан озгани ҳам йўқ.
003_00	У ҳаводан нутқ қилмас.
004_00	У (Қуръон) ваҳийдан ўзга нарса эмас.
005_00	Унга шиддатли қувват эгаси ўргатди.
006_00	Миррат эгаси. Бас кўтарилди.
007_00	Ва у олий уфқда эди.
008_00	Сўнгра яқинлашди ва жуда ҳам яқин бўлди.
009_00	Бас, икки камон миқдоридай жойгда бўлди. Балки ундан ҳам яқинроқ келди.
010_00	Ва У зот бандасига нимани ваҳий қилган бўлса, етказди.
011_00	Қалб (кўз) кўрганини ёлғонга чиқармади.
012_00	У билан ўзи кўрган нарса устида тортишасизларми?!
013_00	Ва дарҳақиқат, уни бошқа сафар кўрди.
014_00	Тугаш дарахти олдида.
015_00	У(дарахт)нинг ҳузурида маъво жаннати бор.
016_00	Ўшанда, дарахтни ўрайдиган нарса ўраб турибди.
017_00	Нигоҳ бурилмади ҳам, ҳаддидан ошмади ҳам.
018_00	Дарҳақиқат, Ўз Роббисининг улкан белгиларидан кўрди. (Муҳаммад алайҳиссалом меърож кечасида, жаннатни, дўзахни, Байтул маъмурни, ўтган Пайғамбарларни, Жаброил алайҳиссаломнинг асл ҳолатларини ва бошқаларни кўрдилар.)
019_00	Лот ва Уззони ўйлаб кўрдингизми?
020_00	Ва бошқаси-учинчиси Манотни ҳам?
021_00	Сизларга эркаг-у, У зотга аёлми?
022_00	Ундоқ бўлса, бу нотўғри тақсим-ку!
023_00	У(бут)лар сиз ва ота-боболарингиз қўйган номлардан ўзга ҳеч нарса эмас.
023_01	Аллоҳ бунга ҳеч ҳужжат туширган эмас. У (мушрик)лар Роббиларидан ҳидоят келганига қарамай гумон ва ҳавойи нафс хоҳишига эргашарлар, холос.
024_00	Ёки ҳар инсон нимани хоҳласа, шу бўлурми?
025_00	Зеро, охират ҳам, дунё ҳам Аллоҳникидир.
026_00	Осмонларда қанчадан-қанча фаришталар мавжуд, уларнинг шафоати ҳеч фойда бермас. Магар Аллоҳ Ўзи хоҳлаган ва рози бўлганларга изн берсагина.
027_00	Албатта, охиратга иймон келтирмаганлар фаришталарни аёл номи билан номларлар.
028_00	Уларда бу ҳақда ҳеч қандай илм йўқ. Гумондан бошқа нарсага эргашмаслар. Албатта, гумон ҳақиқат ўрнига ўтмас.
029_00	Бизнинг зикримизга орқа ўгирган, ҳаёти дунёдан бошқани хоҳламайдиганлардан юз ўгир.
030_00	Уларнинг эришган илмлари мана шу. Албатта, Роббинг Унинг йўлидан адашганларни билгувчидир ва ҳидоятдагиларни ҳам билгувчидир.
031_00	Осмонлару ердаги барча нарсалар Аллоҳникидир. У ёмонлик қилганларни амалига яраша жазолар ва яхшилик қилганларни гўзал(мукофот)ила мукофотлар.
032_00	Улар кичик гуноҳлардан бошқа катта гуноҳлар ва фаҳш ишлардан четда бўладиганлардир. Албатта, Роббинг мағфирати кенг зотдир. У сизларни тупроқдан пайдо қилганда ҳам, оналарингиз қоринларида ҳомилалик чоғингизни ҳам яхши билувчидир. Шундоқ экан, ўзингизни оқламанг, У ким тақводорлигини яхши биладир. (Оятдаги «Ламам» сўзини биз «кичик гуноҳлар» деб таржима қилдик. Аслида, «ламам»
032_01	сўзи «оз», «кичик» маъноларини англатади. «Кичик гуноҳ» ибораси энг муносиб маънодир. «Фаҳш ишлар» ибораси қабиҳлиги катта иш ва сўзларга нисбатан ишлатилади. Шариатда «катта гуноҳ» деб Аллоҳ ҳаромлигини баён қилган ва ёки жазоси белгиланган гуноҳларга айтилади. Ўғрилик, одам ўлдириш ва зино кабилар.)
033_00	Юз ўгириб кетганни кўрмадингми?!
034_00	У озгина берди ва тўхтатди.
035_00	Унинг ҳузурида ғайб илми бору, у кўриб турибдими?! (Ғайбни фақат Аллоҳ билиб, бошқа ҳеч ким билмаслиги аниқ. Охиратнинг ғамини емай юрганлар нимага суянишади? Ғайбни билмагандан кейин инсон доимо ўзига охиратда фойда берадиган ишларни кўпроқ бажаришга ҳаракат қилмоғи лозим.)
036_00	Ёки Мусонинг саҳифаларидаги сўзлар хабари унга берилмадими?
037_00	Ва вафо қилган Иброҳимнинг?
038_00	«Ҳеч бир гуноҳкор жон бошқанинг гуноҳини кўтармас.
039_00	Ҳар бир инсонга ўз қилганидан бошқа нарса йўқ.
040_00	Ва, албатта, унинг қилмиши тезда кўринар.
041_00	Сўнгра жазо ёки мукофоти тўлиқ берилар», деб. (Ушбу зикр этилган маънолар Мусо а. с. нинг Тавротларида ва Иброҳим а. с. нинг саҳифаларида келгандир.)
042_00	Ва, албатта, интиҳо Роббинг ҳузуридадир.
043_00	Ва, албатта, кулдирган ҳам Ўзи, йиғлатган ҳам Ўзи.
044_00	Албатта, ўлдирган ҳам Ўзи, тирилтирган ҳам Ўзи.
045_00	Албатта, икки жуфтни; эркак ва аёлни яратган ҳам Ўзи.
046_00	Нутфадан, оқиб тушганда.
047_00	Ва, албатта, кейинги пайдо қилиш зиммасидаги зот ҳам Ўзи.
048_00	Ва, албатта, беҳожат қилган ҳам Ўзи, бадавлат қилган ҳам Ўзи.
049_00	Ва, албатта Шеъронинг Роббиси ҳам Унинг Ўзи.
050_00	Ва, албатта, биринчи Одни ҳалок қилган ҳам Ўзи.
051_00	Ва Самудни боқий қолдирмаган ҳам Ўзи.
052_00	Ва бундан олдин Нуҳ қавмини (ҳалок қилган ҳам Ўзи). Чунки улар ўта золим ва ўта туғёнга кетган эдилар.
053_00	Ва тўнтарилганни қулатган (ҳам Ўзи).
054_00	Бас, уларни ўраган нарса ўраб олди.
055_00	Шундай экан, Роббингнинг қайси неъматларига шак келтирасан?
056_00	Бу аввалги огоҳлантирувчилар каби бир огоҳлантирувчидир. (Огоҳ бўлинглар: аввалги огоҳлантирувчиларга душман бўлганларнинг куни сизларнинг бошингизга тушиб қолмасин!)
057_00	Яқинлашувчи яқинлашди.
058_00	Уни Аллоҳдан бошқа кашф қилувчи йўқ.
059_00	Бу сўздан сизлар ажабланасизларми?
060_00	Ва куласизлар-у, йиғламайсизларми?
061_00	Ва ҳолбуки, сизлар бепарвосизлар.
062_00	Бас, Аллоҳга сажда ва ибодат қилинглар.
