001_00	Воқеа воқеъ бўлганда.
002_00	Унинг воқеъ бўлишини ёлғон қилувчи (жон) йўқдир.
003_00	У ҳам пастлатувчи, ҳам кўтарувчидир.
004_00	Қачонки ер қаттиқ ларзага келганда.
005_00	Тоғлар майдаланиб, титилганда.
006_00	Бас, улар тарқалган чанг-тўзонга айланганда.
007_00	Ва сизлар уч тоифа бўлгангда.
008_00	Ўнг тараф эгалари. Ўнг тараф эгалари не(саодатлилар)дир?!
009_00	Ва чап тараф эгалари. Чап тараф эгалари не(бадбахтлар)дир?!
010_00	Ва пешқадамлар, пешқадамлар.
011_00	Ана ўшалар, (Аллоҳга) яқин бўлганлар.
012_00	Сернеъмат жаннатлардалар.
013_00	Аввалгилардан кўпгина жамоатлар.
014_00	Ва охиргилардан оздирлар.
015_00	Тўқима сўриларидалар.
016_00	Бир-бирларига рўбарў бўлиб, ёнбошлаган ҳолларидалар. (Яъни, пешқадамлар жаннат дуру-ёқутларни аралаш қилиб тўқилган сўриларда бир-бирларига қараб, ёнбошлаб-ястаниб роҳатланишар экан.)
017_00	Атрофларида мангу ёш йигитлар айланиб юрурлар.
018_00	Оқар чашма (майи тўлатилган) қадаҳлар, кўзалар ва косалар билан.
019_00	Ундан бош оғриғи ҳам, маст ҳам бўлмаслар.
020_00	Ва улар хоҳлаган мевалар билан.
021_00	Иштаҳалари тусаган қуш гўшти билан.
022_00	Яна кўзи гўзал ҳурлар бор.
023_00	Мисоли яширилган дур.
024_00	Булар, қилган амалларнинг мукофотидур.
025_00	Улар у ерда беҳуда, гуноҳ сўзларни эшитмаслар.
026_00	Фақат «Салом, Салом» дейилганини (эшитарлар). (Бир-бирларига салом берадилар, уларга фаришталар ҳам салом берадилар. Аллоҳнинг саломи ҳам етказиб турилади.)
027_00	Ўнг тараф эгалари. Ўнг тараф эгалари не(саодатлилар)дир!
028_00	Улар тиконсиз сидрзорлардадир. (Сидр-ҳушбўй ҳидли бута бўлиб, араблар уни ҳиди учун яхши кўрар эканлар. Аммо тикани жуда кўп бўларкан.)
029_00	Сермева бананзорлардадир.
030_00	Ва ёйилган соялардадир.
031_00	Оқар сувлардадир.
032_00	Сероб мевалардадир.
033_00	Тугамайдиган ва ман қилинмайдиганлардадир.
034_00	Баланд-баланд кўрпачалардадир.
035_00	Албатта, Биз у(ҳурлар)ни дафъатан, хос қилиб, яратдик.
036_00	Бас, уларни бокиралар қилдик.
037_00	Тенгдош маҳбубалар қилдик.
038_00	Ўнг тараф эгалари учун.
039_00	Улар аввалгилардан кўпгина жамоатлардир.
040_00	Кейингилардан ҳам кўпгина жамоатлардир.
041_00	Ва чап тараф эгалари. Чап тараф эгалари не(бадбахтлар)дир?!
042_00	Улар ўт шамол ва қайноқ сувдадирлар.
043_00	Қоп-қора тутундан бўлган соядадирлар.
044_00	Салқин ҳамэмас, фойдаии ҳам.
045_00	Албатта улар бундан олдин ҳой-ҳавасга берилганлардан эдилар.
046_00	Ва мудом катта гуноҳ ишлар қилар эдилар.
047_00	Ва «Биз ўлиб, тупроққа ва суякка айланганимиздан кейин қайта тирилтриламизми?
048_00	Аввалги оталаримиз ҳам-а?!» дер эдилар.
049_00	Айтгил: «Албатта, аввалгилар ва охиргилар.
050_00	Маълум кунга белгиланган вақтда албатта тўпланувчилар».
051_00	Сўнгра, сиз эй адашганлар, ёлғонга чиқарувчилар!
052_00	Албатта, заққум дарахтидан еювчисизлар.
053_00	Бас, ундан қоринларни тўлдирувчисизлар.
054_00	Бас, устидан ўта қайноқ сувдан ичувчисизлар.
055_00	Бас, чанқоқ туядек ичувчисизлар.
056_00	Уларнинг қиёмат кунидаги зиёфатлари мана шу!
057_00	Биз сизларни яратганимиз, ишонсаларинг-чи!
058_00	Ўзингиз чиқарадиган манийни ўйлаб кўринг-а!
059_00	Уни сизлар яратасизми ёки Биз яратувчимизми?!
060_00	Орангиздаги ўлимни Биз белгилаганмиз ва Биз ожиз эмасмиз.
061_00	Сизнинг ўрнингизга сизга ўхшашларни алмаштиришдан ва сизларни ўзингиз билмайдиган ҳолда яратишдан.
062_00	Ва дарҳақиқат, аввалги яратилишини билдингиз-ку, эсласаларингиз-чи!
063_00	Ўзингиз экаётган нарсани ўйлаб кўринг-а!
064_00	Уни сиз ундирасизми ёки Биз ундирувчимизми?
065_00	Агар хоҳласак, Биз уни қуруқ чўпга айлантириб қўямиз. Сизлар эса надоматда ажабланиб:
066_00	«Албатта, биз зиён кўрганлармиз.
067_00	Балки маҳрум бўлганлармиз», (дейсиз).
068_00	Ўзингиз ичадиган сувни ўйлаб кўринг-а!
069_00	Уни булутлардан сиз туширасизми ёки Биз тушурувчимизми?
070_00	Агар хоҳласак, Биз уни шўр қилиб қўямиз. Шукр қилсангиз-чи!
071_00	Ўзингиз ёқадиган оловни ўйлаб кўринг-а!
072_00	Унинг дарахтини сиз яратгансизми ёки Биз яратувчимизми?
073_00	Биз у(олов)ни эслатма ва йўловчилар учун манфаъат қилиб қўйдик.
074_00	Бас, улуғ Роббинг исмини поклаб ёд эт! (Мазкур неъматларнинг эгасини таниган инсон Улуғ Аллоҳ таолога тасбиҳ айтиб, ибодат қилишга ўтади.)
075_00	Юлдузларнинг манзиллари билан қасам ичаман. («Жойлари» деганимиз - унинг ўрнашган, чиқиш ва ботиш жойлари - буржларидир.)
076_00	Албатта, агар билсангиз бу улуғ қасамдир. (Бу ояти карима ўн тўрт асрдан кўпроқ муқаддам нозил бўлганлиги ҳаммага маълум. Ўша пайтда одамлар юлдузлар ҳақида содда тушунчага эга эдилар, уларнинг ҳажми, сони, ҳаракати ҳақида деярли ҳеч нарса билмас эдилар. Фалакиёт илми ривожланиб, улар воситасида очилган жуда кўплаб куллиётлар Қуръон оятларининг улуғлигини тасдиқлади.)
077_00	Албатта, у Қуръони каримдир.
078_00	У сақланган китобдадир.
079_00	Уни фақат покланганларгина ушлайдир.
080_00	У оламларнинг Роббисидан туширилгандир.
081_00	Бас, сизлар мана шу сўз(Қуръон)га бепарволик қиласизларми?!
082_00	Ва ёлғонга чиқаришни ризқ қилиб оласизларми?! (Яъни, иймон келтириш лозим бўлган нарсаларга ишонмасликни ўз насибангиз қилиб оласизларми?)
083_00	Жонингиз ҳалқумга келиб қолса-чи?!
084_00	Ҳолбуки, ўша вақтда ўзларингиз қараб турган бўласизлар.
085_00	Биз эса, сиздан кўра унга яқинмиз, аммо сизлар кўрмайсизлар. (Яъни, Аллоҳнинг Ўз бандасига қанчалар яқинлигини англамайсизлар. Ўлаётган одамга Аллоҳ таоло унинг устида турган қариндошидан кўра яқинроқ бўлади.)
086_00	Агар сиз ҳисоб бермас бўлсангиз.
