001_00	Вақтики, қуёшни буклаб, ўралса.
002_00	Ва, вақтики, юлдузлар сочилиб кетса.
003_00	Ва, вақтики, тоғлар сайр қилдирилса.
004_00	Ва, вақтики, ҳомиласига ўн ой тўлган туялар қаровсиз қолса.
005_00	Ва, вақтики, ваҳший ҳайвонлар бир жойга тўпланса.
006_00	Ва, вақтики, денгизлар аланга олиб ёнса.
007_00	Ва вақтики, нафслар жуфтлаштирилса. (Яъни, руҳ танага қайтарилиб, икковлари бирлашсалар.)
008_00	Ва вақтики, тириклай кўмилган қиздан сўралса.
009_00	У нима гуноҳ учун ўлдирилган?
010_00	Ва, вақтики, саҳифалар нашр қилинса.
011_00	Ва, вақтики, осмон қўпорилса.
012_00	Ва, вақтики, жаҳаннам қиздирилса.
013_00	Ва, вақтики, жаннат яқинлаштирилса.
014_00	Ҳар бир жон нима ҳозирланганини билади.
015_00	(Кундузи) махфий бўлувчи(юлдуз)лар билан қасам.
016_00	(Кечалари) юрувчи, беркинувчи(юлдуз)лар билан қасам.
017_00	Қоронғулиги билан кириб келган кеча билан қасам.
018_00	Нафас олиб, кириб келган тонг билан қасам.
019_00	Албатта у(Қуръон) карамли Расулнинг сўзидир.
020_00	У қувватлидир. Арш эгаси ҳузурида мартабаси олийдир.
021_00	Итоат қилинган, омонатли.
022_00	Сизнинг соҳибингиз мажнун эмас.
023_00	Батаҳқиқ ул ани очиқ-ойдин уфқда кўрди. (Муҳаммад с. а. в. Жиброилни очиқ-ойдин уфқда ўз кўзлари билан асл яратилишида кўрдилар.)
024_00	Ва у ғайбга бахил эмас.
025_00	Ва у(Қуръон) тошбўрон қилинган шайтоннинг сўзи эмас.
026_00	Бас, қаёққа кетмоқдасиз?!
027_00	У (Қуръон) оламларга эслатмадан бошқа нарса эмас.
028_00	Сизлардан мустақим бўлишни хоҳловчилар учун.
029_00	Оламларнинг Роббиси Аллоҳ хоҳламаса, сизлар хоҳлай олмассизлар. (Ҳар бир нарса Аллоҳнинг хоҳишига боғлиқ. Ҳар бир нарса Аллоҳ таолонинг хоҳиши ила бўлади.)
