سُورَةُ الجِنِّ
000_00	Au nom d'Allah, le Tout Miséricordieux, le Très Miséricordieux.
001_00	Dis: «Il m'a été révélé qu'un groupe de djinns prêtèrent l'oreille, puis dirent: «Nous avons certes entendu une Lecture [le Coran] merveilleuse,
002_00	qui guide vers la droiture. Nous y avons cru, et nous n'associerons jamais personne à notre Seigneur.
003_00	En vérité notre Seigneur - que Sa grandeur soit exaltée - ne S'est donné ni compagne, ni enfant!
004_00	Notre insensé [Iblis] disait des extravagances contre Allah.
005_00	Et nous pensions que ni les humains ni les djinns ne sauraient jamais proférer de mensonge contre Allah.
006_00	Or, il y avait parmi les humains, des mâles qui cherchaient protection auprès des mâles parmi les djinns mais cela ne fit qu'accroître leur détresse.
007_00	Et ils avaient pensé comme vous avez pensé qu'Allah ne ressusciterait jamais personne.
008_00	Nous avions frôlé le ciel et nous l'avions trouvé plein d'une forte garde et de bolides.
009_00	Nous y prenions place pour écouter. Mais quiconque prête l'oreille maintenant, trouve contre lui un bolide aux aguets.
010_00	Nous ne savons pas si on veut du mal aux habitants de la terre ou si leur Seigneur veut les mettre sur le droit chemin.
011_00	Il y a parmi nous des vertueux et [d'autres] qui le sont moins: nous étions divisés en différentes sectes.
012_00	Nous pensions bien que nous ne saurions jamais réduire Allah à l'impuissance sur la terre et que nous ne saurions jamais le réduire à l'impuissance en nous enfuyant.
013_00	Et lorsque nous avons entendu le guide [le Coran], nous y avons cru, et quiconque croit en son Seigneur ne craint alors ni diminution de récompense ni oppression.
014_00	Il y a parmi nous les Musulmans, et il y en a les injustes [qui ont dévié]. Et ceux qui se sont convertis à l'Islam sont ceux qui ont cherché la droiture.
015_00	Et quant aux injustes, ils formeront le combustible de l'Enfer.
016_00	Et s'ils se maintenaient dans la bonne direction, Nous les aurions abreuvés, certes d'une eau abondante,
017_00	afin de les y éprouver. Et quiconque se détourne du rappel de son Seigneur, Il l'achemine vers un châtiment sans cesse croissant.
018_00	Les mosquées sont consacrées à Allah: n'invoquez donc personne avec Allah.
019_00	Et quand le serviteur d'Allah s'est mis debout pour L'invoquer, ils faillirent se ruer en masse sur lui.
020_00	Dis: «Je n'invoque que mon Seigneur et ne Lui associe personne».
021_00	Dis: «Je ne possède aucun moyen pour vous faire du mal, ni pour vous mettre sur le chemin droit».
022_00	Dis: «Vraiment, personne ne saura me protéger contre Allah; et jamais je ne trouverai de refuge en dehors de Lui.
023_00	[Je ne puis que transmettre] une communication et des messages [émanant] d'Allah. Et quiconque désobéit à Allah et à Son Messager aura le feu de l'Enfer pour y demeurer éternellement.
024_00	Puis, quand ils verront ce dont on les menaçait, ils sauront lesquels ont les secours les plus faibles et [lesquels] sont les moins nombreux.
025_00	Dis: «Je ne sais pas si ce dont vous êtes menacés est proche, ou bien, si mon Seigneur va lui assigner un délai.
026_00	[C'est Lui] qui connaît le mystère. Il ne dévoile Son mystère à personne,
027_00	sauf à celui qu'Il agrée comme Messager et qu'Il fait précéder et suivre de gardiens vigilants,
028_00	afin qu'Il sache s'ils ont bien transmis les messages de leur Seigneur. Il cerne (de Son savoir) ce qui est avec eux, et dénombre exactement toute chose.
