La Prosternazione
001_00	Alif, Làm, Mìm.
002_00	La rivelazione del Libro senza alcun dubbio dal Signore dei mondi.
003_00	Diranno: «L'ha inventato?». È invece una verità che dal tuo Signore, affinché tu ammonisca un popolo a cui non giunse, prima di te, alcun ammonitore, affinché si lascino guidare.
004_00	Allah è Colui Che ha creato in sei giorni i cieli e la terra e tutto ciò che vi è frammezzo, quindi Si è innalzato sul Trono.
004_01	Al di fuori di Lui non avete alcun patrono o intercessore. Non ve ne ricorderete.
005_00	Dal cielo dirige le cose della terra e poi tutto risalirà a Lui, in un Giorno che sarà come mille anni del vostro contare.
006_00	Egli è Colui Che conosce il palese e l'invisibile; è l'Eccelso, il Misericordioso.
007_00	è Colui Che ha perfezionato ogni cosa creata e dall'argilla ha dato inizio alla creazione dell'uomo.
008_00	quindi ha tratto la sua discendenza da una goccia d'acqua insignificante .
009_00	quindi gli ha dato forma e ha insufflato in lui del Suo Spirito. Vi ha dato l'udito, gli occhi e i cuori. Quanto poco siete riconoscenti.
010_00	E dicono: «Quando saremo dispersi nella terra godremo di una nuova creazione?». È che non credono all'incontro con il loro Signore.
011_00	Di': «L'angelo della morte a voi assegnato vi farà morire e poi sarete ricondotti al vostro Signore».
012_00	Se allora potessi vedere i malvagi, capo chino davanti al loro Signore: «Nostro Signore, abbiamo visto e sentito, lasciaci tornare , sì che possiamo fare il bene; crediamo con certezza».
013_00	«Se avessimo voluto, avremmo dato ad ogni anima la sua direzione; si è invece compiuta la mia sentenza: "riempirò l'Inferno di uomini e di dèmoni insieme".
014_00	Gustate allora per aver dimenticato l'incontro di questo Giorno. In verità Noi vi dimentichiamo. Gustate il castigo perpetuo per quello che avete fatto!»
015_00	In verità credono nei Nostri segni solo coloro che, quando vengono loro rammentati, si gettano in prosternazione, lodano il loro Signore rendendoGli gloria e non son tronfi di orgoglio.
016_00	Strappano i loro corpi dai letti per invocare il loro Signore, per timore e speranza , e sono generosi di quello che abbiamo loro concesso.
017_00	Nessuno conosce la gioia immensa che li attende, ricompensa per quello che avranno fatto.
018_00	Forse il credente è come l'empio? Non sono affatto uguali.
019_00	Coloro che credono e compiono il bene saranno ospitati nei giardini del Rifugio , premio per quello che avranno fatto.
020_00	mentre coloro che saranno stati empi avranno per rifugio il fuoco.
020_01	Ogni volta che vorranno uscirne vi saranno ricondotti e sarà detto loro: «Provate il castigo del fuoco che tacciavate di menzogna!».
021_00	Daremo loro un castigo immediato prima del castigo più grande, affinché ritornino.
022_00	Chi è peggior ingiusto di colui che si distoglie dai segni di Allah dopo che gli sono stati ricordati? In verità ci vendicheremo dei trasgressori.
023_00	Già demmo il Libro a Mosè: «Non dubitare circa il Suo incontro». Ne facemmo una guida per i Figli di Israele.
024_00	E furono perseveranti e credettero con fermezza nei Nostri segni, scegliemmo tra loro dei capi che li dirigessero secondo il Nostro comando.
025_00	In verità il tuo Signore nel Giorno della Resurrezione giudicherà tra loro, a proposito delle loro divergenze.
026_00	Non gli è servito da lezione che prima di loro abbiamo fatto perire tante generazioni, nelle cui case si aggirano? In verità in ciò vi sono segni. Non ascolteranno dunque.
027_00	Non hanno visto come spingiamo l'acqua verso una terra arida, suscitando poi una vegetazione che nutre il loro bestiame e loro stessi? Non lo vedono.
028_00	E dicono: «Quando verrà questa vittoria , se siete veridici?».
029_00	Di': «Nel Giorno della Vittoria sarà vano il credere dei miscredenti! Non avranno alcun rinvio».
030_00	Allontanati dunque da loro, e aspetta. Anche loro aspetteranno
