L'Esodo
001_00	Glorifica Allah ciò che è nei cieli e ciò che è sulla terra. Egli è Eccelso, Saggio.
002_00	Egli è Colui Che ha fatto uscire dalle loro dimore, in occasione del primo esodo , quelli fra la gente della Scrittura che erano miscredenti.
002_01	Voi non pensavate che sarebbero usciti, e loro credevano che le loro fortezze li avrebbero difesi contro Allah.
002_02	Ma Allah li raggiunse da dove non se Lo aspettavano e gettò il terrore nei loro cuori: demolirono le loro case con le loro mani e con il concorso delle mani dei credenti. Traetene dunque una lezione, o voi che avete occhi per vedere.
003_00	E se Allah non avesse decretato il loro bando, li avrebbe certamen­te castigati in questa vita: nell'altra vita avranno il castigo del Fuoco.
004_00	poiché si opposero ad Allah e al Suo Inviato. E quanto a chi si oppone ad Allah…, invero Allah è severo nel ca­stigo.
005_00	Tutte le palme che abbatteste e quelle che lasciaste ritte sulle loro radici, fu con il permesso di Allah , affinché Egli copra gli empi di ignominia.
006_00	Il bottino che Allah concesse al Suo Inviato; non faceste correre né cavalli, né cammelli.
006_01	Allah fa trionfare i Suoi Inviati su chi vuole, e Allah è onnipotente.
007_00	Il bottino che Allah concesse al Suo Inviato, sugli abitanti delle città, appartiene ad Allah e al Suo Inviato, ai familiari, agli or­fani, ai poveri e al viandante diseredato, cosicché non sia diviso tra i ricchi fra di voi.
007_01	Prendete quello che il Messaggero vi dà e astenetevi da quel che vi nega e temete Allah.
007_02	In verità Allah è severo nel castigo.
008_00	inoltre agli emigrati bisognosi che sono stati scacciati dalle loro case e dai loro beni poiché bramavano
008_01	la grazia e il compiaci­mento di Allah, ausiliari di Allah e del Suo Inviato: essi sono i sinceri.
009_00	e a quanti prima di loro abitavano il paese e nella fede, che amano quelli che emigrarono presso di loro e non provano in cuore invidia alcuna per ciò che hanno ricevuto e che preferiscono a loro stessi nonostante siano nel bisogno.
009_01	Coloro che si preservano dalla loro stessa avidità, questi avranno suc­cesso.
010_00	Coloro che verranno dopo di loro diranno: «Signore, perdona noi e i nostri fratelli che ci hanno preceduto nella fede, e non porre nei nostri cuori alcun rancore verso i credenti.
010_01	Signor nostro, Tu sei dolce e misericordioso».
011_00	Non hai visto gli ipocriti, mentre dicevano ai loro alleati mi­scredenti fra la gente della Scrittura: «Se sarete scacciati, verremo con voi e rifiuteremo di obbedire a chiunque contro di voi. Se sarete attaccati vi porteremo soccorso»
011_01	? Allah è testimone che in verità sono bugiardi.
012_00	Se verranno scacciati, essi non partiranno con loro, mentre se saranno attaccati non li soccorreranno, e quand'anche portassero loro soccorso, certamente volgerebbero le spalle e quindi non li aiutereb­bero affatto.
013_00	Voi mettete nei loro cuori più terrore che Allah Stesso, poiché invero è gente che non capisce.
014_00	Vi combatteranno uniti solo dalle loro fortezze o dietro le mura.
014_01	Grande è l'acrimonia che regna tra loro. Li ritieni uniti, invece i loro cuori sono discordi: è gente che non ragiona.
015_00	Sono simili a coloro che di poco li precedettero : subirono le conseguenze del loro comportamento: riceveranno doloroso castigo.
016_00	come quando Satana disse all'uomo: «Non credere»; ma quando questo fu miscredente gli disse: «Ti sconfesso, io temo Allah, il Signore dei mondi».
017_00	La fine di entrambi sarà nel Fuoco, in cui rimarranno in perpe­tuo. Ecco il compenso degli ingiusti.
018_00	O voi che credete, temete Allah e che ognuno rifletta su ciò che avrà preparato per l'indomani. Temete Allah: in verità Allah è ben informato di quello che fate.
019_00	Non siate come coloro che dimenticano Allah e cui Allah fece dimenticare se stessi. Questi sono i malvagi.
020_00	Non saranno uguali i compagni del Fuoco e i compagni del Giardino: i compagni del Giardino avranno la beatitudine.
021_00	Se avessimo fatto scendere questo Corano su una montagna, l'avresti vista umiliarsi e spaccarsi per il timor di Allah.
021_01	Ecco gli esempi che proponiamo agli uomini affinché riflettano.
022_00	Egli è Allah, Colui all'infuori del Quale non c'è altro dio, il Conoscitore dell'invisibile e del palese. Egli è il Compassionevole, il Misericordioso.
023_00	Egli è Allah, Colui all'infuori del Quale non c'è altro dio, il Re, il Santo, la Pace, il Fedele, il Custode, l'Eccelso, Colui che co­stringe al Suo volere, Colui che è cosciente della Sua grandezza.
023_01	Glo­ria ad Allah, ben al di là di quanto Gli associano.
024_00	Egli è Allah, il Creatore, Colui che dà inizio a tutte le cose, Colui che dà forma a tutte le cose. A Lui i nomi più belli. Tutto ciò che è nei cieli e sulla terra rende gloria a Lui. Egli è l'Eccelso, il Saggio.
