001_00	Alif, Lâm, Rà. Questi sono i versetti del Libro esplicito.
002_00	In verità lo abbiamo fatto scendere come Corano arabo , affinché possiate comprendere.
003_00	Grazie a ciò che ti ispiriamo in questo Corano Noi ti raccontiamo la più bella storia , anche se precedentemente non ne eri a conoscenza.
004_00	Quando Giuseppe disse a suo padre: «O padre mio, ho visto undici stelle il sole e la luna. Li ho visti prosternarsi davanti a me».
005_00	disse: «O figlio mio, non raccontare questo sogno ai tuoi fratelli, ché certamente tramerebbero contro di te! In verità Satana è per l'uomo un nemico evidente.
006_00	Ti sceglierà così il tuo Signore e ti insegnerà l'interpretazione dei sogni e completerà la Sua grazia su di te e sulla famiglia di Giacobbe, come già prima di te la completò sui tuoi due avi Abramo e Isacco.
006_01	In verità il tuo Signore è sapiente e saggio».
007_00	Certamente in Giuseppe e nei suoi fratelli ci sono segni per coloro che interrogano.
008_00	Quando dissero: «Giuseppe e suo fratello sono più cari a nostro padre, anche se noi siamo un gruppo capace. Invero nostro padre è in palese errore.
009_00	Uccidete Giuseppe, oppure abbandonatelo in qualche landa, sì che il volto di vostro padre non si rivolga ad altri che a voi, dopodiché sarete ben considerati».
010_00	Uno di loro prese la parola e disse: «Non uccidete Giuseppe. Se proprio avete deciso, gettatelo piuttosto in fondo alla cisterna, ché possa ritrovarlo qualche carovana».
011_00	Dissero: «O padre nostro, perché non ti fidi di noi a proposito di Giuseppe? Eppure siamo sinceri nei suoi confronti.
012_00	Lascia che venga con noi domani a divertirsi e a giocare; veglieremo su di lui».
013_00	Disse: «Mi rattrista che lo conduciate; temo che il lupo lo divori mentre non badate a lui».
014_00	Dissero: «Se lo mangiasse il lupo mentre siamo tanto numerosi, veramente saremmo disgraziati!».
015_00	Quando poi lo ebbero condotto con loro e furono d'accordo nel gettarlo in fondo alla cisterna, Noi gli ispirammo: «Ricorderai loro quello che hanno commesso quando meno se lo aspetteranno».
016_00	Quella sera tornarono al padre loro piangendo.
017_00	Dissero: «Abbiamo fatto una gara di corsa, abbiamo lasciato Giuseppe a guardia della nostra roba e il lupo lo ha divorato. Tu non ci crederai, eppure siamo veritieri».
018_00	Gli presentarono la sua camicia, macchiata di un sangue che non era il suo. Disse: «I vostri animi vi hanno suggerito un misfatto. Bella pazienza … mi rivolgo ad Allah contro quello che raccontate».
019_00	Giunse una carovana e mandarono uno di loro ad attingere acqua. Questi fece scendere il secchio e poi disse: «Buona nuova, c'è un ragazzo!». Lo nascosero come fosse merce. Allah era ben a conoscenza di quel che facevano.
020_00	Lo vendettero a basso prezzo, qualche pezzo d'argento, e furono in ciò deprezzatori.
021_00	Colui che in Egitto lo acquistò disse a sua moglie: «Trattalo bene, ché forse ci sarà utile o potremo adottarlo come figlio».
021_01	Stabilimmo così Giuseppe in quella terra, affinché imparasse da Noi l'interpretazione dei sogni. Allah ha il predominio nei Suoi disegni, ma la maggior parte degli uomini non lo sa.
022_00	Quando raggiunse la sua età adulta, gli concedemmo saggezza e scienza. Così compensiamo coloro che compiono il bene.
023_00	Avvenne che colei nella cui casa egli si trovava s'innamorò di lui. Chiuse le porte e gli disse: «Accostati a me!».
023_01	Disse: «Che Allah non voglia! Il mio padrone mi ha dato buona accoglienza: gli ingiusti non prospereranno».
024_00	Certamente ella lo desiderava ed egli l'avrebbe respinta con violenza se non avesse visto un segno del suo Signore ; così allontanammo da lui il male e l'ignominia, perché era uno dei Nostri sinceri servitori.
025_00	Entrambi corsero verso la porta, gli strappò la camicia da dietro. Alla porta incontrarono il marito di lei.
025_01	Disse: «Cosa merita colui che ha voluto male a tua moglie? Nient'altro che la prigione o un doloroso castigo!».
026_00	Disse: «È lei che voleva sedurmi». Un testimone della famiglia di lei intervenne: «Se la camicia è strappata davanti, è lei che dice la verità e lui è un mentitore.
027_00	se invece la camicia è strappata sul dietro, ella mente ed egli dice la verità».
028_00	Vista la camicia che era strappata sul dietro, disse: «È certamente un'astuzia di femmine! La vostra astuzia è davvero grande.
029_00	Vai pure, Giuseppe. E, implora perdono per la tua colpa, ché in verità sei colpevole!».
030_00	Le donne in città malignavano: «La moglie del principe ha cercato di sedurre il suo garzone! Egli l'ha resa folle d'amore. Ci sembra che si sia del tutto smarrita».
031_00	Avendo sentito i loro discorsi, inviò loro qualcuno e preparò i cuscini ; diede a ciascuna un coltello, quindi disse: «Entra al loro cospetto».
031_01	Quando lo videro, lo trovarono talmente bello , che si tagliuzzarono le mani dicendo: «Che Allah ci protegga! Questo non è un essere umano, ma un angelo nobilissimo!».
032_00	Disse: «Questi è colui per il quale mi avete biasimato.
032_01	Ho cercato di sedurlo, ma lui vuole mantenersi casto. Ebbene, se rifiuta di fare ciò che gli comando, sarà gettato in prigione e sarà tra i miserabili».
033_00	Disse: «O mio Signore, preferisco la prigione a ciò cui mi invitano; ma se Tu non allontani da me le loro arti, cederò loro e sarò uno di quelli che disconoscono».
034_00	Lo esaudì il suo Signore e allontanò da lui le loro arti. In verità Egli è Colui Che tutto ascolta e conosce.
035_00	E così, nonostante avessero avuto le prove , credettero imprigionarlo per un certo periodo.
036_00	Insieme con lui entrarono in prigione due giovani. Uno di loro disse: «Mi sono visto mentre schiacciavo dell'uva…».
036_01	Disse l'altro: «Mi sono visto mentre portavo sulla testa del pane e gli uccelli ne mangiavano. Dacci l'interpretazione di tutto ciò. Invero vediamo che sei uno di coloro che compiono il bene».
037_00	«Non vi sarà distribuito cibo prima che vi abbia reso edotti sulla loro interpretazione.
037_01	Ciò è parte di quel che il mio Signore mi ha insegnato. In verità ho abbandonato la religione di un popolo che non crede in Allah e disconosce l'altra vita
038_00	e seguo la religione dei miei avi, Abramo, Isacco e Giacobbe.
