001_00	Kâf, Hâ', Yâ', 'Aîn, Şâd.
002_00	racconto della Misericordia del tuo Signore verso il Suo servo Zaccaria .
003_00	quando invocò il suo Signore con un'invocazione segreta.
004_00	dicendo: «O Signor mio, già sono stanche le mie ossa e sul mio capo brilla la canizie e non sono mai stato deluso invocandoTi, o mio Signore.
005_00	Mia moglie è sterile e temo dei miei parenti dopo di me: concedimi, da parte Tua, un erede
006_00	che erediti da me ed erediti dalla famiglia di Giacobbe. Fa', mio Signore, che sia a Te gradito!».
007_00	«O Zaccaria, ti diamo la lieta novella di un figlio. Il suo nome sarà Giovanni. A nessuno, in passato, imponemmo lo stesso nome.»
008_00	Disse: «Come potrò mai avere un figlio? Mia moglie è sterile e la vecchiaia mi ha rinsecchito».
009_00	Rispose: «È così! Il tuo Signore ha detto: "Ciò è facile per me: già una volta ti ho creato quando non esistevi"».
010_00	Disse: «Dammi un segno, mio Signore!». Rispose: «Il tuo segno sarà che, pur essendo sano, non potrai parlare alla gente per tre notti ».
011_00	Uscì dall'oratorio verso la sua gente e indicò loro di rendere gloria al mattino e alla sera.
012_00	«O Giovanni, tienti saldamente alla Scrittura.» E gli demmo la saggezza fin da fanciullo.
013_00	tenerezza da parte Nostra e purezza. Era uno dei timorati.
014_00	amorevole con i suoi genitori, né violento né disobbediente.
015_00	Pace su di lui nel giorno in cui nacque, in quello della sua morte e nel Giorno in cui sarà risuscitato a vita.
016_00	Ricorda Maria nel Libro, quando si allontanò dalla sua famiglia, in un luogo ad oriente.
017_00	Tese una cortina tra sé e gli altri. Le inviammo il Nostro Spirito , che assunse le sembianze di un uomo perfetto.
018_00	Disse: «Mi rifugio contro di te presso il Compassionevole, se sei timorato!».
019_00	Rispose: «Non sono altro che un messaggero del tuo Signore, per darti un figlio puro».
020_00	Disse: «Come potrei avere un figlio, ché mai un uomo mi ha toccata e non sono certo una libertina?».
021_00	Rispose: «È così. Il tuo Signore ha detto: "Ciò è facile per Me… Faremo di lui un segno per le genti e una misericordia da parte Nostra. È cosa stabilita"».
022_00	Lo concepì e, in quello stato, si ritirò in un luogo lontano.
023_00	I dolori del parto la condussero presso il tronco di una palma. Diceva: «Me disgraziata! Fossi morta prima di ciò e fossi già del tutto dimenticata!».
024_00	Fu chiamata da sotto : «Non ti affliggere, ché certo il tuo Signore ha posto un ruscello ai tuoi piedi.
025_00	scuoti il tronco della palma : lascerà cadere su di te datteri freschi e maturi.
026_00	Mangia, bevi e rinfrancati. Se poi incontrerai qualcuno, di': "Ho fatto un voto al Compassionevole e oggi non parlerò a nessuno"».
027_00	Tornò dai suoi portando. Dissero: «O Maria, hai commesso un abominio.
028_00	O sorella di Aronne , tuo padre non era un empio né tua madre una libertina».
029_00	Maria indicò loro. Dissero: «Come potremmo parlare con un infante nella culla?».
030_00	disse: «In verità sono un servo di Allah. Mi ha dato la Scrittura e ha fatto di me un profeta.
031_00	Mi ha benedetto ovunque sia e mi ha imposto l'orazione e la decima finché avrò vita.
032_00	e la bontà verso colei che mi ha generato. Non mi ha fatto né violento né miserabile.
033_00	Pace su di me il giorno in cui sono nato, il giorno in cui morrò e il Giorno in cui sarò resuscitato a nuova vita».
034_00	Questo è Gesù, figlio di Maria, parola di verità della quale essi dubitano.
