001_00	Si avvicina per gli uomini la resa dei loro conti, mentre essi incuranti trascurano.
002_00	Non giunse loro alcun Monito da parte del loro Signore che non ascoltassero irriverenti.
003_00	con i cuori distratti, mentre gli ingiusti tengono tra loro segreti conciliaboli: «Chi è costui se non un uomo come voi? Volete lasciarvi andare alla magia, voi che lucidamente vedete?».
004_00	Disse: «Il mio Signore conosce parola nel cielo e sulla terra, Egli tutto ascolta e conosce».
005_00	Dissero: «Sono invece incubi confusi! O è lui che li ha inventati. Non è che un poeta! Ci mostri piuttosto un segno, come quelli che furono inviati agli antichi».
006_00	Tutte le comunità che facemmo perire prima di loro non credettero. Crederanno questi .
007_00	Prima di te non inviammo che uomini, ai quali comunicammo la Rivelazione. Chiedete alla gente della Scrittura , se non lo sapete.
008_00	Non ne facemmo corpi che facessero a meno del cibo, e neppure erano eterni.
009_00	Realizzammo su di loro la promessa: salvammo loro e quelli che volemmo e facemmo perire i prevaricatori.
010_00	In verità abbiamo fatto scendere su di voi un Libro contenente il Monito per voi. Non comprenderete.
011_00	Quante ingiuste città distruggemmo per suscitare poi un altro popolo.
012_00	Quando avvertirono la Nostra severità fuggirono precipitosamente.
013_00	«Non fuggite, ritornate nel lusso e nelle vostre case! Forse ve ne sarà chiesto conto.»
014_00	Dissero: «Guai a noi! Invero siamo stati ingiusti!».
015_00	Non smisero di gridarlo, finché ne facemmo messi falciate, senza vita.
016_00	Non è per gioco che creammo il cielo e la terra e quel che vi è frammezzo.
017_00	Se avessimo voluto divertirci, lo avremmo fatto presso Noi stessi, se mai avessimo voluto farlo.
018_00	E invece no, scagliamo la verità sulla menzogna, che le schiacci la testa, ed ecco che essa scompare. Siate maledetti per quello che affermate.
019_00	Solo a Lui appartengono tutti quelli che sono nei cieli e sulla terra! Coloro che sono presso di Lui non disdegnano di adorarLo e non se ne stancano.
020_00	Lo glorificano notte e giorno, ininterrottamente.
021_00	han tratto dalla terra divinità che risuscitano .
022_00	Se nei cieli e sulla terra ci fossero altre divinità oltre ad Allah, già gli uni e l'altra sarebbero corrotti. Gloria ad Allah, Signore del Trono, ben al di sopra di quello che Gli attribuiscono.
023_00	Non sarà Lui ad essere interrogato, sono loro che lo saranno.
024_00	Si son presi dèi all'infuori di Lui?
024_01	Di': «Mostrate la vostra prova!». Questo è un Monito per coloro che sono con me e per coloro che furono prima di me ; ma la maggior parte di essi non conoscono la verità e se ne discostano.
025_00	Non inviammo prima di te nessun messaggero senza rivelargli: «Non c'è altro dio che Me. AdorateMi!».
026_00	Dicono: «Il Compassionevole Si è preso un figlio». Gloria a Lui, quelli non sono che servi onorati.
027_00	che mai precedono il Suo dire e che agiscono secondo il Suo ordine.
028_00	Egli conosce quel che li precede e quel che li segue ed essi non intercedono se non in favore di coloro di cui Si compiace, e sono compenetrati di timor di Lui.
029_00	Chi di loro dicesse: «Davvero io sono un dio all'infuori di Lui», lo compenseremo con l'Inferno. È così che compensiamo gli ingiusti.
030_00	Non sanno dunque i miscredenti che i cieli e la terra formavano una massa compatta? Poi li separammo e traemmo dall'acqua ogni essere vivente. Ancora non credono.
031_00	Abbiamo infisso sulla terra le montagne, affinché non oscilli coinvolgendoli e vi ponemmo larghi passi. Si sapranno dirigere.
032_00	E del cielo abbiamo fatto una volta sicura. Eppure essi si distolgono dai segni.
033_00	Egli è Colui Che ha creato la notte e il giorno, il sole e la luna: ciascuno naviga nella sua orbita.
034_00	Non concedemmo l'immortalità a nessuno uomo che ti ha preceduto. Dovresti forse morire, se essi fossero immortali.
035_00	Ogni anima gusterà la morte. Vi sottoporremo alla tentazione con il male e con il bene e poi a Noi sarete ricondotti.
036_00	Quando i miscredenti ti vedono, non fanno che burlarsi di te: «Cosa? È costui che dice male dei vostri dèi?» e negano il Monito del Compassionevole.
037_00	L'uomo è stato creato di impazienza. Vi mostrerò i Miei segni. Non chiedeteMi di affrettarli.
038_00	Dicono: «Quando questa promessa? se siete veritieri».
039_00	Ah! se i miscredenti conoscessero il momento in cui non potranno allontanare il fuoco dai loro volti e dalle loro schiene e non potranno essere soccorsi .
040_00	E invece giungerà loro all'improvviso, e ne saranno sbalorditi. Non potranno allontanarlo e non sarà dato loro un rinvio.
041_00	Già furono derisi i messaggeri che ti precedettero. Ciò di cui si burlavano avvolgerà coloro che deridevano.
042_00	Di': «Chi potrebbe mai proteggervi, notte e giorno, dal Compassionevole?». E invece sono indifferenti al Monito del loro Signore.
043_00	Dispongono forse, all'infuori di Noi, di dèi che sappiano proteggerli? Questi non possono neppure difendere loro stessi né trovare altri che li difendano contro di Noi.
044_00	In effetti concedemmo a loro e ai loro avi un godimento effimero finché non furono longevi.
044_01	Non vedono che investiamo la terra, riducendola da ogni lato ? Sono forse loro i vincitori.
045_00	Di': «Non faccio altro che avvertirvi con la Rivelazione». Ma i sordi non odono il richiamo quando li si avverte.
046_00	Se solo li sfiorasse un alito del castigo del tuo Signore, certamente direbbero: «Guai a noi, invero, siamo stati ingiusti!».
047_00	Rizzeremo bilance esatte, nel Giorno della Resurrezione e nessuna anima subirà alcun torto; foss'anche del peso di un granello di senape, lo riesumeremo. Basteremo Noi a tirare le somme.
048_00	In verità demmo a Mosè e ad Aronne il Discrimine , una Luce e un Monito per i pii.
049_00	che temono il loro Signore in quello che è invisibile e che trepidano per l'Ora.
050_00	Questo è un Monito benedetto che abbiamo fatto scendere. Lo rinnegherete.
051_00	Siamo Noi che conducemmo Abramo sulla retta via, Noi che lo conoscevamo.
052_00	Quando disse a suo padre e alla sua gente: «Cosa sono queste statue in cui credete?».
053_00	Risposero: «Trovammo i nostri avi che le adoravano».
054_00	Disse: «Certo siete stati nell'errore più palese, voi e i vostri avi».
055_00	Dissero: «Sei venuto con la Verità o stai scherzando?».
056_00	Disse: «Certo che no! Il vostro Signore è il Signore dei cieli e della terra, è Lui che li ha creati e io sono tra coloro che lo attestano.
057_00	E per Allah che tramerò contro i vostri idoli non appena volterete le spalle!».
058_00	E infatti li ridusse in briciole, eccetto il più grande, affinché si rivolgessero ad esso.
059_00	Dissero: «Chi ha fatto questo ai nostri dèi è certo un iniquo!».
060_00	Disse: «Abbiamo sentito un giovane che li disprezzava: si chiama Abramo».
061_00	Dissero: «Conducetelo al loro cospetto affinché possano testimoniare».
062_00	Dissero: «O Abramo, sei stato tu a far questo ai nostri dèi?».
063_00	Disse: «È il più grande di loro che lo ha fatto. Interrogateli, se possono parlare!».
064_00	Si avvidero del loro imbarazzo e dissero tra loro: «Davvero siete stati ingiusti».
065_00	Fecero un voltafaccia: «Ben sai che essi non parlano!».
066_00	Disse: «Adorate all'infuori di Allah qualcuno che non vi giova e non vi nuoce.
067_00	Vergognatevi di voi stessi e di ciò che adorate all'infuori di Allah! Non ragionate dunque?».
