001_00	Invero prospereranno i credenti.
002_00	quelli che sono umili nell'orazione .
003_00	che evitano il vaniloquio.
004_00	che versano la decima
005_00	e che si mantengono casti.
006_00	eccetto che con le loro spose e con schiave che possiedono – e in questo non sono biasimevoli.
007_00	mentre coloro che desiderano altro sono i trasgressori –
008_00	che rispettano ciò che è loro stato affidato e i loro impegni.
009_00	che sono costanti nell'orazione.
010_00	essi sono gli eredi.
011_00	che erediteranno il Giardino, dove rimarranno in perpetuo.
012_00	In verità creammo l'uomo da un estratto di argilla.
013_00	Poi ne facemmo una goccia di sperma in un sicuro ricettacolo.
014_00	poi di questa goccia facemmo un'aderenza e dell'aderenza un embrione; dall'embrione creammo le ossa e rivestimmo le ossa di carne.
014_01	E quindi ne facemmo un'altra creatura. Sia benedetto Allah, il Migliore dei creatori.
015_00	E dopo di ciò certamente morirete.
016_00	e nel Giorno del Giudizio sarete risuscitati.
017_00	In verità creammo sopra di voi sette cieli e non siamo incuranti della creazione.
018_00	E facemmo scendere l'acqua dal cielo in quantità misurata e la mantenemmo sulla terra, anche se abbiamo la capacità di farla sparire.
019_00	E per suo tramite produciamo per voi palmeti e vigneti in cui i molti frutti che mangiate.
020_00	come quest'albero che sorge dal monte Sinai che vi offre olio e condimento per i vostri cibi.
021_00	Invero, anche nel bestiame vi è argomento: vi diamo da bere di ciò che è nel loro ventre e ne traete molti vantaggi; e di loro vi cibate.
022_00	viaggiate su di essi e sui vascelli.
023_00	Già inviammo Noè al suo popolo. Disse loro: «O popol mio, adorate Allah. Per voi non c'è altro dio che Lui. Non Lo temete?».
024_00	Allora i notabili della sua gente, che erano miscredenti, dissero: «Costui non è che un uomo come voi! Vuole elevarsi sopra di voi.
024_01	Se Allah avesse voluto avrebbe fatto scendere degli angeli. Ma di questo non abbiamo mai avuto notizia, dai nostri antenati più lontani.
025_00	Certo costui non è che un uomo posseduto. Osservatelo per un po' di tempo…».
026_00	Disse: «Signore, aiutami, mi trattano da impostore».
027_00	Perciò gli ispirammo: «Costruisci un'Arca sotto i Nostri occhi secondo quello che ti abbiamo ispirato.
027_01	Poi, quando giungerà il Decreto Nostro e ribollirà la Fornace , allora imbarca una coppia per ogni specie e la tua famiglia, eccetto colui contro il quale è già stata emessa la sentenza. E non Mi rivolgere suppliche in favore degli ingiusti: saranno annegati.
028_00	Quando poi vi sarete sistemati nell'Arca, tu e coloro che saranno con te, di': «Sia lodato Allah che ci ha salvato dagli ingiusti!».
029_00	e di': «Signore, dammi approdo in un luogo benedetto, Tu sei il migliore di coloro che danno approdo!».
030_00	Questi certamente furono segni. In verità Noi siamo Colui Che mette alla prova.
031_00	E dopo di loro suscitammo un'altra generazione.
032_00	alla quale inviammo un messaggero dei loro, affinché dicesse: «Adorate Allah, per voi non c'è altro dio all'infuori di Lui. Non Lo temerete dunque?».
033_00	I notabili della sua gente, che erano miscredenti e che negavano l'altra vita, quelli stessi ai quali concedemmo gli agi in questa vita,
033_01	dissero: «Costui non è che un uomo come voi, mangia ciò che voi mangiate, e beve ciò che voi bevete.
034_00	Se obbedirete ad un vostro simile, sarete certo tra i perdenti.
035_00	Davvero vi promette che quando sarete morti, polvere e ossa, sarete risuscitati.
036_00	Lontano, lontano è ciò che vi viene promesso.
037_00	Non esiste altro che questa nostra vita: viviamo e moriamo e non saremo risuscitati.
038_00	Non è altro che un uomo che ha inventato menzogne contro Allah e noi non gli presteremo alcuna fede!».
039_00	Disse: «Signore, aiutami, mi trattano da impostore».
040_00	Rispose: «Ben presto se ne pentiranno, è certo!».
041_00	Li colpì il Grido in tutta giustizia e li rendemmo come detriti portati dalla corrente. Periscano per sempre gli ingiusti.
042_00	Dopo di loro suscitammo altre generazioni.
043_00	Nessuna comunità anticiperà o ritarderà il termine suo.
044_00	Inviammo i nostri messaggeri, in successione. Ogni volta che un messaggero giunse a una comunità, lo trattarono da impostore.
044_01	Facemmo sì che succedessero le une alle altre e ne facemmo leggende. Periscano per sempre le genti che non credono.
045_00	Quindi inviammo Mosè e suo fratello Aronne, coi segni Nostri ed autorità evidente.
046_00	a Faraone e ai suoi notabili che si mostrarono orgogliosi: era gente superba.
047_00	Dissero: «Dovremmo credere in due uomini come noi, il cui popolo è nostro schiavo?».
048_00	Li tacciarono di menzogna e furono tra coloro che vennero annientati.
049_00	Già demmo il Libro a Mosè, affinché seguissero la retta via.
050_00	E facemmo un segno del figlio di Maria e di sua madre. Demmo loro rifugio su un colle tranquillo e irrigato.
051_00	O Messaggeri, mangiate quello che è puro e operate il bene. Sì, io conosco bene il vostro agire.
052_00	In verità questa vostra Comunità è una Comunità unica e Io sono il vostro Signore. TemeteMi dunque.
053_00	Ma essi si divisero in sette e ogni fazione si gloria di ciò che possiede.
054_00	Lasciali immersi per un certo periodo.
055_00	Credono forse che tutto ciò che concediamo loro, beni e prole.
056_00	sulle buone cose? Certo che no! Sono del tutto incoscienti.
057_00	In verità coloro che fremono per il timore del loro Signore.
058_00	che credono nei segni del loro Signore.
059_00	che nulla associano al loro Signore.
060_00	che danno quello che danno con cuore colmo di timore, pensando al ritorno al loro Signore .
061_00	essi sono coloro che si affrettano al bene e sono i primi ad assolverlo.
062_00	Non carichiamo nessuna anima oltre ciò che può portare. Presso di Noi c'è un Libro che dice la verità, ed essi non subiranno alcun torto.
063_00	Ma a proposito i loro cuori sono distratti. Ci sono azioni verso le quali gli iniqui andranno inevitabilmente.
064_00	Quando poi colpiamo col Nostro castigo i più agiati tra di loro, lanciano grida d'angoscia.
065_00	«Non gridate oggi! Nessuno vi proteggerà da Noi.
066_00	Quando vi erano recitati i Miei segni, volgevate le spalle.
067_00	gonfi d'orgoglio li denigravate nelle vostre veglie».
068_00	Non ne hanno dunque meditato le parole? Forse è giunto loro qualche cosa che mai era pervenuta ai loro antenati .
069_00	Già conoscevano il Messaggero, perché poi lo hanno rinnegato .
070_00	Oppure dicono: «È un posseduto dai dèmoni». E invece la verità, quello che lui ha recato, ma la maggior parte di loro disdegna la verità.
071_00	Se la verità fosse consona alle loro passioni, certamente si sarebbero corrotti i cieli e la terra e quelli che vi si trovano! No, abbiamo dato loro il Monito , ma essi se ne allontanano.
072_00	Oppure stai chiedendo loro un compenso? Il compenso del tuo Signore è migliore, ed Egli è il Migliore dei sostentatori.
073_00	Certo tu li inviti alla retta via.
