001_00	Alif, Làm, Mìm.
002_00	Questi sono i versetti del Libro saggio
003_00	guida e misericordia per coloro che compiono il bene
004_00	che assolvono all'orazione e pagano la decima e fermamente credono nell'altra vita.
005_00	che seguono la guida del loro Signore: questi sono coloro che prospereranno.
006_00	Tra gli uomini vi è chi compra storie ridicole per distogliere la gente dal sentiero di Allah e burlarsi di esso: quelli avranno un castigo umiliante.
007_00	Quando gli si recitano i Nostri versetti, volge le spalle superbo come se non li avesse sentiti, come se avesse un peso nelle orecchie. Dagli annuncio di un doloroso castigo.
008_00	Coloro che credono e compiono il bene avranno i Giardini della Delizia.
009_00	dove rimarranno in perpetuo: questa in verità la promessa di Allah. Egli è l'Eccelso, il Saggio.
010_00	Ha creato i cieli senza pilastri che possiate vedere, ha infisso le montagne sulla terra, ché altrimenti si sarebbe mossa e voi con essa e l'ha popolata di animali di tutte le specie.
010_01	Abbiamo fatto scendere un'acqua e abbiamo fatto germogliare ogni tipo di magnifica specie.
011_00	Questa la creazione di Allah. Mostratemi allora quello che hanno creato gli altri all'infuori di Lui. No, gli ingiusti sono in errore palese.
012_00	Certamente fummo Noi a dare la saggezza a Luqmàn : «Sii riconoscente ad Allah: chi è riconoscente lo è per se stesso. Quanto a colui che è ingrato, in verità Allah è Colui che basta a Se Stesso, il Degno di lode».
013_00	E quando Luqmàn disse a suo figlio: «Figlio mio, non attribuire ad Allah associati. AttribuirGli associati è un'enorme ingiustizia».
014_00	Abbiamo imposto all'uomo di trattare bene i suoi genitori: lo portò sua madre di travaglio in travaglio e lo svezzò dopo due anni: «Sii riconoscente a Me e ai tuoi genitori. Il destino ultimo è verso di Me.
015_00	E se entrambi ti obbligassero ad associarMi ciò di cui non hai conoscenza alcuna, non obbedire loro, ma sii comunque cortese con loro in questa vita e segui la via di chi si rivolge a Me.
015_01	Poi a Me farete ritorno e vi informerò su quello che avrete fatto».
016_00	«O figlio mio, anche se fosse come il peso di un granello di senape, nel profondo di una roccia o nei cieli o sulla terra, Allah lo porterà alla luce.
016_01	Allah è dolce e ben informato.
017_00	O figlio mio, assolvi all'orazione, raccomanda le buone consuetudini e proibisci il biasimevole e sopporta con pazienza quello che ti succede: questo il comportamento da tenere in ogni impresa.
018_00	Non voltare la tua guancia dagli uomini e non calpestare la terra con arroganza: in verità Allah non ama il superbo vanaglorioso.
019_00	Sii modesto nel camminare e abbassa la tua voce: invero la più sgradevole delle voci è quella dell'asino.»
020_00	Non vedete come Allah vi ha sottomesso quel che è nei cieli e sulla terra e ha diffuso su di voi i Suoi favori, palesi e nascosti?
020_01	Ciononostante vi è qualcuno tra gli uomini che polemizza a proposito di Allah senza avere né scienza né guida né un Libro luminoso.
021_00	E quando si dice loro: «Seguite quello che Allah ha rivelato», rispondono: «Seguiremo invece quello che abbiamo trovato presso i nostri avi!».
021_01	anche se Satana li chiamasse al castigo della Fiamma.
022_00	Chi sottomette il suo volto ad Allah e compie il bene, si afferra all'ansa più salda. In Allah è l'esito di tutte le cose.
023_00	Quanto a chi è miscredente, non ti affligga la sua miscredenza: a Noi faranno ritorno e li informeremo di quel che avranno fatto. Allah conosce perfettamente cosa c'è nei cuori.
024_00	Diamo loro godimento effimero per un po' di tempo e poi li spingeremo con forza nel castigo terribile.
025_00	Se domandi loro: «Chi ha creato i cieli e la terra?», certamente risponderanno: «Allah». Di': «Lode ad Allah!». Ma la maggior parte di loro non sanno.
026_00	ad Allah tutto quello che è nei cieli e sulla terra. Allah basta a Se Stesso, è il Degno di lode.
027_00	Anche se tutti gli alberi della terra diventassero calami , e il mare e altri sette mari ancora, non potrebbero esaurire le parole di Allah. In verità Allah è eccelso, saggio
028_00	La vostra creazione e resurrezione è come quella di una sola anima. Allah è l'Audiente, Colui Che tutto osserva.
029_00	Non hai visto come Allah ha fatto sì che la notte compenetri il giorno e il giorno compenetri la notte?
029_01	E ha sottomesso il sole e la luna, ciascuno dei quali procede fino a un termine stabilito.
030_00	Ciò in quanto Allah è la Verità, mentre quel che invocano all'infuori di Lui è falsità. Allah è l'Altissimo, il Grande.
031_00	Non hai visto che è per grazia di Allah che la nave solca il mare, affinché vi mostri qualcuno dei Suoi segni? In verità in ciò vi sono segni per ogni uomo di perseveranza, di riconoscenza.
032_00	Quando li copre un'onda come fosse tenebra, invocano Allah e Gli rendono un culto puro; quando poi li mette al sicuro sulla terra ferma, alcuni di loro seguono una via intermedia.
032_01	Solo il peggior traditore, il peggior ingrato rinnegherà i Nostri segni.
033_00	Uomini, temete il vostro Signore e paventate il Giorno in cui il padre non potrà soddisfare il figlio né il figlio potrà soddisfare il padre in alcunché.
033_01	La promessa di Allah è verità. Badate che non vi inganni la vita terrena e non vi inganni, su Allah, l'Ingannatore.
034_00	In verità la scienza dell'Ora è presso Allah, Colui Che fa scendere la pioggia e conosce quello che c'è negli uteri.
034_01	Nessuno conosce ciò che guadagnerà l'indomani e nessuno conosce la terra in cui morrà. In verità Allah è il Sapiente, il Ben informato.
