001_00	Per le scalpitanti ansimanti
002_00	che fan sprizzare scintille .
003_00	che caricano al mattino.
004_00	Pre-Eg. n.Di versetti. Il nome della sura deriva dal vers. In nome di Allah, il Compassionevole, il Misericordioso. che fanno volare la polvere.
005_00	che irrompono in mezzo.
006_00	Invero l'uomo è ingrato verso il suo Signore.
007_00	invero è ben conscio di ciò.
008_00	Invero è avido per amore delle ricchezze.
009_00	Non sa che, quando sarà messo sottosopra quello che è nelle tombe
010_00	e reso noto quello che è nei petti.
011_00	il loro Signore, in quel Giorno, sarà ben informato su di loro?
